C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
146 |HD 82312                                                              |Star                              |09 30 57.1519506984 -09 42 10.601973684|243.0144453968690 +29.0526846245359|  1.416 -23.152   |9.31     |K0III          |    ~     ~    
147 |HD 82336                                                              |Star                              |09 31 02.1213934320 -09 49 13.593343152|243.1339599287750 +28.9952329249482|  -10.330 9.484   |9.46     |K2III          |    ~     ~    
148 |HD 82396                                                              |delta Sct Variable                |09 31 29.8609771320 -09 59 12.956624556|243.3638725556853 +28.9798251297985|  -43.805 7.751   |8.34     |F0V            |    ~     ~    
149 |HD 82507                                                              |Star                              |09 32 08.4446672832 -09 51 24.118783200|243.3613925404524 +29.1848471799389|  -9.762 -1.851   |9.69     |K2(III)        |    ~     ~    
150 |HD 82675                                                              |Star                              |09 33 08.8201655256 -10 07 01.113608496|243.7717011110613 +29.2138242689662| -0.470 -19.403   |8.27     |G8III/IV       |    ~     ~    
151 |BD-09 2865                                                            |Star                              |09 33 30.0731238648 -10 02 51.551927520|243.7730474006664 +29.3252053118745|-17.740 -25.552   |10.307   |~              |    ~     ~    
152 |BD-09 2868                                                            |Spectroscopic Binary              |09 33 44.3332537752 -09 59 13.517291112|243.7614635667771 +29.4088103916192|  -8.227 -5.204   |10.12    |~              |    ~     ~    
153 |HD 82337                                                              |Star                              |09 31 02.8482673032 -10 30 47.385321300|243.7517593565336 +28.5631888706533|-11.069 -26.057   |9.77     |K1III          |    ~     ~    
154 |HD 82428                                                              |Star                              |09 31 38.9869489560 -10 33 07.314739956|243.8923393508603 +28.6537160000906|   7.929 -8.846   |6.123    |WN             |    ~     ~    
155 |HD 82477                                                              |High Proper Motion Star           |09 31 55.7092342488 -10 22 13.234550052|243.7806674468744 +28.8213995828415|-100.673 21.451   |6.124    |K2III          |    ~     ~    
156 |HD 82656                                                              |High Proper Motion Star           |09 33 05.7883422816 -10 16 16.617477108|243.8998193587882 +29.1068294933957| -61.489 25.204   |9.552    |F3V            |    ~     ~    
157 |HD 82231                                                              |Star                              |09 30 30.9148565376 -10 39 21.091428576|243.7843662198890 +28.3717546283098|  -28.805 0.148   |9.438    |G8III          |    ~     ~    
158 |HD 82508B                                                             |Star                              |09 32 11.7565650336 -10 50 42.667051344|244.2477579739644 +28.5725502741369| -10.690 10.293   |8.94     |A(3)V          |    ~     ~    
159 |HD 82587                                                              |Star                              |09 32 39.0563184024 -11 09 13.896623844|244.5999517630866 +28.4630899935273|   -7.332 8.818   |9.03     |K1III          |    ~     ~    
160 |HD 82608                                                              |Star                              |09 32 43.9109627760 -10 53 41.913693636|244.3865940038025 +28.6427936121919|  -22.710 2.906   |10.31    |A8/F0+(G)      |    ~     ~    
161 |HD 82721                                                              |Star                              |09 33 27.5646479411 -10 56 34.576651495|244.5581255964628 +28.7503027527244|  -4.981 -3.613   |10.077   |F0V            |    ~     ~    
162 |BD-08 2695                                                            |Star                              |09 31 38.2277042448 -09 14 52.542289464|242.7272676017890 +29.4683412846957|   -2.675 0.521   |10.504   |~              |    ~     ~    
163 |BD-08 2699                                                            |Star                              |09 31 59.6462507688 -09 24 33.514099488|242.9352249201140 +29.4365849029626|  -36.594 5.982   |10.55    |~              |    ~     ~    
164 |BD-10 2850                                                            |High Proper Motion Star           |09 30 00.4895658264 -10 55 20.863745040|243.9306172515881 +28.1072085134291|-17.132 -72.212   |10.65    |~              |    ~     ~    
165 |BD-09 2851                                                            |Star                              |09 30 58.2156293160 -10 14 27.713499216|243.4969185684734 +28.7193715464748|-11.399 -23.436   |10.092   |~              |    ~     ~    
166 |BD-09 2860                                                            |Star                              |09 32 34.5801250152 -10 01 40.105315560|243.5910399850042 +29.1608529521577| -22.133 -1.883   |10.44    |~              |    ~     ~    
167 |BD-09 2867                                                            |Star                              |09 33 39.9657128064 -10 15 59.810724360|243.9970528440808 +29.2183970060754|   -7.912 4.495   |10.45    |~              |    ~     ~    
168 |BD-10 2861                                                            |High Proper Motion Star           |09 33 26.4740304624 -11 11 00.420248328|244.7663227041524 +28.5937831264783|-186.728 -107.867 |10.16    |~              |    ~     ~    
169 |V* LQ Hya                                                             |BY Dra Variable                   |09 32 25.5683895648 -11 11 04.692242760|244.5871347750673 +28.4009606524142|-248.040 34.277   |7.891    |K1Vp           |    ~     ~    
170 |BD-09 2855                                                            |Star                              |09 31 37.1938892304 -09 56 41.847986256|243.3480422670333 +29.0295821753503|   -6.709 3.158   |10.350   |~              |    ~     ~    
171 |TYC 5464-835-1                                                        |Spectroscopic Binary              |09 30 26.3537519592 -11 07 42.980283912|244.1875680741378 +28.0593341191077|  -1.910 -2.633   |10.06    |~              |    ~     ~    
172 |BD-09 2866                                                            |Star                              |09 33 38.6494631976 -10 04 12.002769408|243.8183982109953 +29.3384065801431|  0.261 -10.630   |10.587   |~              |    ~     ~    
173 |TYC 5460-1195-1                                                       |Star                              |09 31 45.6886625280 -09 16 58.133434224|242.7805667879030 +29.4706156215652|  5.469 -23.883   |10.81    |~              |    ~     ~    
174 |TYC 5464-442-1                                                        |High Proper Motion Star           |09 30 34.8108948048 -10 09 32.640817680|243.3555135255096 +28.6959586341739|-57.649 -11.216   |10.932   |~              |    ~     ~    
175 |TYC 5464-487-1                                                        |Star                              |09 31 09.7823720400 -10 43 38.211446568|243.9613796963595 +28.4504004634722| -7.864 -17.846   |10.62    |~              |    ~     ~    
176 |TYC 5464-669-1                                                        |Star                              |09 30 54.7876634232 -10 49 39.502532496|244.0059317614598 +28.3394822914713|   5.616 -5.757   |10.719   |~              |    ~     ~    
177 |TYC 5464-686-1                                                        |Star                              |09 30 19.2337023408 -10 17 18.697446816|243.4249117794778 +28.5650788771410| -1.570 -38.345   |10.520   |~              |    ~     ~    
178 |TYC 5464-920-1                                                        |Star                              |09 33 17.8596695616 -10 18 12.613088916|243.9641901084486 +29.1248503167324|  31.044 -6.606   |10.85    |~              |    ~     ~    
179 |TYC 5468-513-1                                                        |Star                              |09 31 43.5791167776 -11 14 59.587643076|244.5206363009719 +28.2269457422572|  -16.434 5.958   |10.986   |~              |    ~     ~    
180 |HD 82744                                                              |Star                              |09 33 36.7136231688 -11 23 08.629555272|244.9740485151361 +28.4969789685843|-14.274 -15.563   |9.852    |K0III          |    ~     ~    
