C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
1311|TYC 4327-2760-1                                                                                          |Star                          |03 48 20.5691256720 +68 19 32.237758164|138.1380924576606 +10.8478088436896|   -3.053 2.417   |10.33    |~                |    ~     ~    
1312|TYC 4327-2802-1                                                                                          |Star                          |03 47 20.6942435448 +67 59 18.853678356|138.2809544531920 +10.5276349507916|   -1.741 4.964   |10.49    |~                |    ~     ~    
1313|TYC 4327-2817-1                                                                                          |Star                          |03 56 23.1054955656 +67 45 10.151717400|139.0994067529558 +10.8930915973456|    2.966 0.475   |10.56    |~                |    ~     ~    
1314|TYC 4327-2943-1                                                                                          |Star                          |03 56 48.6372231744 +67 32 05.917493076|139.2758036049858 +10.7549818956909|  -9.852 10.106   |10.78    |~                |    ~     ~    
1315|TYC 4331-518-1                                                                                           |High Proper Motion Star       |03 45 08.7356191608 +69 28 52.634056980|137.1697398696225 +11.5661423677781| -42.772 73.287   |10.46    |~                |    ~     ~    
1316|TYC 4331-530-1                                                                                           |Star                          |03 47 27.0207509136 +69 46 54.607718280|137.1362689082147 +11.9259638287627|   -5.631 9.765   |10.49    |~                |    ~     ~    
1317|TYC 4331-597-1                                                                                           |Star                          |03 45 03.4700585472 +69 38 13.059406608|137.0643778104906 +11.6829438020218|  9.172 -18.683   |9.86     |~                |    ~     ~    
1318|TYC 4331-1148-1                                                                                          |Star                          |03 47 57.8994474552 +69 48 24.808348296|137.1552401007147 +11.9734830931538| 10.959 -14.261   |10.86    |~                |    ~     ~    
1319|BD+65 362                                                                                                |Spectroscopic Binary          |03 46 47.8170630408 +66 09 54.971863164|139.3977616018534 +09.0729123682420| 15.623 -35.225   |9.58     |F5               |    ~     ~    
1320|BD+65 365                                                                                                |Star                          |03 48 21.2982615024 +65 29 42.692097624|139.9482168626127 +08.6502728638011|-15.541 -36.520   |9.88     |F0               |    ~     ~    
