C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:03:52

dec< 0&rah >=18.5&rah< 18.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8057

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-------------------------|--------|-------------------
72  |HD 170870                                                                                                |Star                                  |18 33 45.7160280696 -43 28 22.973140236|351.5349189705742 -15.3051345156713|  2.383 -21.176   |8.96     |K1III              |    ~     ~          |    1|  348.371   pc  |  -2.7792     +2.7792    |paral   |2020yCat.1350....0G
73  |CD-43 12646                                                                                              |Star                                  |18 35 54.7282168152 -43 53 32.965187028|351.2904779034657 -15.8262886857334|   1.657 -1.136   |9.45     |~                  |    ~     ~          |    1| 1333.511   pc  | -40.5441    +40.5441    |paral   |2020yCat.1350....0G
74  |HD 171324                                                                                                |Star                                  |18 36 16.4402211816 -43 23 26.339320032|351.7978298750679 -15.6931998407332|  -1.752 -8.302   |9.50     |F5IV/V             |    ~     ~          |    1|  277.801   pc  |  -1.1499     +1.1499    |paral   |2020yCat.1350....0G
75  |CD-43 12658                                                                                              |Star                                  |18 36 51.0340733016 -43 14 48.448462740|351.9777322388571 -15.7344553975808|  23.389 -5.588   |9.52     |~                  |    ~     ~          |    1|  344.436   pc  | -12.9432    +12.9432    |paral   |2020yCat.1350....0G
76  |HD 170893                                                                                                |Star                                  |18 33 57.8244215424 -44 38 56.162331096|350.4253034270634 -15.7963369938718|  3.455 -16.559   |9.99     |G3/5(V)            |    ~     ~          |    1|  187.822   pc  |  -0.5750     +0.5750    |paral   |2020yCat.1350....0G
77  |HD 170911                                                                                                |Star                                  |18 33 55.9302521688 -43 57 51.518073420|351.0783128037058 -15.5254235668864|   0.718 -5.708   |10.32    |A1III/IV           |    ~     ~          |    1|  532.566   pc  |  -9.7568     +9.7568    |paral   |2020yCat.1350....0G
78  |HD 170962                                                                                                |Star                                  |18 34 14.2431761520 -44 13 22.253429100|350.8531020117932 -15.6763984404053|   0.329 -2.509   |10.21    |A3/5III            |    ~     ~          |    1|  397.346   pc  |  -6.5364     +6.5364    |paral   |2020yCat.1350....0G
79  |HD 171103                                                                                                |Star                                  |18 35 02.5658551656 -44 30 13.205269980|350.6416608353087 -15.9176159836233|  3.102 -23.345   |8.33     |G8III              |    ~     ~          |    1|  412.592   pc  |  -5.5496     +5.5496    |paral   |2020yCat.1350....0G
80  |HD 171120                                                                                                |Star                                  |18 35 04.6620337272 -44 12 08.586007704|350.9332100751423 -15.8073438576100|  9.290 -12.676   |9.29     |G1V                |    ~     ~          |    1|  208.325   pc  |  -0.6336     +0.6336    |paral   |2020yCat.1350....0G
81  |CD-44 12723                                                                                              |Star                                  |18 35 34.9248754872 -44 26 23.059335192|350.7414779892629 -15.9819039022434|  -8.479 -7.348   |9.48     |~                  |    ~     ~          |    1|  890.155   pc  | -14.1835    +14.1835    |paral   |2020yCat.1350....0G
82  |HD 171256                                                                                                |Star                                  |18 35 54.4136078112 -44 25 44.696369460|350.7748266189983 -16.0313816301246|   1.479 -8.972   |8.90     |B9IV/V             |    ~     ~          |    1|  435.673   pc  |  -6.9850     +6.9850    |paral   |2020yCat.1350....0G
83  |CD-44 12727B                                                                                             |Star                                  |18 35 54.6835303800 -44 25 37.537365576|350.7770579916365 -16.0313626226586|  0.050 -26.787   |10.8     |~                  |    ~     ~          |    1|  233.410   pc  |  -1.4873     +1.4873    |paral   |2020yCat.1350....0G
84  |CD-44 12729                                                                                              |High Proper Motion Star               |18 36 00.3264462168 -44 25 43.149953352|350.7822430791687 -16.0474725063997| 45.773 -39.286   |9.26     |~                  |    ~     ~          |    1|   67.061   pc  |  -0.0621     +0.0621    |paral   |2020yCat.1350....0G
85  |HD 171284                                                                                                |Star                                  |18 36 01.6734734232 -44 05 03.905494332|351.1145951323389 -15.9192891999221|   1.344 -7.501   |9.96     |A0IV/V             |    ~     ~          |    1|  594.212   pc  | -10.0277    +10.0277    |paral   |2020yCat.1350....0G
86  |HD 171338                                                                                                |Star                                  |18 36 25.8064653816 -44 01 05.053093680|351.2071444028067 -15.9605887172941| -4.413 -15.797   |9.67     |A9V                |    ~     ~          |    1|  328.850   pc  |  -2.4656     +2.4656    |paral   |2020yCat.1350....0G
87  |HD 171499                                                                                                |Star                                  |18 37 16.6357479120 -44 01 07.247528796|351.2671059382952 -16.1015664337867|  9.156 -22.605   |8.78     |G8III              |    ~     ~          |    1|  534.616   pc  |  -7.6027     +7.6027    |paral   |2020yCat.1350....0G
88  |HD 171500                                                                                                |Star                                  |18 37 20.1750430032 -44 17 29.803954452|351.0084979190511 -16.2151685894783|   7.315 -6.762   |9.22     |A0V                |    ~     ~          |    1|  384.734   pc  |  -4.4702     +4.4702    |paral   |2020yCat.1350....0G
89  |TYC 7914-2580-1                                                                                          |Star                                  |18 36 39.9393838776 -44 19 03.550608012|350.9358957054093 -16.1141256748736| -2.017 -16.914   |10.54    |G5                 |    ~     ~          |    1|  471.943   pc  |  -4.5214     +4.5214    |paral   |2020yCat.1350....0G
90  |CD-42 13390                                                                                              |Star                                  |18 34 13.4898266112 -42 50 33.307325664|352.1701686876916 -15.1351922055681| -0.937 -14.577   |9.89     |~                  |    ~     ~          |    1|  634.478   pc  |  -5.2333     +5.2333    |paral   |2020yCat.1350....0G
91  |CD-42 13394                                                                                              |Star                                  |18 34 36.4739996184 -42 43 15.156571188|352.3147308276152 -15.1519667690022|   5.679 -6.588   |10.37    |~                  |    ~     ~          |    1|  313.982   pc  |  -4.1405     +4.1405    |paral   |2020yCat.1350....0G
92  |CD-43 12635                                                                                              |Star                                  |18 35 20.7160023288 -43 37 15.937301604|351.5094782831993 -15.6270498700083|   7.656 -0.838   |10.08    |~                  |    ~     ~          |    1| 1228.803   pc  | -27.4812    +27.4812    |paral   |2020yCat.1350....0G
