C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:40:45

dec< 0&rah >=21.5&rah< 21.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3883

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
784 |TYC 6369-292-1                                                                                           |Star                                  |21 33 12.1001813448 -19 33 23.065236396|031.3989726267544 -44.1575290630970| 14.069 -15.963   |10.822   |~              |    ~     ~    |    1|  914.690   pc  | -67.2400    +67.2400  |ST-L    |2020AJ....160...83S
785 |TYC 6369-815-1                                                                                           |Star                                  |21 30 36.1031107152 -20 08 37.229229096|030.3510955074504 -43.7704985633897|   -6.559 3.760   |10.917   |~              |    ~     ~    |    1|  243.150   pc  |  -3.6770     +3.6770  |ST-L    |2020AJ....160...83S
786 |HD 205264                                                                                                |Spectroscopic Binary                  |21 34 41.4783241752 -20 37 36.774077160|030.1352677395472 -44.8326129070995| 14.897 -18.121   |9.51     |F0V            |    ~     ~    |    1|  236.718   pc  |  -7.0690     +7.0690  |ST-L    |2020AJ....160...83S
787 |BD-21 6044                                                                                               |Star                                  |21 34 19.2384568152 -20 48 39.177950292|029.8507109804679 -44.8075504301775|   28.222 6.396   |9.976    |~              |    ~     ~    |    1|  556.809   pc  | -22.3100    +22.3100  |ST-L    |2020AJ....160...83S
788 |HD 205562                                                                                                |High Proper Motion Star               |21 36 43.3002270024 -20 43 16.918150512|030.2178277669702 -45.3133017203378| 81.173 -12.995   |9.57     |G6V            |    ~     ~    |    1|  126.449   pc  |  -0.2638     +0.2638  |paral   |2020yCat.1350....0G
789 |HD 206072                                                                                                |Star                                  |21 40 12.3878852576 -20 55 19.900754718|030.3043599547204 -46.1498229660983|  24.362 15.185   |10.17    |F5V            |    ~     ~    |    0|                |                       |        |                   
790 |HD 206177                                                                                                |High Proper Motion Star               |21 40 51.7822404168 -21 03 35.206309116|030.1826197363405 -46.3377763838076| 17.045 -50.692   |9.91     |F3/5V          |    ~     ~    |    1|  182.849   pc  |  -0.5082     +0.5082  |paral   |2020yCat.1350....0G
791 |HD 206251                                                                                                |Star                                  |21 41 24.0241343376 -20 56 59.515198404|030.3898165361480 -46.4236762416191|   33.818 2.093   |10.439   |F6/7V          |    ~     ~    |    1|  234.060   pc  | -11.0400    +11.0400  |ST-L    |2020AJ....160...83S
792 |HD 206475                                                                                                |Double or Multiple Star               |21 42 54.7168217880 -21 18 31.476163428|030.0470304597856 -46.8682651112684|   26.605 2.255   |10.059   |F6V            |    ~     ~    |    1|  146.236   pc  |  -1.9050     +1.9050  |ST-L    |2020AJ....160...83S
793 |BD-21 6071                                                                                               |Star                                  |21 41 47.1461732664 -21 03 02.752696224|030.2901163258584 -46.5401119137795|    1.250 2.730   |10.434   |~              |    ~     ~    |    1|  719.570   pc  | -42.4600    +42.4600  |ST-L    |2020AJ....160...83S
794 |BD-21 6072                                                                                               |Star                                  |21 41 56.6986808712 -21 17 01.782448980|029.9831344438653 -46.6459247039715| 13.608 -15.569   |10.07    |~              |    ~     ~    |    1| 1304.461   pc  | -49.8574    +49.8574  |paral   |2020yCat.1350....0G
795 |HD 205134                                                                                                |High Proper Motion Star               |21 33 48.0491629920 -18 54 19.702590588|032.3193212636967 -44.0731226201728|  70.169 31.862   |10.513   |G3/5V          |    ~     ~    |    1|  131.841   pc  |  -1.2860     +1.2860  |ST-L    |2020AJ....160...83S
796 |HD 205218                                                                                                |Star                                  |21 34 16.6319136072 -18 25 59.693153304|032.9902953538816 -44.0172347378748|  42.437 20.201   |10.050   |F5V            |    ~     ~    |    1|  190.142   pc  |  -2.9120     +2.9120  |ST-L    |2020AJ....160...83S
797 |HD 205251                                                                                                |Star                                  |21 34 30.1652397120 -19 11 44.709730692|032.0161047971202 -44.3271360746883|  29.598 -3.321   |8.82     |F8V            |    ~     ~    |    1|  144.571   pc  |  -6.2598     +6.2598  |paral   |2020yCat.1350....0G
798 |HD 205378                                                                                                |Star                                  |21 35 18.9726249912 -19 14 41.086569552|032.0413869376660 -44.5244919739942|-22.721 -21.683   |7.94     |F3V            |    ~     ~    |    1|   85.883   pc  |  -0.1800     +0.1800  |paral   |2020yCat.1350....0G
799 |HD 205406                                                                                                |Double or Multiple Star               |21 35 32.1897 -18 46 14.739            |032.6912061 -44.4134567            |    12.30 -1.60   |8.47     |A0V            |    ~     ~    |    0|                |                       |        |                   
800 |HD 205504                                                                                                |Star                                  |21 36 13.3571073120 -19 00 05.453086608|032.4640301756506 -44.6444520412288|  -0.859 -2.043   |10.59    |G5V            |    ~     ~    |    1|  599.089   pc  |  -7.1064     +7.1064  |paral   |2020yCat.1350....0G
801 |HD 205135                                                                                                |Spectroscopic Binary                  |21 33 51.4931585880 -20 03 55.979653824|030.7964704039846 -44.4693325469669| -1.794 -25.770   |10.34    |G3V            |    ~     ~    |    1|  307.723   pc  |  -5.9650     +5.9650  |ST-L    |2020AJ....160...83S
802 |* 37 Cap                                                                                                 |High Proper Motion Star               |21 34 51.0522316584 -20 05 03.338901816|030.8767941979420 -44.6960615760271| -33.742 30.369   |5.696    |F5VFe-0.8CH-0.4|    ~     ~    |    1|   27.506   pc  |  -0.0538     +0.0538  |paral   |2020yCat.1350....0G
803 |HD 205323                                                                                                |Star                                  |21 35 01.4591671656 -19 50 10.050393084|031.2255407028733 -44.6544538341454|  40.932 -2.546   |8.70     |K0III          |    ~     ~    |    1|  350.828   pc  |  -2.7693     +2.7693  |paral   |2020yCat.1350....0G
804 |HD 205324                                                                                                |Star                                  |21 35 05.7234926064 -20 09 15.962979492|030.8091364432072 -44.7729319857867|   21.071 4.998   |10.374   |F5V            |    ~     ~    |    1|  306.087   pc  |  -7.7940     +7.7940  |ST-L    |2020AJ....160...83S
