C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
80  |KOI-3873                                                                                                                                    |Red Giant Branch star          |19 26 14.0686055016 +44 29 17.431879668|076.5884541014057 +12.9151634338354| -1.073 -16.105    |10.61    |~                  |    ~     ~          
81  |GSC 03146-00615                                                                                                                             |Double or Multiple Star        |19 26 18.206064 +43 19 30.20520        |075.519105341 +12.400953376        |     -4.6 -17.1    |10.13    |F6IV               |    ~     ~          
82  |TYC 3146-635-1                                                                                                                              |Rotating Variable              |19 24 57.0479590680 +44 35 15.346538412|076.5799771157614 +13.1644451946277|  17.692 17.520    |10.25    |F6IV               |    ~     ~          
83  |TYC 3146-647-1                                                                                                                              |Rotating Variable              |19 25 02.5151397600 +44 32 43.718147448|076.5479887638237 +13.1317788698119| -8.884 -23.916    |10.71    |F6IV               |    ~     ~          
84  |TYC 3146-672-1                                                                                                                              |Spectroscopic Binary           |19 22 24.8833892280 +43 10 54.057678492|075.0743914505396 +12.9786067073029|  12.457 -0.790    |10.51    |G2V                |    ~     ~          
85  |TYC 3146-719-1                                                                                                                              |Star                           |19 26 29.4164289888 +43 51 52.077031560|076.0319608620260 +12.6044542457210|   11.337 6.003    |10.09    |~                  |    ~     ~          
86  |TYC 3146-779-1                                                                                                                              |Star                           |19 23 15.3087757536 +44 29 27.653589924|076.3581938695784 +13.3968925302540|    0.434 0.413    |10.90    |A2III-IV           |    ~     ~          
87  |TYC 3146-802-1                                                                                                                              |delta Sct Variable             |19 28 46.4215031424 +44 40 08.526272592|076.9564788475046 +12.5860496037620|   5.682 13.136    |10.46    |A0III/IV           |    ~     ~          
88  |TYC 3146-940-1                                                                                                                              |Star                           |19 25 52.9591632552 +44 36 59.451259536|076.6797152952360 +13.0269238786110|   9.737 -1.739    |9.70     |~                  |    ~     ~          
89  |TYC 3146-1015-1                                                                                                                             |Red Giant Branch star          |19 27 31.8500455104 +43 59 48.912194076|076.2375372219668 +12.4932042686529|   14.036 5.413    |10.20    |~                  |    ~     ~          
90  |2MASS J19245726+4358511                                                                                                                     |Red Giant Branch star          |19 24 57.2576160672 +43 58 51.110661036|076.0173993832764 +12.9041951449241|  -1.791 -7.211    |10.324   |~                  |    ~     ~          
91  |TYC 3146-1076-1                                                                                                                             |Star                           |19 24 02.9789122296 +44 09 42.976258272|076.1140883841659 +13.1285083152716|   -0.718 0.530    |10.17    |~                  |    ~     ~          
92  |TYC 3146-1085-1                                                                                                                             |Star                           |19 25 35.1143578800 +44 32 30.620988888|076.5871564390134 +13.0427304001490|   4.174 17.185    |10.85    |G0                 |    ~     ~          
93  |TYC 3146-1114-1                                                                                                                             |Red Giant Branch star          |19 22 31.6538883912 +43 46 40.738926360|075.6376156662709 +13.2132515080550|   -7.503 1.566    |10.32    |~                  |    ~     ~          
94  |TYC 3146-1167-1                                                                                                                             |Horizontal Branch Star         |19 27 36.9059335776 +44 23 12.499574640|076.6039965294651 +12.6491151388027|   0.645 -1.526    |10.24    |G8IIIa             |    ~     ~          
95  |TYC 3146-1184-1                                                                                                                             |Red Giant Branch star          |19 26 06.3505214664 +44 23 12.193632744|076.4843687131784 +12.8922097513562| -0.995 -12.064    |10.17    |~                  |    ~     ~          
96  |TYC 3146-1223-1                                                                                                                             |Star                           |19 29 45.6276521424 +44 22 19.134750720|076.7618850521052 +12.2978323318330|  -3.472 -9.150    |10.39    |K1.5III            |    ~     ~          
97  |TYC 3146-1229-1                                                                                                                             |Star                           |19 23 44.3131845960 +43 36 40.191853536|075.5782470434545 +12.9441797880698|   4.709 -8.908    |10.85    |F2V                |    ~     ~          
98  |TYC 3146-1256-1                                                                                                                             |delta Sct Variable             |19 28 22.4509296648 +43 52 15.920111460|076.1894843981143 +12.3016742208353| -7.911 -12.841    |10.99    |A3mF2              |    ~     ~          
99  |TYC 3146-1261-1                                                                                                                             |Horizontal Branch Star         |19 25 03.4700201160 +43 36 01.499868396|075.6733366503759 +12.7238250466764| -9.992 -15.412    |10.22    |~                  |    ~     ~          
100 |KOI-2938                                                                                                                                    |Spectroscopic Binary           |19 25 16.7624034720 +43 35 43.713991680|075.6864777760788 +12.6854994650960|  10.264 11.166    |10.92    |F2V                |    ~     ~          
101 |TYC 3146-1344-1                                                                                                                             |Horizontal Branch Star         |19 23 50.9148652224 +43 35 09.216668328|075.5635421287124 +12.9153695984685|  -3.297 -5.114    |10.84    |~                  |    ~     ~          
102 |TYC 3146-1361-1                                                                                                                             |Rotating Variable              |19 24 47.5142258400 +44 13 19.148544048|076.2281593786022 +13.0338371926670|  21.823 31.836    |10.60    |G5V                |    ~     ~          
103 |BD+43 3239A                                                                                                                                 |Star                           |19 25 33.8450013864 +44 13 16.460110812|076.2883386980644 +12.9085341728174|   48.212 9.899    |9.97     |~                  |    ~     ~          
104 |TYC 3146-1435-1                                                                                                                             |Star                           |19 26 17.1528207600 +44 31 31.331873064|076.6269450842133 +12.9229043094690| -5.657 -17.510    |10.11    |F3/F5V             |    ~     ~          
105 |TYC 3146-1441-1                                                                                                                             |delta Sct Variable             |19 25 43.1379233400 +44 26 26.217339000|076.5038170202466 +12.9777577290331|  -1.110 -9.807    |10.61    |G1V                |    ~     ~          
106 |KOI-1964                                                                                                                                    |Rotating Variable              |19 22 48.8885807784 +43 36 25.936829172|075.5014385737463 +13.0937634509035|  10.522 40.172    |10.80    |G5V                |    ~     ~          
