C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:41:41

dec< 0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3224

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
80  |HD 25218                                                                                                 |Star                               |04 00 14.2048719888 -04 02 47.209217496|194.3367900851651 -39.4472183654205| 12.034 -26.505   |9.93     |F2V            |    ~     ~    |    1|  296.279   pc  |  -1.4572     +1.4572  |paral   |2020yCat.1350....0G
81  |HD 25258                                                                                                 |Star                               |04 00 38.9636941896 -04 05 49.618586328|194.4632999482604 -39.3871844186177|  -1.732 -2.304   |10.36    |A(pSrEu)       |    ~     ~    |    1|  525.928   pc  |  -5.4767     +5.4767  |paral   |2020yCat.1350....0G
82  |HD 25312                                                                                                 |Star                               |04 01 14.8588987776 -04 23 15.340319808|194.8843451137519 -39.4149594397992|-29.002 -19.107   |9.51     |G2V            |    ~     ~    |    1|  112.996   pc  |  -0.2298     +0.2298  |paral   |2020yCat.1350....0G
83  |HD 25383                                                                                                 |Star                               |04 01 53.2230746352 -04 07 35.228499780|194.7073339276283 -39.1414050734089|  -2.886 -9.843   |10.04    |A1III/IV       |    ~     ~    |    1|  383.421   pc  |  -3.6165     +3.6165  |paral   |2020yCat.1350....0G
84  |HD 25415                                                                                                 |Star                               |04 02 13.2376311936 -04 02 40.123690476|194.6747368145502 -39.0273932062704| 10.178 -36.041   |9.40     |F5V            |    ~     ~    |    1|  181.436   pc  |  -0.5497     +0.5497  |paral   |2020yCat.1350....0G
85  |HD 25416                                                                                                 |Star                               |04 02 14.2393331376 -04 31 02.808010632|195.1952636920319 -39.2739162505842|  -5.192 -3.048   |8.78     |A5IV           |    ~     ~    |    1|  257.374   pc  |  -1.4904     +1.4904  |paral   |2020yCat.1350....0G
86  |HD 25433                                                                                                 |Star                               |04 02 16.3535768280 -04 18 09.865994220|194.9657906347404 -39.1532306123602| -29.504 -8.668   |8.70     |K1III          |    ~     ~    |    1|  336.259   pc  |  -2.5554     +2.5554  |paral   |2020yCat.1350....0G
87  |HD 25672                                                                                                 |Star                               |04 04 19.8619502328 -04 12 36.214319628|195.2125439522403 -38.6683620041628|   11.832 3.038   |9.637    |A2/3mA7-F2/3   |    ~     ~    |    1|  395.382   pc  |  -9.3810     +9.3810  |ST-L    |2020AJ....160...83S
88  |HD 25791                                                                                                 |Star                               |04 05 12.7422140184 -04 06 29.779264332|195.2498812431102 -38.4279459326825|  26.802 24.442   |9.300    |F7V            |    ~     ~    |    1|  110.964   pc  |  -3.0250     +3.0250  |ST-L    |2020AJ....160...83S
89  |BD-04 735                                                                                                |Double or Multiple Star            |04 06 39.2353032837 -04 22 04.650680174|195.7720982099602 -38.2580882824619| 12.483 -82.906   |10.01    |G0             |    ~     ~    |    1|  128.471   pc  |  -2.3910     +2.3910  |ST-L    |2020AJ....160...83S
90  |HD 26023                                                                                                 |Star                               |04 07 05.7774060888 -04 22 17.470069608|195.8492040865567 -38.1658828286248|    8.453 5.083   |9.28     |A3V            |    ~     ~    |    1|  397.235   pc  |  -2.9192     +2.9192  |paral   |2020yCat.1350....0G
91  |HD 25280                                                                                                 |Star                               |04 00 59.5182503280 -04 42 56.412318744|195.2021754183769 -39.6421108522227| -8.625 -15.531   |9.23     |G3III/IV       |    ~     ~    |    1|  364.910   pc  |  -2.0773     +2.0773  |paral   |2020yCat.1350....0G
92  |HD 25544                                                                                                 |Star                               |04 03 19.2141888720 -04 41 31.150126968|195.5697286195680 -39.1357590204625|  14.214 -8.288   |9.54     |K0V            |    ~     ~    |    1|  429.941   pc  |  -2.8836     +2.8836  |paral   |2020yCat.1350....0G
