C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:16:06

dec >=0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9885

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
81  |HD 184148                                                                                                |Horizontal Branch Star                |19 31 18.1424176416 +42 59 13.178005692|075.6198516537506 +11.4336401684372|  -7.093 15.289   |7.17     |K0               |    ~     ~          |    1|  200.264   pc  |  -0.7460     +0.7460  |paral   |2020yCat.1350....0G
82  |HD 184449                                                                                                |delta Sct Variable                    |19 32 39.1185948264 +43 26 11.219217144|076.1422045278799 +11.4154042018646|   1.615 -3.795   |8.86     |A3Vs             |    ~     ~          |    1|  399.632   pc  |  -8.6720     +8.6720  |paral   |2020yCat.1350....0G
83  |HD 184483                                                                                                |Variable Star                         |19 32 47.9427740400 +43 25 55.345278360|076.1504331250985 +11.3895734987433|   -0.571 9.575   |7.68     |M5               |    ~     ~          |    1|  514.642   pc  |  -3.9464     +3.9464  |paral   |2020yCat.1350....0G
84  |HD 184695                                                                                                |delta Sct Variable                    |19 33 47.1353679312 +43 31 02.420969592|076.3103852389321 +11.2682817594328|    3.717 5.794   |7.96     |A2               |    ~     ~          |    1|  311.071   pc  |  -1.9353     +1.9353  |paral   |2020yCat.1350....0G
85  |BD+43 3287                                                                                               |Star                                  |19 34 33.1497315504 +43 44 37.514241456|076.5802833747795 +11.2470080979028|  29.189 35.376   |9.49     |G5               |    ~     ~          |    1|  278.048   pc  |  -2.9378     +2.9378  |paral   |2020yCat.1350....0G
86  |BD+43 3293                                                                                               |Star                                  |19 35 13.8333461976 +43 59 40.507057644|076.8647231898370 +11.2519011157160|   -3.421 0.987   |8.69     |K0               |    ~     ~          |    1|  447.347   pc  |  -2.8617     +2.8617  |paral   |2020yCat.1350....0G
87  |V* V1264 Cyg                                                                                             |alpha2 CVn Variable                   |19 34 43.9289472528 +43 56 45.076870104|076.7789583798170 +11.3097138069870|  19.479 -1.332   |6.620    |A0p              |    ~     ~          |    1|  198.716   pc  |  -1.1886     +1.1886  |paral   |2020yCat.1350....0G
88  |BD+42 3374                                                                                               |Eruptive Variable                     |19 31 39.3978737400 +42 50 01.432591008|075.5097424338515 +11.3069742318111|   0.589 -3.146   |10.01    |K3III            |    ~     ~          |    1| 1376.842   pc  | -22.9379    +22.9379  |paral   |2020yCat.1350....0G
89  |BD+42 3376                                                                                               |Star                                  |19 32 24.0557788152 +42 38 29.707720476|075.3974861004252 +11.0984755479730|    1.319 5.148   |9.37     |K2               |    ~     ~          |    1|  432.713   pc  |  -2.2656     +2.2656  |paral   |2020yCat.1350....0G
90  |BD+42 3379                                                                                               |Star                                  |19 33 38.1604142928 +42 35 16.408056768|075.4534735472357 +10.8715484535044|  -0.108 -4.017   |9.69     |M3III            |    ~     ~          |    1| 1330.672   pc  | -25.4979    +25.4979  |paral   |2020yCat.1350....0G
91  |BD+42 3407                                                                                               |Star                                  |19 38 15.1941156240 +42 25 57.516582144|075.7111587624338 +10.0445567681103|  10.244 -1.351   |9.03     |G9III            |    ~     ~          |    1|  466.331   pc  |  -2.7835     +2.7835  |paral   |2020yCat.1350....0G
