C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:33:15

dec< 0&rah >=20.75&rah< 21.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 4200

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
76  |CD-34 14722                                                                                              |High Proper Motion Star           |20 55 07.5705170760 -33 58 09.229253160|009.8669182204108 -39.3509614355629| 93.228 -36.257   |10.22    |G5              |    ~     ~    |    1|  155.383   pc  |  -0.4032     +0.4032  |paral   |2020yCat.1350....0G
77  |CD-34 14726                                                                                              |Star                              |20 55 16.3551028320 -34 29 50.188536060|009.1977970767784 -39.4625707601882|   -6.656 7.127   |10.23    |F8              |    ~     ~    |    1|  182.508   pc  |  -0.6162     +0.6162  |paral   |2020yCat.1350....0G
78  |HD 199092                                                                                                |Star                              |20 55 53.9354658840 -34 23 46.330558728|009.3525897498622 -39.5749580053019| 18.641 -36.774   |9.643    |F5V             |    ~     ~    |    1|  285.888   pc  | -14.3800    +14.3800  |ST-L    |2020AJ....160...83S
79  |HD 199109                                                                                                |Star                              |20 55 58.2923222640 -33 59 38.483098872|009.8709756418538 -39.5279261187970|   11.549 0.642   |8.75     |K1III           |    ~     ~    |    1|  254.738   pc  |  -4.2490     +4.2490  |ST-L    |2020AJ....160...83S
80  |HD 199227                                                                                                |Star                              |20 56 52.1974845864 -33 59 54.676937004|009.9028426888234 -39.7125699378735| -20.620 17.732   |7.36     |F5IV            |    ~     ~    |    1|  107.439   pc  |  -0.7757     +0.7757  |ST-L    |2020AJ....160...83S
81  |HD 199241                                                                                                |Star                              |20 57 02.4370784256 -34 06 14.924029032|009.7741938282179 -39.7637498532076| -3.691 -10.360   |9.58     |K0/1(III)+(F)   |    ~     ~    |    1|  309.981   pc  |  -1.8545     +1.8545  |paral   |2020yCat.1350....0G
82  |HD 199621                                                                                                |Star                              |20 59 27.1383302952 -34 19 02.045846352|009.5960688510355 -40.2885402799395|   9.575 -0.226   |9.56     |A7V             |    ~     ~    |    1|  324.592   pc  |  -7.2230     +7.2230  |ST-L    |2020AJ....160...83S
83  |HD 199638                                                                                                |Star                              |20 59 34.1700473040 -34 25 36.277830624|009.4585385788049 -40.3282623315719| 13.537 -14.628   |9.35     |K3(III)         |    ~     ~    |    1|  834.882   pc  | -42.9300    +42.9300  |ST-L    |2020AJ....160...83S
84  |HD 198617                                                                                                |Spectroscopic Binary              |20 52 39.7946946984 -35 10 42.449860308|008.2250974591079 -39.0344629589789|   -7.826 9.163   |9.46     |F3V             |    ~     ~    |    1|  160.910   pc  |  -4.0880     +4.0880  |ST-L    |2020AJ....160...83S
85  |HD 198697                                                                                                |High Proper Motion Star           |20 53 17.5930719744 -34 39 44.661724668|008.9070983427125 -39.0849228755323| 70.150 -95.039   |9.03     |K0V(+G)         |    ~     ~    |    1|   68.645   pc  |  -0.2844     +0.2844  |ST-L    |2020AJ....160...83S
86  |HD 198788                                                                                                |Star                              |20 53 50.8796914776 -35 22 03.504890100|008.0285995084630 -39.3010206144625|   -1.009 0.667   |9.88     |A1V             |    ~     ~    |    1|  814.797   pc  | -17.6596    +17.6596  |paral   |2020yCat.1350....0G
87  |HD 198803                                                                                                |Star                              |20 53 59.3385169200 -35 01 25.178989548|008.4737795688021 -39.2800331248436|  5.088 -32.118   |8.68     |A1V             |    ~     ~    |    1|  276.113   pc  |  -2.0584     +2.0584  |paral   |2020yCat.1350....0G
88  |CD-35 14430                                                                                              |High Proper Motion Star           |20 54 00.4825294896 -35 02 20.161275972|008.4549956042864 -39.2861244046557|  4.090 -56.233   |9.77     |~               |    ~     ~    |    1|  126.319   pc  |  -0.9047     +0.9047  |ST-L    |2020AJ....160...83S
89  |CD-35 14458                                                                                              |Double or Multiple Star           |20 57 06.5046545472 -35 25 34.791096648|008.0719841364948 -39.9672071967519|  -6.105 -2.382   |10.20    |G8              |    ~     ~    |    1|  634.759   pc  |  -6.5676     +6.5676  |paral   |2020yCat.1350....0G
90  |CD-35 14459                                                                                              |Spectroscopic Binary              |20 57 07.5399027480 -34 39 00.552303648|009.0747071280660 -39.8624465888190| 97.805 -55.653   |10.044   |G2              |    ~     ~    |    1|  141.284   pc  |  -1.3190     +1.3190  |ST-L    |2020AJ....160...83S
91  |CD-35 14482                                                                                              |High Proper Motion Star           |20 59 03.4751100600 -34 42 35.840707992|009.0713915446950 -40.2641577283397|-79.540 -36.223   |10.43    |G0              |    ~     ~    |    1|  155.817   pc  |  -0.4467     +0.4467  |paral   |2020yCat.1350....0G
92  |CD-35 14490                                                                                              |Double or Multiple Star           |20 59 46.1880634656 -34 52 00.950692008|008.8939376618089 -40.4306310905692|  -5.482 -8.976   |9.647    |K0              |    ~     ~    |    1|  484.896   pc  |  -3.8560     +3.8560  |paral   |2020yCat.1350....0G
