C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
116 |HD 142460                                                             |Star                                  |15 56 16.4926063320 -39 15 45.197232804|337.6187172511469 +10.8523556650709|   4.727 -0.889   |10.13    |A5/7II           |    ~     ~            
117 |HD 142603                                                             |Star                                  |15 56 58.1409466800 -38 30 02.955037680|338.2316045125609 +11.3389457849334|-26.717 -25.108   |9.70     |F2V              |    ~     ~            
118 |HD 142644                                                             |Star                                  |15 57 12.7336317744 -39 04 45.869534724|337.8806606260495 +10.8715939936707|  -2.297 -1.054   |8.85     |G3II             |    ~     ~            
119 |HD 142788                                                             |Star                                  |15 57 57.4873327848 -39 02 12.302202264|338.0202811960078 +10.8084925346445|  -6.462 -7.679   |9.17     |K2III            |    ~     ~            
120 |HD 142787                                                             |Pulsating Variable                    |15 58 00.5459573904 -38 36 42.176937708|338.3132223912831 +11.1216116988113|  -6.794 -0.077   |9.47     |A3III            |    ~     ~            
121 |HD 142945                                                             |High Proper Motion Star               |15 58 52.1269808352 -38 59 51.346804380|338.1818799902787 +10.7212079124397|-23.870 -147.736  |8.00     |G7VFe-2.2CH-1.5  |    ~     ~            
122 |V* IN Lup                                                             |delta Sct Variable                    |15 59 10.9039194264 -38 44 54.944322756|338.3960650061403 +10.8676502564845|-28.533 -36.525   |7.17     |F2VkA3mA3_lB?    |    ~     ~            
123 |HD 142966                                                             |Star                                  |15 59 13.4252194752 -38 25 46.774598052|338.6175405636191 +11.1011393147507|-25.650 -12.871   |10.36    |F2V              |    ~     ~            
124 |HD 143021                                                             |Star                                  |15 59 25.5466242912 -38 49 24.589264836|338.3818339211987 +10.7800342276233|  14.843 -4.136   |9.38     |G8III/IV         |    ~     ~            
125 |HD 142561                                                             |Star                                  |15 56 47.6091393432 -39 23 58.461944316|337.6045714970541 +10.6831280483354|  10.840 -1.870   |9.80     |G8V              |    ~     ~            
126 |HD 142729                                                             |Star                                  |15 57 40.4780686944 -39 40 03.891089928|337.5560341624942 +10.3692727199465|  -4.262 -5.666   |9.82     |A0               |    ~     ~            
127 |HD 142835                                                             |Star                                  |15 58 20.4402391440 -40 02 21.035596524|337.4057808453454 +10.0053644377779|  -3.016 -4.231   |10.44    |A3/5V            |    ~     ~            
128 |HD 142870                                                             |Star                                  |15 58 30.8711133600 -40 05 17.263880880|337.3984946226646 +09.9466171640223| -41.030 -0.385   |9.61     |F5V              |    ~     ~            
129 |HD 142645                                                             |Star                                  |15 57 19.0949879688 -40 15 12.954568644|337.1131912191713 +09.9719181594499|  -8.367 -5.590   |9.48     |A0V              |    ~     ~            
130 |HD 142507                                                             |Star                                  |15 56 33.0476411904 -40 27 43.831734552|336.8624112063263 +09.9097630505314|-16.410 -11.330   |8.97     |F0V              |    ~     ~            
131 |CD-40 10089                                                           |Star                                  |15 57 21.0077399160 -40 24 12.591753408|337.0181673466375 +09.8546800374970|   1.700 26.788   |10.16    |F5               |    ~     ~            
132 |HD 142671                                                             |Star                                  |15 57 25.9390156056 -40 33 45.350731512|336.9244029392480 +09.7242217710819| -4.530 -12.027   |9.76     |A2IV/V           |    ~     ~            
133 |HD 142753                                                             |Star                                  |15 57 51.0795743424 -40 37 19.302045024|336.9458297663000 +09.6271999567576|  11.321 -0.769   |10.10    |F5/6             |    ~     ~            
134 |TYC 7838-782-1                                                        |Spectroscopic Binary                  |15 56 57.2769436368 -38 00 38.220324948|338.5584018097088 +11.7101260207013|  -2.691 -4.254   |10.94    |A5V              |    ~     ~            
135 |V* RY Lup                                                             |Orion Variable                        |15 59 28.3864710696 -40 21 51.249496176|337.3533709733625 +09.6183856386456|-10.963 -22.232   |9.90     |G8/K1IV-V        |    ~     ~            
136 |CD-37 10613                                                           |Star                                  |15 58 04.4019525600 -38 10 24.114003240|338.6178554954989 +11.4426427422935|  -1.164 -1.024   |10.82    |~                |    ~     ~            
137 |CD-37 10617                                                           |Star                                  |15 58 22.4076703368 -38 09 00.749238480|338.6786388617007 +11.4210451619482|  -6.006 -3.327   |10.82    |~                |    ~     ~            
138 |CD-38 10782                                                           |Star                                  |15 59 06.9964528560 -38 39 37.022350608|338.4459132793588 +10.9422455587024|-24.716 -21.634   |9.54     |~                |    ~     ~            
139 |CD-38 10786                                                           |Star                                  |15 59 23.6509959336 -38 43 02.987718816|338.4486464082572 +10.8635055784907|  -4.994 15.393   |10.4     |~                |    ~     ~            
