C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
2001|TYC 5019-614-1                                                        |Star                                  |15 59 57.9785240688 -01 24 57.218465124|008.5488328855122 +36.4425245634778|  0.841 -19.363   |10.567   |~                |    ~     ~            
2002|TYC 5019-92-1                                                         |Star                                  |15 58 48.6697406880 -01 24 27.077760864|008.3465978739387 +36.6813366714109| -12.059 26.619   |10.97    |~                |    ~     ~            
2003|TYC 5019-155-1                                                        |Star                                  |15 57 35.9703383448 -01 23 45.546784188|008.1358608150578 +36.9330631158534|  2.571 -17.051   |10.42    |~                |    ~     ~            
2004|TYC 5019-187-1                                                        |Star                                  |15 56 20.3468466504 -00 46 15.296253276|008.5389881850432 +37.5551390504276|  14.764 -8.293   |10.8     |~                |    ~     ~            
2005|TYC 5019-334-1                                                        |Star                                  |15 56 51.5748028752 -00 28 30.331975872|008.9379385153221 +37.6222233539585| 21.736 -10.580   |10.34    |~                |    ~     ~            
2006|TYC 5019-912-1                                                        |Star                                  |15 58 09.6791557512 -01 17 53.080988892|008.3381554739800 +36.8770685023481|  -7.001 -4.338   |10.965   |~                |    ~     ~            
2007|CPD-86 320                                                            |Star                                  |15 47 06.2496232224 -87 16 08.990953212|305.0240326177596 -25.1456778212676|  -2.027 11.030   |10.86    |G5               |    ~     ~            
2008|HD 135116                                                             |Star                                  |15 47 01.7154904512 -87 11 05.131392108|305.0868352781578 -25.0832964119331| -11.211 10.886   |8.60     |G8III            |    ~     ~            
2009|HD 135293                                                             |Star                                  |15 49 04.9165448136 -87 15 59.578589628|305.0449801853567 -25.1599180369965|  0.074 -47.105   |7.81     |F5V              |    ~     ~            
2010|CPD-86 323                                                            |Star                                  |15 45 14.4699012624 -86 47 02.376305412|305.3672876690660 -24.7726806803929|  23.700 -3.224   |10.02    |G5               |    ~     ~            
2011|TYC 9521-429-1                                                        |Star                                  |15 46 05.2208726952 -88 30 11.559104712|304.0820257292966 -26.0407713445153|  -7.595 -0.614   |10.90    |~                |    ~     ~            
2012|TYC 9517-1067-1                                                       |Star                                  |15 46 49.5434867136 -88 03 07.810695072|304.4294659178298 -25.7155790661891|   6.236 -5.125   |10.28    |~                |    ~     ~            
2013|CPD-86 325                                                            |Star                                  |15 49 51.7685833728 -86 41 04.405692804|305.4949385236959 -24.7447177602249|  -5.917 -8.401   |10.54    |~                |    ~     ~            
2014|CPD-87 239                                                            |Star                                  |15 52 10.7708433120 -87 37 58.668271176|304.7912980581969 -25.4477417798774|-10.788 -21.154   |10.49    |~                |    ~     ~            
2015|CPD-82 663                                                            |Star                                  |15 50 47.4277596888 -83 21 42.959611080|307.9872329530963 -22.3321079560105|-20.480 -27.484   |10.63    |F5               |    ~     ~            
2016|CD-83 200                                                             |Star                                  |15 57 00.0049133256 -83 32 02.857944480|307.9980668196648 -22.5789286597896|-15.328 -26.365   |9.84     |F8               |    ~     ~            
2017|HD 139054                                                             |Star                                  |15 54 16.0257492840 -84 26 07.870782588|307.2618578433925 -23.1768656740613|-12.965 -15.345   |9.26     |G8/K1(III)       |    ~     ~            
2018|TYC 9509-3945-1                                                       |Star                                  |15 50 48.7381068768 -84 00 58.646735280|307.5060907004579 -22.8125214682914|   -7.227 6.342   |10.395   |~                |    ~     ~            
2019|TYC 9509-3994-1                                                       |Star                                  |15 55 59.6030821440 -84 00 47.109079764|307.6147450427064 -22.9032241510474|  -0.710 -3.358   |10.512   |~                |    ~     ~            
