C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
760 |TYC 2550-264-1                                                                                           |Star                           |13 48 34.5236715648 +36 26 37.182907752|074.0420338278537 +74.7260854002475| -2.009 -21.563    |10.98    |~                |    ~     ~    
761 |TYC 2550-363-1                                                                                           |Star                           |13 51 14.2075137024 +37 15 25.830767016|075.4321052240394 +73.8297069480181|  -10.184 6.076    |10.40    |~                |    ~     ~    
762 |TYC 2550-444-1                                                                                           |Star                           |13 48 00.8134060704 +37 28 13.453426632|077.4189072846083 +74.2257158350435|   -8.703 3.205    |10.41    |~                |    ~     ~    
763 |TYC 2550-453-1                                                                                           |Star                           |13 51 55.6970847384 +36 05 42.690952176|071.5883710546646 +74.3387030883670|   5.823 -7.506    |10.70    |~                |    ~     ~    
764 |TYC 3027-335-1                                                                                           |Spectroscopic Binary           |13 52 01.4416855008 +37 39 57.669809436|076.3072231559757 +73.4679479091969| 28.397 -21.603    |10.85    |~                |    ~     ~    
765 |TYC 3027-389-1                                                                                           |Star                           |13 48 22.1114394336 +37 42 14.611926852|077.9452354664505 +74.0286917463662|  1.899 -44.590    |10.94    |~                |    ~     ~    
766 |TYC 3027-428-1                                                                                           |Star                           |13 50 43.0213795368 +37 30 27.573084792|076.3799803174101 +73.7707683181850|    2.052 6.646    |10.37    |~                |    ~     ~    
767 |HD 120788                                                                                                |Double or Multiple Star        |13 50 51.3909102236 +35 54 47.727972580|071.4167447422069 +74.6179429453510|    4.611 0.101    |8.33     |K0               |0.0133  0.0    
768 |BD+36 2411                                                                                               |Star                           |13 47 57.1107289776 +36 00 25.790928228|072.9004700752916 +75.0694454787920|-26.003 -14.138    |10.22    |G6V              |    ~     ~    
769 |BD+36 2408                                                                                               |Star                           |13 46 28.4290957368 +35 33 38.210610492|072.0404739476218 +75.5611205275581|   -1.568 8.031    |9.12     |K0               |    ~     ~    
