C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
92  |HD 221251                                                             |Star                              |23 30 37.5851668440 -41 35 45.854721708|346.5728851696404 -68.0237843499104|    2.075 0.828   |8.87     |K2III                |    ~     ~    |    1|  332.812   pc  |  -2.1377     +2.1377  |paral   |2020yCat.1350....0G
93  |CD-42 16385                                                           |Star                              |23 35 28.7551865640 -41 41 42.240050916|344.9118754068055 -68.6995526109029|  18.230 -3.968   |10.27    |F0                   |    ~     ~    |    1|  392.188   pc  |  -6.9061     +6.9061  |paral   |2020yCat.1350....0G
94  |HD 221805                                                             |Star                              |23 35 29.3833773072 -41 27 11.669555520|345.4428337272474 -68.8462736333529|   -0.396 3.986   |9.74     |A0V                  |    ~     ~    |    1|  399.760   pc  |  -4.4586     +4.4586  |paral   |2020yCat.1350....0G
95  |CD-42 16404                                                           |Spectroscopic Binary              |23 37 06.5158130064 -41 39 02.705189796|344.4967533461195 -68.9680150960425| -36.283 24.373   |9.81     |~                    |    ~     ~    |    1|  297.539   pc  |  -1.6112     +1.6112  |paral   |2020yCat.1350....0G
96  |CD-40 15181                                                           |Star                              |23 32 10.3985976936 -39 58 11.822660364|349.8520029889344 -69.1634944508896|  29.704 -6.452   |10.16    |~                    |    ~     ~    |    1| 1211.827   pc  | -62.1186    +62.1186  |paral   |2020yCat.1350....0G
97  |CPD-39 9261                                                           |Star                              |23 34 10.2309 -39 12 10.971            |351.1454378 -69.8926200            |    -43.6 -21.0   |10.29    |~                    |    ~     ~    |    0|                |                       |        |                   
98  |CD-40 15190                                                           |Star                              |23 35 10.7851553304 -39 58 04.793126412|348.9734835315485 -69.6496435257933|  48.390 -6.317   |9.84     |~                    |    ~     ~    |    1|  478.469   pc  |  -4.4184     +4.4184  |paral   |2020yCat.1350....0G
99  |CD-41 15267                                                           |Star                              |23 32 01.1073138888 -41 18 23.255431416|346.8127670621202 -68.4032378665874| 26.376 -17.938   |10.819   |~                    |    ~     ~    |    1|  205.806   pc  |  -2.5090     +2.5090  |ST-L    |2020AJ....160...83S
100 |CD-41 15269                                                           |Star                              |23 32 39.4942700232 -41 10 00.861435696|346.9382231761435 -68.5816377981284|  -3.672 -7.841   |10.408   |~                    |    ~     ~    |    1|  827.630   pc  | -27.2700    +27.2700  |ST-L    |2020AJ....160...83S
101 |CD-41 15275                                                           |Star                              |23 34 33.6999192216 -40 35 45.030213924|347.6764470324833 -69.2020308576231| 19.012 -21.425   |10.94    |~                    |    ~     ~    |    1|  341.717   pc  |  -1.6231     +1.6231  |paral   |2020yCat.1350....0G
102 |CD-41 15285                                                           |Star                              |23 37 08.4289788792 -40 20 38.652525672|347.4702452412014 -69.7485730451776| 11.532 -20.208   |10.83    |~                    |    ~     ~    |    1|  337.223   pc  |  -1.8536     +1.8536  |paral   |2020yCat.1350....0G
103 |CD-39 15052                                                           |Star                              |23 30 27.3826506792 -39 13 47.450807040|352.1204327303241 -69.2581896056835| 21.258 -11.540   |10.79    |~                    |    ~     ~    |    1|   90.546   pc  |  -0.1049     +0.1049  |paral   |2020yCat.1350....0G
104 |CD-39 15055                                                           |Star                              |23 30 40.9364092080 -39 11 28.288161168|352.1543806837668 -69.3153286568133|  17.521 -3.861   |10.78    |~                    |    ~     ~    |    1|  424.989   pc  |  -2.9079     +2.9079  |paral   |2020yCat.1350....0G
105 |CD-39 15059                                                           |Star                              |23 31 36.8319219048 -39 11 41.936597016|351.8902419065470 -69.4700937805059|   1.522 -6.461   |10.36    |~                    |    ~     ~    |    1| 1705.611   pc  | -63.7095    +63.7095  |paral   |2020yCat.1350....0G
106 |CD-41 15270                                                           |High Proper Motion Star           |23 33 10.9871676864 -40 27 52.488251352|348.3927721049790 -69.0580697775611| 71.054 -15.991   |10.69    |~                    |    ~     ~    |    1|  354.799   pc  |  -1.8756     +1.8756  |paral   |2020yCat.1350....0G
107 |TYC 8017-683-1                                                        |Star                              |23 34 56.6919979848 -40 23 40.045722108|348.0310462996774 -69.3756301154172|   24.224 2.271   |10.51    |~                    |    ~     ~    |    1|  788.706   pc  |  -9.2064     +9.2064  |paral   |2020yCat.1350....0G
108 |CD-40 15195                                                           |Star                              |23 36 04.3132360656 -39 46 41.222472240|349.1610511090013 -69.8969264872402|   2.463 -8.126   |10.87    |~                    |    ~     ~    |    1| 1408.451   pc  | -32.1365    +32.1365  |paral   |2020yCat.1350....0G
109 |TYC 8014-767-1                                                        |Star                              |23 34 47.1651160992 -39 14 07.130626116|350.8847081778963 -69.9777921698859|  -9.401 -2.200   |10.87    |~                    |    ~     ~    |    1|  522.139   pc  |  -3.8986     +3.8986  |paral   |2020yCat.1350....0G
110 |TYC 8016-748-1                                                        |Star                              |23 30 43.1275943784 -41 49 32.415711672|346.0454151484791 -67.9060883484856| -5.078 -15.694   |10.646   |~                    |    ~     ~    |    1|  421.888   pc  | -11.2000    +11.2000  |ST-L    |2020AJ....160...83S
111 |TYC 8016-801-1                                                        |Star                              |23 31 21.8203819800 -41 46 49.517211324|345.9582574669551 -68.0302728382231| 27.479 -10.472   |10.499   |~                    |    ~     ~    |    1|  428.912   pc  | -20.6200    +20.6200  |ST-L    |2020AJ....160...83S
112 |TYC 8017-498-1                                                        |Star                              |23 35 48.5854191672 -40 26 50.160715404|347.6424390821431 -69.4816528545890|   6.931 -7.826   |10.864   |~                    |    ~     ~    |    1|  986.301   pc  | -49.0800    +49.0800  |ST-L    |2020AJ....160...83S
113 |CD-42 16406                                                           |Star                              |23 37 33.5929677600 -41 53 50.268300180|343.8130279690752 -68.8818917488761|  -13.585 9.049   |10.543   |~                    |    ~     ~    |    1|  153.447   pc  |  -1.3130     +1.3130  |ST-L    |2020AJ....160...83S
114 |CD-42 16425                                                           |Star                              |23 40 21.6263601648 -41 54 48.041437032|342.8561788788151 -69.2756538526231| -20.077 -8.622   |10.956   |~                    |    ~     ~    |    1|  247.773   pc  |  -3.5160     +3.5160  |ST-L    |2020AJ....160...83S
115 |HD 222136                                                             |Star                              |23 38 15.4538768592 -39 37 07.949009388|348.8676923852605 -70.3352866137102|  -0.020 -1.345   |8.55     |F0V                  |    ~     ~    |    1|  278.334   pc  |  -4.1214     +4.1214  |paral   |2020yCat.1350....0G
116 |CD-40 15206                                                           |High Proper Motion Star           |23 38 05.6289613848 -39 54 49.098044052|348.1987331447010 -70.1436480553584| 29.895 -45.057   |10.15    |F8                   |    ~     ~    |    1|  294.490   pc  |  -7.1027     +7.1027  |paral   |2020yCat.1350....0G
117 |HD 222225                                                             |High Proper Motion Star           |23 38 55.7132774256 -41 28 30.775146096|344.2957842773253 -69.3443067356014|  51.808 -5.304   |8.22     |K0III/IV+G           |    ~     ~    |    1|   69.598   pc  |  -0.1071     +0.1071  |paral   |2020yCat.1350....0G
118 |CD-41 15287                                                           |Star                              |23 37 46.7051573808 -41 07 42.475783872|345.4492273622411 -69.3850668694258|   25.897 1.713   |10.790   |~                    |    ~     ~    |    1|  285.225   pc  |  -4.9150     +4.9150  |ST-L    |2020AJ....160...83S
119 |CD-42 16414                                                           |Star                              |23 38 25.9668673512 -41 38 43.646874144|344.0812310388981 -69.1659586733037|   18.104 3.085   |10.619   |~                    |    ~     ~    |    1|  295.611   pc  |  -5.1220     +5.1220  |ST-L    |2020AJ....160...83S
120 |CD-40 15217                                                           |Spectroscopic Binary              |23 41 26.9255914488 -39 31 16.709406132|348.0599873209282 -70.8973097869141| 47.874 -14.042   |9.42     |K0                   |    ~     ~    |    1|  484.684   pc  |  -4.6044     +4.6044  |paral   |2020yCat.1350....0G
121 |CD-40 15229                                                           |Star                              |23 44 27.0365904408 -39 31 11.668190988|347.0142106317640 -71.3671798921616|  -1.786 -9.269   |10.19    |K1                   |    ~     ~    |    1|  128.922   pc  |  -0.2842     +0.2842  |paral   |2020yCat.1350....0G
122 |HD 222883                                                             |Star                              |23 44 39.8227143840 -39 30 32.660875224|346.9645641968361 -71.4066201208564| 17.034 -32.483   |8.97     |F6V                  |    ~     ~    |    1|  270.841   pc  |  -1.1663     +1.1663  |paral   |2020yCat.1350....0G
123 |CD-40 15225                                                           |High Proper Motion Star           |23 43 19.6644363528 -39 58 42.272438484|346.2801116009704 -70.9193855288998|197.419 -81.755   |10.49    |K0                   |    ~     ~    |    1|  116.534   pc  |  -0.2200     +0.2200  |paral   |2020yCat.1350....0G
124 |CD-40 15227                                                           |High Proper Motion Star           |23 44 07.4294555160 -39 58 48.278131140|345.9922621038817 -71.0396353860410| 35.473 -36.578   |9.90     |~                    |    ~     ~    |    1|  267.644   pc  |  -1.5831     +1.5831  |paral   |2020yCat.1350....0G
125 |HD 222497                                                             |High Proper Motion Star           |23 41 20.7682104312 -40 25 00.532041564|345.9152790875330 -70.3530352572239|-65.573 -41.783   |9.21     |K0V                  |    ~     ~    |    1|  136.588   pc  |  -1.2780     +1.2780  |paral   |2020yCat.1350....0G
126 |HD 222608                                                             |Star                              |23 42 16.6114641192 -40 19 12.537355188|345.8242768709561 -70.5526461413710|-26.189 -30.969   |9.14     |K0III                |    ~     ~    |    1|  479.846   pc  |  -4.7893     +4.7893  |paral   |2020yCat.1350....0G
127 |HD 222616                                                             |Star                              |23 42 17.3777065872 -41 05 33.108300852|344.0189743329558 -70.0763721943099| -25.846 35.024   |10.272   |G3V                  |    ~     ~    |    1|  153.407   pc  |  -1.5170     +1.5170  |ST-L    |2020AJ....160...83S
128 |HD 222655                                                             |High Proper Motion Star           |23 42 42.2153355000 -41 14 51.244985616|343.5226806533126 -70.0382729266633|75.197 -124.743   |9.56     |G8V                  |    ~     ~    |    1|   68.698   pc  |  -0.0684     +0.0684  |paral   |2020yCat.1350....0G
129 |HD 222837                                                             |Star                              |23 44 11.2709591880 -40 41 09.246524676|344.2837369564973 -70.6112719881386|  31.951 -4.506   |7.45     |K3III                |    ~     ~    |    1|  420.345   pc  |  -4.6646     +4.6646  |paral   |2020yCat.1350....0G
130 |HD 222435                                                             |Star                              |23 40 43.3332786624 -41 38 55.625515692|343.3121586637848 -69.4964923647587|   13.454 4.140   |9.12     |K5/M0III             |    ~     ~    |    1| 1149.690   pc  | -32.7803    +32.7803  |paral   |2020yCat.1350....0G
131 |HD 222468                                                             |High Proper Motion Star           |23 41 06.6937770360 -41 35 16.905753672|343.3137135150678 -69.5912863040967|  48.448 32.886   |9.11     |F7V                  |    ~     ~    |    1|  108.392   pc  |  -0.1845     +0.1845  |paral   |2020yCat.1350....0G
132 |HD 222741                                                             |High Proper Motion Star           |23 43 24.2763429768 -41 36 16.213515732|342.4787644298290 -69.9083839824925| 106.481 60.239   |8.44     |F5V                  |    ~     ~    |    1|  112.521   pc  |  -0.2393     +0.2393  |paral   |2020yCat.1350....0G
133 |HD 222403                                                             |Star                              |23 40 28.1806851360 -41 44 51.520024644|343.1804858393176 -69.3972021792678|  41.227 17.645   |9.19     |G8III                |    ~     ~    |    1|  507.434   pc  |  -4.1971     +4.1971  |paral   |2020yCat.1350....0G
134 |CD-40 15214                                                           |Star                              |23 40 27.9261590856 -39 31 17.609387268|348.3897310238902 -70.7416710291922|  14.676 -6.449   |9.82     |~                    |    ~     ~    |    1|  684.041   pc  |  -8.1417     +8.1417  |paral   |2020yCat.1350....0G
135 |CD-40 15222                                                           |Star                              |23 42 17.9991663816 -39 43 19.727999832|347.2690952172029 -70.9137172370126|   45.661 2.675   |10.59    |~                    |    ~     ~    |    1|  491.715   pc  |  -3.7235     +3.7235  |paral   |2020yCat.1350....0G
