C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1180 |GSC 06536-02990                                                                                          |Double or Multiple Star       |07 15 09.1425246048 -29 19 57.179793432|241.7490457811351 -08.2351343465445|   10.188 2.043   |10.466   |~               |    ~     ~    
1181 |TYC 6545-80-1                                                                                            |Spectroscopic Binary          |07 16 00.1693701264 -28 01 39.661597848|240.6567162074507 -07.4824013178966|  -7.001 39.177   |10.64    |~               |    ~     ~    
1182 |TYC 6545-488-1                                                                                           |Star                          |07 16 01.8846146304 -28 06 11.917592136|240.7276641564244 -07.5108834921831|  -1.861 -0.833   |10.52    |~               |    ~     ~    
1183 |TYC 6545-781-1                                                                                           |Star                          |07 16 54.7074855168 -27 24 32.176924164|240.1921846546843 -07.0230933004169|   3.259 -2.841   |10.310   |~               |    ~     ~    
1184 |TYC 6545-963-1                                                                                           |Spectroscopic Binary          |07 18 03.1115388240 -27 23 28.498423308|240.2921804958072 -06.7896653279765|   -1.179 3.699   |10.37    |~               |    ~     ~    
1185 |TYC 6545-1065-1                                                                                          |Star                          |07 18 34.7014708032 -27 28 55.366667868|240.4271846620511 -06.7270780130957|-37.810 -14.773   |10.04    |~               |    ~     ~    
1186 |TYC 6545-1088-1                                                                                          |Star                          |07 17 12.5231184792 -28 05 21.076731060|240.8332945949603 -07.2728902842365|   -5.999 5.410   |10.95    |~               |    ~     ~    
1187 |TYC 6545-1130-1                                                                                          |Star                          |07 15 45.8406839112 -27 50 13.358809788|240.4611226542681 -07.4434867849258|  -3.251 -0.768   |9.43     |~               |    ~     ~    
1188 |TYC 6545-1168-1                                                                                          |Star                          |07 17 01.9051872168 -27 44 15.574179804|240.4995691225035 -07.1484610523143|   -2.820 2.140   |10.352   |~               |    ~     ~    
1189 |TYC 6545-1191-1                                                                                          |Star                          |07 18 19.8262690608 -27 30 30.368391624|240.4255909829769 -06.7880420925131|   3.232 -3.629   |10.53    |~               |    ~     ~    
1190 |TYC 6545-1253-1                                                                                          |Star                          |07 17 32.9728931880 -27 28 55.709935788|240.3226229997033 -06.9302696009991| 11.496 -13.128   |9.73     |~               |    ~     ~    
1191 |TYC 6545-1278-1                                                                                          |High Proper Motion Star       |07 18 37.5211647336 -27 53 40.535698956|240.8017568526642 -06.9058950044890| -19.634 66.240   |9.94     |~               |    ~     ~    
