C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
126  |BD-03 1821                                                                                               |High Proper Motion Star       |07 16 10.6751867328 -03 39 57.274367976|219.0263072721885 +03.8150153456291|104.983 -50.553   |9.00     |K2V             |    ~     ~    
127  |HD 56423                                                                                                 |High Proper Motion Star       |07 16 53.4341071776 -03 42 39.005223516|219.1486271651601 +03.9518917784698|139.968 -119.776  |7.67     |F6V             |    ~     ~    
128  |HD 56542                                                                                                 |High Proper Motion Star       |07 17 18.5122271592 -03 52 53.100744744|219.3485697601907 +03.9654004924559| 37.985 -48.728   |8.21     |A7III           |    ~     ~    
129  |BD-03 1828                                                                                               |Star                          |07 17 29.3184949968 -03 16 45.948361116|218.8343137783504 +04.2837039308554|  -20.526 5.479   |8.50     |K0              |    ~     ~    
130  |BD-03 1829                                                                                               |Star                          |07 17 32.1992355552 -03 45 04.544809488|219.2593092600318 +04.0760794541323| -10.930 -3.709   |8.97     |B8              |    ~     ~    
131  |HD 56610                                                                                                 |Star                          |07 17 35.2671284592 -03 44 52.782551016|219.2623238612219 +04.0888988467462| -11.065 -3.952   |7.38     |B8V             |    ~     ~    
132  |HD 56720                                                                                                 |Star                          |07 18 08.6224915800 -03 52 22.291897296|219.4376554816365 +04.1540055310840|  -5.647 -2.788   |9.12     |B9IV            |    ~     ~    
133  |HD 56765                                                                                                 |Double or Multiple Star       |07 18 21.0822 -03 36 43.748            |219.2300045 +04.3206435            |       -6.6 3.2   |8.77     |A9V             |    ~     ~    
134  |HD 296660                                                                                                |Star                          |07 15 46.2101313504 -02 47 39.547158504|218.2042190734163 +04.1271736487132|   -1.048 1.868   |9.96     |G5              |    ~     ~    
135  |HD 296662                                                                                                |Star                          |07 15 32.7565912704 -02 55 55.804675404|218.3009467192815 +04.0139136738659|  -6.221 -3.885   |10.80    |A5              |    ~     ~    
136  |HD 296664                                                                                                |Star                          |07 15 48.4664065632 -03 03 02.256342156|218.4365362628708 +04.0172513493295|  -1.592 -1.017   |10.87    |A2              |    ~     ~    
137  |HD 296665                                                                                                |Star                          |07 15 19.0886060040 -02 59 25.171533240|218.3263727565201 +03.9366249069648|    1.258 2.932   |10.59    |K0              |    ~     ~    
138  |HD 296686                                                                                                |Star                          |07 15 28.0949102112 -03 26 34.345898412|218.7460813229157 +03.7610048116433|   1.238 -1.348   |10.95    |A5              |    ~     ~    
139  |HD 296687                                                                                                |Star                          |07 15 22.3428258744 -03 27 13.610884068|218.7447065950895 +03.7347480151960|  -5.811 -4.996   |10.41    |A2              |    ~     ~    
