C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
355 |CD-30 620                                                             |Star                           |01 48 06.2620715040 -29 43 46.001042796|228.0523293307668 -77.2821383097923|  41.541 -2.065   |10.834   |~               |    ~     ~    
356 |TYC 6431-61-1                                                         |Star                           |01 46 55.1728680360 -28 31 51.531727548|222.6743308438009 -77.6609738452848|  33.857 -2.946   |10.83    |~               |    ~     ~    
357 |TYC 6431-993-1                                                        |Star                           |01 46 49.7754373248 -28 57 32.596144056|224.6780222278028 -77.6490923244383|   5.461 -8.443   |10.54    |~               |    ~     ~    
358 |TYC 6431-1332-1                                                       |Star                           |01 49 44.9229961656 -29 31 02.465154588|226.8951465610866 -76.9563256722177|  19.936 -9.113   |10.94    |~               |    ~     ~    
359 |TYC 7003-201-1                                                        |Star                           |01 47 04.7206789224 -30 29 11.642321004|231.6275123107745 -77.3670274351378|-18.892 -40.626   |10.92    |~               |    ~     ~    
360 |CD-30 656                                                             |Spectroscopic Binary           |01 54 06.3516889032 -30 18 35.934468120|229.6736837506803 -75.9096433378848|129.817 -123.931  |9.95     |G0              |    ~     ~    
361 |CD-30 652                                                             |Star                           |01 53 27.7797856512 -30 22 11.891661240|230.0111322327348 -76.0367193518872|  9.362 -16.743   |10.53    |~               |    ~     ~    
362 |CD-30 676                                                             |Star                           |01 56 53.5120177200 -30 10 58.151359632|228.8059074060607 -75.3336429645206| 36.311 -32.418   |10.496   |~               |    ~     ~    
363 |CD-28 593                                                             |Star                           |01 53 22.7105824152 -28 21 58.860495756|221.6849714908894 -76.2492230441937|  10.078 19.616   |10.412   |~               |    ~     ~    
364 |CD-29 625                                                             |Star                           |01 52 31.7963739240 -29 23 03.348578472|226.0281843586029 -76.3695438685709|   17.631 6.432   |10.83    |~               |    ~     ~    
365 |HD 11524                                                              |Star                           |01 52 40.9851817440 -28 40 05.813467392|222.9853151248807 -76.3903888939506|   18.502 1.146   |9.48     |F2V             |    ~     ~    
366 |HD 11628                                                              |Double or Multiple Star        |01 53 32.0614313520 -29 25 25.759019028|226.1007258754401 -76.1479078110253|   19.335 1.837   |9.996    |G1V             |    ~     ~    
367 |CD-30 660                                                             |Star                           |01 54 34.0715040912 -29 36 56.266365492|226.7924656872608 -75.9041048239333|  28.284 13.211   |10.264   |~               |    ~     ~    
368 |HD 11508                                                              |Star                           |01 52 33.0280992216 -30 17 17.941714908|229.8112676109576 -76.2444417379663|   17.388 1.111   |8.94     |F3/5IV/V        |    ~     ~    
369 |CD-30 642                                                             |Star                           |01 52 38.5801510248 -30 05 49.612708500|229.0036694750822 -76.2549588628680|  -4.281 10.207   |10.62    |F0              |    ~     ~    
370 |CD-30 646                                                             |High Proper Motion Star        |01 52 57.9845325336 -29 50 53.283359400|227.9258306073711 -76.2209867951052|-31.034 -46.304   |10.411   |G               |    ~     ~    
371 |CD-30 650                                                             |High Proper Motion Star        |01 53 20.3404795176 -30 05 22.395417792|228.8780851817250 -76.1072361248266|-26.179 -112.076  |10.831   |~               |    ~     ~    
372 |HD 11664                                                              |Spectroscopic Binary           |01 53 50.7459580560 -30 18 07.945336548|229.6790097035246 -75.9663022207099|  16.423 -5.851   |8.87     |K0III           |    ~     ~    
373 |CD-30 661                                                             |Star                           |01 54 36.8445386712 -30 08 05.282631996|228.8960033892418 -75.8278348294199|  21.164 -1.193   |10.431   |~               |    ~     ~    
374 |CD-29 626                                                             |Spectroscopic Binary           |01 52 40.0013110800 -29 02 23.299042848|224.5609451533706 -76.3705015901924| 29.947 -23.639   |10.568   |~               |    ~     ~    
375 |CD-30 645                                                             |Star                           |01 52 54.4841338584 -29 33 34.135441200|226.7275093586398 -76.2689518507137|  -25.248 6.434   |10.52    |~               |    ~     ~    
376 |CD-29 628                                                             |Star                           |01 52 55.0685209512 -29 20 44.809847700|225.8305796570395 -76.2892845805413|   7.128 12.148   |10.966   |~               |    ~     ~    
377 |CD-28 591                                                             |Star                           |01 53 05.0777166240 -27 50 31.665111288|219.4762380808413 -76.3181863756149|  25.643 -0.677   |10.29    |~               |    ~     ~    
378 |CD-29 629                                                             |Spectroscopic Binary           |01 53 33.4944504768 -29 04 28.756196688|224.6447377640117 -76.1735765904171|   30.063 5.222   |10.16    |~               |    ~     ~    
379 |CD-29 634                                                             |High Proper Motion Star        |01 54 13.5874740744 -29 17 46.352955840|225.5131570340251 -76.0099083232125| 71.193 -30.870   |10.498   |~               |    ~     ~    
380 |CD-28 594                                                             |Spectroscopic Binary           |01 54 17.1733218600 -28 10 53.113442556|220.8968870055061 -76.0528601063453| -18.946 -5.543   |10.578   |~               |    ~     ~    
381 |CD-30 658                                                             |High Proper Motion Star        |01 54 17.6566487136 -29 23 23.245785096|225.8926331888950 -75.9865428366325| 73.578 -63.443   |10.62    |~               |    ~     ~    
