C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
1620|HD 114241                                                                                                |Star                           |13 09 05.6907311088 +18 37 32.572299396|329.3873760326283 +80.5773714861010|  -3.724 17.876  |6.91     |K5III             |    ~     ~    
1621|BD+18 2692                                                                                               |Star                           |13 08 06.1812844920 +17 53 49.218362016|326.3961659688118 +80.0010241587627|  7.463 -24.082  |9.63     |G6V               |    ~     ~    
1622|BD+18 2691                                                                                               |Star                           |13 07 50.7303719400 +17 37 01.612690104|325.4892599666412 +79.7628684733990| -21.500 21.416  |9.67     |K0                |    ~     ~    
1623|HD 114300                                                                                                |Star                           |13 09 30.9133721304 +17 28 59.676459744|327.2655101889811 +79.4907309684870|-18.003 -21.693  |8.27     |K5III-IV          |    ~     ~    
1624|HD 114219                                                                                                |High Proper Motion Star        |13 09 02.7049286040 +17 07 06.132575388|325.9640894984716 +79.1944005564407| -53.788 15.653  |9.45     |F8V               |    ~     ~    
1625|BD+17 2592                                                                                               |Star                           |13 09 10.4521641120 +17 01 39.578861496|325.9413248765850 +79.0986821852991|  -39.708 3.627  |9.49     |K0                |    ~     ~    
1626|HD 114326                                                                                                |High Proper Motion Star        |13 09 47.8475594496 +16 50 55.004141976|326.3238097367312 +78.8774615975125|-65.924 -14.977  |5.87     |K4III             |    ~     ~    
1627|HD 114327                                                                                                |Star                           |13 09 48.5459405952 +16 28 40.679240556|325.6486386561841 +78.5311943240801|  -13.423 5.230  |8.27     |K1III             |    ~     ~    
1628|HD 114328                                                                                                |High Proper Motion Star        |13 09 48.4350823536 +16 20 12.644309940|325.3950499618900 +78.3994973539752|-45.662 -42.818  |10.28    |F9V               |    ~     ~    
1629|HD 114745                                                                                                |Spectroscopic Binary           |13 12 21.2558496888 +18 42 48.006229572|333.7772791807675 +80.3077222784632| -61.120 13.077  |8.20     |F8V               |    ~     ~    
1630|HD 114793                                                                                                |High Proper Motion Star        |13 12 35.9107681440 +18 45 06.298394616|334.1884316641894 +80.3132910831647| -73.741 10.880  |6.49     |G6III             |    ~     ~    
