C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:31:36

dec >=0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3892

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------|-----|----------------|-----------------------|--------|-------------------
64  |TYC 4543-717-1                                                                                           |Star                               |08 37 01.2643176624 +78 56 29.820494004|134.5646808060354 +31.5611794485980| -12.041 -8.038   |10.19    |F                    |    ~     ~      |    1|  283.150   pc  |  -1.4592     +1.4592  |paral   |2020yCat.1350....0G
65  |BD+79 276                                                                                                |Pulsating Variable                 |08 36 59.2318218696 +78 31 59.851416216|135.0144083288356 +31.7029885191610|-12.402 -19.664   |10.52    |F5                   |    ~     ~      |    1|  315.428   pc  |  -1.2138     +1.2138  |paral   |2020yCat.1350....0G
66  |BD+79 278                                                                                                |Star                               |08 40 22.2686295096 +78 43 03.433485504|134.7418867724876 +31.7930285664994|  11.254 29.623   |10.04    |F8                   |    ~     ~      |    1|  243.736   pc  |  -0.9268     +0.9268  |paral   |2020yCat.1350....0G
67  |BD+79 281                                                                                                |Star                               |08 44 17.1195450816 +78 36 58.611876768|134.7682553660008 +32.0092334905487|   -4.694 0.282   |9.24     |K0                   |    ~     ~      |    1|  815.727   pc  |  -8.0515     +8.0515  |paral   |2020yCat.1350....0G
68  |HD 70470                                                                                                 |Star                               |08 30 51.9518751888 +78 13 42.353864904|135.4728558071617 +31.5146352902703| -5.508 -25.485   |7.082    |G5                   |    ~     ~      |    1|  259.444   pc  |  -1.0904     +1.0904  |paral   |2020yCat.1350....0G
69  |TYC 4543-1248-1                                                                                          |Star                               |08 36 20.7715621944 +78 36 12.587631300|134.9500645941247 +31.6487764406502|   -5.214 4.467   |10.97    |G0                   |    ~     ~      |    1|  343.666   pc  |  -1.6062     +1.6062  |paral   |2020yCat.1350....0G
70  |TYC 4543-1252-1                                                                                          |Star                               |08 36 28.6011932928 +78 29 33.719201736|135.0695289638486 +31.6932782919999|  -0.550 -0.569   |10.45    |G5                   |    ~     ~      |    1|  986.972   pc  | -10.6178    +10.6178  |paral   |2020yCat.1350....0G
71  |BD+78 288                                                                                                |Star                               |08 38 22.1928909984 +78 20 13.243927056|135.2019704494207 +31.8367811014013| 12.214 -36.377   |9.21     |F5                   |    ~     ~      |    1|  169.127   pc  |  -3.5498     +3.5498  |paral   |2020yCat.1350....0G
72  |TYC 4543-1223-1                                                                                          |Star                               |08 38 34.4930382480 +78 38 40.034104188|134.8595534593845 +31.7372323193241|  2.049 -11.125   |10.44    |G0                   |    ~     ~      |    1|  255.323   pc  |  -0.9322     +0.9322  |paral   |2020yCat.1350....0G
73  |BD+78 290                                                                                                |High Proper Motion Star            |08 39 55.7321456568 +78 06 11.111770368|135.4262971318607 +31.9942418010519| 53.541 -36.758   |9.89     |G0                   |    ~     ~      |    1|   86.412   pc  |  -0.0836     +0.0836  |paral   |2020yCat.1350....0G
74  |TYC 4543-1278-1                                                                                          |Star                               |08 41 19.4503337520 +78 37 43.706101440|134.8189596269703 +31.8691183307187|-26.153 -38.698   |10.32    |F8                   |    ~     ~      |    1|  166.650   pc  |  -0.3027     +0.3027  |paral   |2020yCat.1350....0G
75  |TYC 4543-1154-1                                                                                          |Star                               |08 41 29.8029470472 +78 43 55.898488344|134.7021503043613 +31.8388457829577|  -2.914 -3.642   |10.73    |~                    |    ~     ~      |    1| 1146.000   pc  | -18.3864    +18.3864  |paral   |2020yCat.1350....0G
76  |BD+78 289                                                                                                |Star                               |08 38 45.7041328752 +77 45 40.098305160|135.8290450450518 +32.0579573944850|-16.371 -31.488   |10.52    |F8                   |    ~     ~      |    1|  294.586   pc  |  -1.4753     +1.4753  |paral   |2020yCat.1350....0G
77  |BD+77 331                                                                                                |Star                               |08 32 27.9809643456 +77 15 00.054711036|136.5309589516040 +31.9074079756517|  -5.260 -8.714   |10.18    |G0                   |    ~     ~      |    1|  765.580   pc  |  -8.3228     +8.3228  |paral   |2020yCat.1350....0G
