C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1373|HD 43700                                                              |Star                           |06 19 35.7292546032 +40 39 04.139799840|173.0568223345261 +11.7439318486456|   1.535 -6.782   |8.61     |K0             |    ~     ~    
1374|HD 43796                                                              |Star                           |06 20 01.4548894248 +40 23 50.371099296|173.3264328927880 +11.7068128069836|  -2.514 -4.491   |9.54     |A0             |    ~     ~    
1375|BD+40 1565                                                            |Star                           |06 20 35.1807 +40 19 24.277            |173.4419542 +11.7711265            | -2.254 -15.658   |9.45     |K0             |    ~     ~    
1376|BD+40 1566                                                            |Double or Multiple Star        |06 20 51.5208416952 +40 18 01.343879352|173.4861642192396 +11.8079106440923|    2.547 8.080   |9.58     |F9V            |    ~     ~    
1377|BD+40 1572                                                            |Star                           |06 21 58.1898643680 +40 52 36.164266824|173.0475803206397 +12.2468456505158|   0.180 -6.907   |8.68     |K2             |    ~     ~    
1378|HD 44190                                                              |Star                           |06 22 22.6778659920 +40 30 35.595085536|173.4205183730271 +12.1592281186890| -3.977 -12.725   |8.52     |A5             |    ~     ~    
1379|HD 44191                                                              |Star                           |06 22 29.4577180488 +40 02 36.062281572|173.8607172010206 +11.9780723112927|  27.600 26.685   |9.20     |F5             |    ~     ~    
1380|BD+40 1551                                                            |Star                           |06 18 39.2900958288 +39 57 58.285609200|173.6053738581163 +11.2830542617293|  -5.860 -7.677   |9.20     |A2             |    ~     ~    
1381|HD 42903                                                              |Long-Period Variable           |06 15 17.3481484968 +39 56 45.856656096|173.3324918492889 +10.6959882560457|    6.747 5.552   |7.71     |~              |    ~     ~    
1382|BD+39 1560                                                            |Star                           |06 15 31.4242273512 +39 55 54.633420228|173.3658979229196 +10.7298593762844|  4.657 -47.945   |9.71     |F7V            |    ~     ~    
1383|HD 42977                                                              |Star                           |06 15 43.6569743328 +39 43 16.557190752|173.5754289754280 +10.6708247033782| 11.037 -34.667   |8.93     |K2             |    ~     ~    
1384|HD 42978                                                              |Star                           |06 15 42.1685723208 +39 30 26.981981136|173.7678123773815 +10.5709911453922|   1.851 -5.097   |8.49     |K2             |    ~     ~    
1385|BD+39 1568                                                            |Star                           |06 16 27.5431089744 +39 31 59.593829556|173.8106403774935 +10.7129760780862|  5.216 -17.407   |9.52     |F0             |    ~     ~    
1386|BD+39 1570                                                            |Star                           |06 16 54.6373887240 +39 42 43.041673836|173.6870575769862 +10.8703629511785| -10.533 -0.128   |9.11     |K2             |    ~     ~    
1387|BD+39 1573                                                            |Star                           |06 17 30.2819909712 +39 33 01.881479232|173.8860613041166 +10.9012569440770| -12.916 -0.385   |10.06    |G0             |    ~     ~    
1388|HD 43333                                                              |Star                           |06 17 36.0354169080 +39 51 30.433820544|173.6131130862158 +11.0541054660455|  -1.635 -2.508   |7.260    |K0             |    ~     ~    
1389|V* V452 Aur                                                           |Long-Period Variable Candidate |06 17 44.9806336752 +39 28 25.957622496|173.9773560418497 +10.9096608850871|   0.558 -3.459   |6.71     |K2             |    ~     ~    
1390|BD+39 1577                                                            |Star                           |06 17 46.7821938792 +39 35 14.679129732|173.8762785785023 +10.9651097591163|  -0.145 -4.139   |8.77     |K0             |    ~     ~    
1391|HD 43401                                                              |Star                           |06 17 54.8461014240 +39 54 32.077101564|173.5940559838754 +11.1303505480528|  -1.547 -3.801   |8.80     |A3             |    ~     ~    
1392|HD 43623                                                              |Double or Multiple Star        |06 19 08.0179028064 +39 46 28.832891592|173.8219627590753 +11.2814758262879|   -8.443 0.033   |9.22     |kA8hA8mF5(III) |    ~     ~    
1393|BD+39 1584C                                                           |Star                           |06 19 05.6385428448 +39 46 22.100473344|173.8202654483599 +11.2738086216810|  -4.530 -9.590   |10.4     |~              |    ~     ~    
1394|BD+39 1586                                                            |Star                           |06 19 16.0004050344 +39 32 20.394982068|174.0493088883532 +11.2009938430391|   1.336 -2.834   |9.62     |K0             |    ~     ~    
1395|BD+39 1587                                                            |Double or Multiple Star        |06 19 20.090 +39 34 18.40              |174.025169 +11.227193              |      -2.3 -4.6   |10.16    |A0             |    ~     ~    
1396|HD 43701                                                              |High Proper Motion Star        |06 19 35.8691311992 +39 49 05.900143080|173.8218287500938 +11.3807395724871|-25.420 -56.178   |8.32     |F8             |    ~     ~    
1397|BD+39 1594                                                            |Star                           |06 20 22.1873631048 +39 45 35.212400784|173.9416504200630 +11.4885544566801| -3.021 -13.018   |9.79     |K0             |    ~     ~    
1398|HD 43925                                                              |Star                           |06 20 47.5942824240 +39 20 38.899257216|174.3595515954862 +11.3806479414960|  3.514 -13.956   |8.52     |K0             |    ~     ~    
1399|NGC 2192                           NGC 2192                           |Open Cluster                   |06 15 16.6 +39 50 46                   |173.4224 +10.6490                  |   0.193 -1.962   |10.9     |~              | 5.4   5.4     
1400|TYC 2930-7-1                                                          |Star                           |06 16 40.5044646888 +41 00 08.225446896|172.4875358613108 +11.4012048605574|   -2.733 0.297   |10.10    |~              |    ~     ~    
1401|TYC 2930-53-1                                                         |Star                           |06 17 36.2102556144 +41 11 36.226387644|172.3908542826665 +11.6423350450739|  1.293 -17.626   |10.01    |~              |    ~     ~    
