C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
123 |TYC 4525-1201-1                                                       |Star                           |06 22 15.1862162808 +76 11 59.857599156|138.0118593119352 +24.5735197815414|   -1.370 7.514   |10.56    |~              |    ~     ~    
124 |TYC 4525-1244-1                                                       |Star                           |06 22 16.7645677920 +76 15 57.700310724|137.9417434480594 +24.5908949484750|  4.956 -15.919   |10.87    |~              |    ~     ~    
125 |TYC 4525-1296-1                                                       |Star                           |06 25 36.1798164888 +76 10 30.889914348|138.0897138473111 +24.7621492446735|   7.304 -8.911   |10.36    |~              |    ~     ~    
126 |TYC 4525-1708-1                                                       |Star                           |06 17 34.5324636864 +76 11 09.361621968|137.9502394230354 +24.2997829733282|  -2.232 -0.624   |10.66    |~              |    ~     ~    
127 |TYC 4529-21-1                                                         |High Proper Motion Star        |06 20 30.7978932648 +78 20 18.521859588|135.6979425161528 +24.9844105308727| 10.216 -57.847   |10.71    |~              |    ~     ~    
128 |TYC 4529-39-1                                                         |Star                           |06 15 55.7995383528 +78 39 10.816392528|135.3009746430392 +24.8377343271826|   -7.774 2.310   |9.91     |~              |    ~     ~    
129 |TYC 4529-86-1                                                         |Spectroscopic Binary           |06 18 30.6374812200 +78 34 58.485015156|135.4099463959252 +24.9442813924369|  13.616 -6.415   |10.47    |~              |    ~     ~    
130 |TYC 4529-107-1                                                        |Star                           |06 20 43.3094340120 +78 21 52.358922072|135.6726353445727 +25.0006613962634| -1.370 -27.883   |9.96     |~              |    ~     ~    
131 |TYC 4529-598-1                                                        |Star                           |06 17 43.5868968456 +78 04 41.603386332|135.9393012006989 +24.7842567662608|    9.257 0.165   |10.96    |~              |    ~     ~    
132 |TYC 4529-968-1                                                        |Star                           |06 28 03.2431723008 +78 03 15.594504408|136.0966664123446 +25.2992630867502|  -4.540 -6.989   |10.96    |~              |    ~     ~    
133 |TYC 4529-1002-1                                                       |Star                           |06 15 37.7616311184 +77 57 22.090876380|136.0396266224875 +24.6484358875444|    2.254 0.385   |10.83    |~              |    ~     ~    
134 |TYC 4529-1472-1                                                       |Star                           |06 28 16.2874520304 +78 00 12.646362852|136.1542370229683 +25.3000256827442|   -6.738 3.268   |10.18    |~              |    ~     ~    
135 |GSC 04529-01531                                                       |Spectroscopic Binary           |06 26 52.6479839544 +77 47 37.553185032|136.3645564988094 +25.1853876126396|   4.355 -8.944   |10.161   |~              |    ~     ~    
136 |TYC 4529-1592-1                                                       |Star                           |06 23 46.2967048944 +76 53 05.444718828|137.3018913526821 +24.8201147328709|   0.542 -4.984   |10.92    |~              |    ~     ~    
137 |NGC 2146                           NGC 2146                           |Starburst Galaxy               |06 18 37.710 +78 21 25.27              |135.653423 +24.896256              |            ~ ~   |10.59    |~              | 5.37  3.39    
138 |HD 42755                                                              |Star                           |06 21 02.8541752584 +75 17 31.015232880|138.9584034354636 +24.2781416036697|-10.360 -21.908   |9.54     |A5             |    ~     ~    
