C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1583|TYC 450-962-1                                                         |Star                           |18 36 15.7761524040 +02 28 02.647650252|033.4016389187040 +04.5001653701644|  -0.011 -7.875   |10.65    |~               |    ~     ~    
1584|TYC 450-994-1                                                         |Star                           |18 36 33.4942545240 +02 40 22.036126188|033.6187845841927 +04.5277757482742|  -1.312 -6.883   |10.84    |~               |    ~     ~    
1585|TYC 450-1047-1                                                        |Star                           |18 36 03.8518478520 +02 04 19.903325484|033.0259431465367 +04.3647074422618|  -1.005 -2.353   |10.87    |~               |    ~     ~    
1586|TYC 450-1148-1                                                        |Star                           |18 36 56.3703085824 +02 17 53.142641880|033.3274273996955 +04.2726804946792|   11.756 3.212   |10.76    |~               |    ~     ~    
1587|TYC 451-651-1                                                         |Spectroscopic Binary           |18 38 01.6590986448 +02 08 36.696159528|033.3133329237600 +03.9602920579681|-20.464 -29.089   |10.52    |~               |    ~     ~    
1588|TYC 451-686-1                                                         |Star                           |18 38 00.6215471976 +02 22 10.706903112|033.5132470243575 +04.0669522893928|   -0.011 8.640   |10.96    |~               |    ~     ~    
1589|TYC 451-779-1                                                         |Star                           |18 39 08.1224924304 +01 58 31.585045548|033.2894849499749 +03.6373704112034|  0.281 -14.879   |10.52    |~               |    ~     ~    
1590|TYC 451-897-1                                                         |Star                           |18 38 32.0125232856 +02 02 28.350730860|033.2796234683785 +03.8011949804380|   12.559 3.382   |10.01    |~               |    ~     ~    
1591|TYC 451-926-1                                                         |Star                           |18 40 52.1957254152 +02 22 54.990317532|033.8496638074377 +03.4363544118075|  -0.500 -6.469   |10.55    |~               |    ~     ~    
1592|TYC 451-929-1                                                         |Star                           |18 38 55.8790577664 +02 09 25.589040336|033.4283662547053 +03.7654119300800|   0.901 -7.444   |10.64    |~               |    ~     ~    
1593|TYC 451-1020-1                                                        |Star                           |18 40 01.4131460352 +02 19 53.271942708|033.7083091541887 +03.6016978790068|  -0.688 -4.777   |10.03    |~               |    ~     ~    
1594|TYC 451-1035-1                                                        |Star                           |18 43 20.3068115784 +02 43 25.746618540|034.4353989021935 +03.0426753368961|  10.043 -6.829   |10.98    |~               |    ~     ~    
1595|TYC 451-1062-1                                                        |Star                           |18 40 33.5594544456 +02 34 23.580198516|033.9850167785638 +03.5924087695484|    1.989 3.759   |10.03    |~               |    ~     ~    
1596|TYC 451-1122-1                                                        |Star                           |18 41 31.6144953888 +02 13 23.956474404|033.7829193298064 +03.2180576693728|   11.094 2.610   |10.19    |~               |    ~     ~    
1597|TYC 451-1144-1                                                        |Star                           |18 40 08.5386804048 +02 29 43.430575272|033.8681266042571 +03.6498067060511|  -0.487 -4.600   |10.97    |~               |    ~     ~    
1598|BD+02 3671                                                            |Star                           |18 44 29.7924164976 +02 20 34.941749136|034.2275716861421 +02.6119021139321|  -1.039 -5.808   |9.75     |M               |    ~     ~    
1599|BD+05 3769                                                            |High Proper Motion Star        |18 30 46.8618886152 +05 31 43.708993968|035.5249755130049 +07.1038439647602| -47.697 25.627   |9.62     |G               |    ~     ~    
1600|BD+05 3771                                                            |Star                           |18 30 54.0653534328 +05 28 08.786132184|035.4847785101619 +07.0503135388199|  19.779 -7.103   |9.95     |A5              |    ~     ~    
1601|BD+05 3776                                                            |Star                           |18 32 12.3646313256 +05 08 50.717724288|035.3427190794230 +06.6154430143949|   -5.459 5.501   |9.31     |K0              |    ~     ~    
1602|BD+05 3777                                                            |Star                           |18 32 24.3323700696 +05 33 59.155734348|035.7419449992922 +06.7597170888937|   1.157 -1.546   |10.03    |A2              |    ~     ~    
1603|HD 171219                                                             |Be Star                        |18 33 17.8360774464 +05 26 43.946946780|035.7337802033872 +06.5071500613263|  -4.610 -9.073   |7.65     |B8V             |    ~     ~    
1604|BD+04 3770                                                            |Star                           |18 30 20.6849312352 +04 46 31.097197236|034.7978556996973 +06.8616064008629|   2.864 -6.284   |9.73     |A0              |    ~     ~    
1605|BD+04 3773                                                            |Double or Multiple Star        |18 30 32.9416734398 +04 16 26.619084161|034.3705777035923 +06.5899901107864|   0.984 -3.102   |8.83     |A0              |    ~     ~    
1606|HD 170699                                                             |delta Sct Variable             |18 30 41.1676993440 +04 30 38.996099028|034.5987990113381 +06.6663940503032| -11.458 -5.817   |6.94     |A2III/IV        |    ~     ~    
1607|BD+04 3775                                                            |Star                           |18 30 41.7245845200 +04 32 18.865536180|034.6247749152763 +06.6768487988158|-15.814 -17.165   |8.63     |~               |    ~     ~    
1608|BD+04 3776                                                            |Star                           |18 30 55.9236891720 +04 37 17.337650232|034.7260590832595 +06.6616269085970|  -0.753 -9.028   |10.41    |A0              |    ~     ~    
1609|HD 170783                                                             |Be Star                        |18 31 04.4487386976 +04 37 37.037375040|034.7470567602552 +06.6324980072130|  -1.834 -9.176   |7.73     |B5              |    ~     ~    
