C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
125 |BD+48 2753                                                            |Star                           |18 43 45.7691935632 +48 17 09.527556084|077.4609268454995 +21.1130588119341|   7.948 16.225   |9.52     |F1V             |    ~     ~    
126 |BD+48 2755                                                            |Star                           |18 44 01.5612291720 +48 15 07.642189296|077.4405034707065 +21.0610827350087|    7.498 0.329   |9.36     |K0              |    ~     ~    
127 |BD+47 2677                                                            |gamma Dor Variable             |18 41 04.3495591056 +47 26 26.615010840|076.4508219826691 +21.2896537182729|   0.036 -4.896   |9.35     |A5              |    ~     ~    
128 |HD 173415                                                             |Star                           |18 42 50.6365510536 +47 34 30.827720208|076.6849799631976 +21.0449096931035|  33.232 35.567   |6.94     |kA4hA9mA9(III)  |    ~     ~    
129 |BD+47 2682                                                            |Red Giant Branch star          |18 43 28.3036240416 +47 42 13.084886556|076.8504390047108 +20.9831487976267|   4.718 -1.304   |9.45     |K0              |    ~     ~    
130 |BD+47 2683                                                            |Star                           |18 43 42.4230433392 +47 56 16.009897416|077.1022447552323 +21.0166388113113|  -7.461 48.062   |9.26     |G0V             |    ~     ~    
131 |HD 173630                                                             |Eruptive Variable              |18 43 54.3895391736 +47 36 58.354537500|076.7852027209951 +20.8867644613602| 15.027 -38.640   |6.67     |K2              |    ~     ~    
132 |BD+47 2685                                                            |Horizontal Branch Star         |18 44 16.8575473416 +47 40 29.299305324|076.8655674027608 +20.8446659901827|   2.302 12.587   |9.30     |K0              |    ~     ~    
133 |AG+47 1358                                                            |delta Sct Variable             |18 44 12.4193357928 +47 40 31.035773604|076.8619755364898 +20.8566663972382|   0.384 -3.967   |10.90    |A0              |    ~     ~    
134 |BD+49 2843                                                            |Star                           |18 41 37.8233897112 +49 49 48.038978496|078.9371511497419 +21.9003003440093|   4.032 -2.052   |9.62     |A2              |    ~     ~    
135 |BD+48 2738                                                            |Star                           |18 39 59.0787839520 +49 04 21.518054544|078.0724196586183 +21.9402124633242|   -8.529 5.560   |9.03     |M0              |    ~     ~    
136 |BD+48 2740                                                            |Star                           |18 40 17.7046639896 +49 05 18.110045472|078.1043384485964 +21.8960054539242|   0.833 -2.183   |9.05     |M0              |    ~     ~    
137 |BD+48 2743                                                            |Star                           |18 40 36.8704538352 +49 03 43.737435756|078.0934668368742 +21.8383690521212|  -7.005 -8.877   |9.26     |K0              |    ~     ~    
138 |BD+47 2669                                                            |Star                           |18 39 03.3044966328 +47 56 45.939435216|076.8623421419149 +21.7630377209417|  -0.519 11.150   |9.72     |F0              |    ~     ~    
139 |TYC 3531-6-1                                                          |Rotating Variable              |18 41 36.2204297568 +47 31 51.241296828|076.5719880272393 +21.2310565320825|   -4.230 3.534   |10.78    |~               |    ~     ~    
140 |TYC 3531-53-1                                                         |Star                           |18 40 21.3177753360 +48 30 14.912360640|077.5049382869552 +21.7179229860701|    3.892 2.862   |10.26    |~               |    ~     ~    
141 |TYC 3531-190-1                                                        |Horizontal Branch Star         |18 43 28.1225109192 +47 33 40.932880740|076.7051648683789 +20.9403020697208| -0.056 -13.730   |10.88    |K1III           |    ~     ~    
