C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
85  |HD 291238                                                             |Double or Multiple Star           |06 08 39.735480 -01 08 58.28208        |209.045505377 -10.035754911        |     -13.7 -7.3   |10.648   |A7               |    ~     ~    |    0|                |                       |        |                   
86  |HD 291253                                                             |Star                              |06 09 16.1510537304 -01 44 21.616821312|209.6485201938386 -10.1715999604777|  -2.652 -6.958   |10.95    |F5               |    ~     ~    |    1|  230.028   pc  |  -0.8201     +0.8201  |paral   |2020yCat.1350....0G
87  |HD 291255                                                             |Star                              |06 08 31.6786134816 -01 49 21.987736392|209.6376901165277 -10.3744586845838|   0.164 -1.084   |10.64    |A0               |    ~     ~    |    1|  825.696   pc  | -15.8171    +15.8171  |paral   |2020yCat.1350....0G
88  |HD 291303                                                             |Star                              |06 10 42.9806868768 -00 30 41.807138652|208.7106347891705 -09.2863573103639|   -1.491 3.197   |10.8     |A5               |    ~     ~    |    1|  575.374   pc  | -11.8187    +11.8187  |paral   |2020yCat.1350....0G
89  |HD 291330                                                             |Star                              |06 09 59.8611556536 -01 29 41.896744080|209.5126704160768 -09.8978053710296|  -2.669 -3.071   |10.62    |K0               |    ~     ~    |    1|  886.525   pc  | -11.1602    +11.1602  |paral   |2020yCat.1350....0G
90  |HD 291331                                                             |Star                              |06 10 53.2227633768 -01 47 38.197665276|209.8857534475034 -09.8371785609723| -8.119 -12.554   |10.71    |A5               |    ~     ~    |    1|  489.141   pc  | -10.6949    +10.6949  |paral   |2020yCat.1350....0G
91  |HD 41030                                                              |Double or Multiple Star           |06 02 31.125 -02 21 39.09              |209.424606 -11.955514              |       31.5 5.0   |8.5      |A0V              |    ~     ~    |    0|                |                       |        |                   
92  |HD 41061                                                              |Star                              |06 02 42.4925619960 -02 24 49.003222968|209.4946870774425 -11.9375809401105|    0.267 0.468   |8.39     |A0V+K0III        |    ~     ~    |    1|  493.608   pc  |  -8.3084     +8.3084  |paral   |2020yCat.1350....0G
93  |HD 41166                                                              |Star                              |06 03 10.2472971000 -02 04 10.141849920|209.2362333242050 -11.6772425895866|  -3.657 -2.906   |8.37     |K0III            |    ~     ~    |    1|  365.083   pc  |  -2.6924     +2.6924  |paral   |2020yCat.1350....0G
94  |HD 41176                                                              |Star                              |06 03 19.0780413072 -02 28 43.150067328|209.6249815040347 -11.8318966647124|   -1.481 0.637   |7.14     |B8II/III         |    ~     ~    |    1|  474.563   pc  | -19.5933    +19.5933  |paral   |2020yCat.1350....0G
95  |HD 41206                                                              |Star                              |06 03 30.5200553640 -02 35 13.209944172|209.7456869351741 -11.8390585125268| -10.144 -7.905   |8.80     |A9V              |    ~     ~    |    1|  222.653   pc  |  -0.7833     +0.7833  |paral   |2020yCat.1350....0G
96  |HD 41421B                                                             |Star                              |06 04 52.6734407208 -02 43 00.497175420|210.0230723012175 -11.5941067896697|  -3.744 -4.368   |10.07    |~                |    ~     ~    |    1|  420.062   pc  |  -8.5932     +8.5932  |paral   |2020yCat.1350....0G
