C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
920 |TYC 3501-2246-1                                                       |Star                           |17 08 48.2267153640 +45 23 39.131674080|070.9568599126660 +36.5309610744258| -2.781 -15.515    |10.72    |~                    |    ~     ~    
921 |TYC 3501-2378-1                                                       |Star                           |17 04 42.3561027144 +45 21 19.447366248|070.8623570737440 +37.2476762467134| -11.380 12.276    |10.91    |~                    |    ~     ~    
922 |TYC 3501-2581-1                                                       |Star                           |17 05 09.6023371200 +45 19 18.409213740|070.8248194784779 +37.1664081827829|   6.141 24.847    |10.87    |~                    |    ~     ~    
923 |TYC 3501-2643-1                                                       |Star                           |17 06 24.2972066064 +46 10 50.018041560|071.9120049271682 +36.9866697618369|  -7.199 -8.669    |9.44     |~                    |    ~     ~    
924 |BD+49 2582                                                            |Star                           |17 04 39.6945417240 +49 44 26.515530780|076.3741147827366 +37.3258972781951|   -1.116 7.290    |9.81     |K0                   |    ~     ~    
925 |HD 153989                                                             |Star                           |17 00 13.3353988440 +49 28 18.246204048|076.0513642652828 +38.0500245629878| -19.315 -2.379    |8.35     |K0                   |    ~     ~    
926 |HD 154114                                                             |Star                           |17 01 01.7643689760 +48 57 43.692480324|075.4016175182719 +37.9282261776287|  21.919 26.982    |8.88     |F8                   |    ~     ~    
927 |HD 154324                                                             |Star                           |17 02 15.8328859488 +49 25 23.572268940|075.9812159086141 +37.7192602621556|  -1.758 24.632    |8.90     |F2                   |    ~     ~    
928 |HD 154323                                                             |Star                           |17 02 15.9755575584 +49 35 38.262245604|076.1970245332095 +37.7157930803043|  4.941 -13.174    |7.17     |K0                   |    ~     ~    
929 |BD+49 2581                                                            |Star                           |17 04 35.1958996728 +48 49 30.445892400|075.2227254156022 +37.3446624671698|   4.831 12.407    |10.18    |F8                   |    ~     ~    
930 |HD 154732                                                             |Spectroscopic Binary           |17 04 49.7731415688 +48 48 14.237256168|075.1960730837185 +37.3046796004843| 25.274 -70.756    |6.106    |K1III                |    ~     ~    
931 |BD+49 2584                                                            |Star                           |17 05 08.7202284600 +49 40 03.161577540|076.2810128871323 +37.2485504967412|   6.701 -5.213    |9.54     |K5                   |    ~     ~    
932 |BD+49 2585                                                            |Star                           |17 06 15.3767828328 +49 03 42.989137200|075.5200676056817 +37.0705009428946|  -8.039 -1.784    |10.15    |F2                   |    ~     ~    
933 |HD 155024                                                             |Star                           |17 06 36.1327322088 +49 12 05.696941716|075.6950736290101 +37.0140298530340|   12.873 2.099    |8.83     |K0                   |    ~     ~    
934 |BD+48 2465                                                            |Star                           |17 00 00.6598447512 +48 01 32.462986872|074.2151709637874 +38.1063713423818|  -4.205 -3.567    |10.18    |F5                   |    ~     ~    
935 |BD+48 2466                                                            |Spectroscopic Binary           |17 00 10.1450250672 +48 20 52.365340752|074.6243019524009 +38.0776733835446|-52.858 -49.264    |9.71     |F8                   |    ~     ~    
936 |HD 153957                                                             |Star                           |17 00 10.1703446112 +48 43 28.146683208|075.1026802380502 +38.0731555516894| -10.566 -8.065    |9.19     |G0                   |    ~     ~    
937 |HD 154125                                                             |Star                           |17 01 14.1414038376 +48 37 02.822997792|074.9642316262831 +37.8984187418603| 10.091 -22.839    |9.25     |G5                   |    ~     ~    
938 |BD+48 2470                                                            |Star                           |17 02 51.7975093848 +48 24 50.225355288|074.7049910114402 +37.6299758226456| -12.653 -5.435    |9.00     |K2                   |    ~     ~    
939 |HD 154634                                                             |Star                           |17 04 21.1099265400 +47 59 33.187506936|074.1750251375303 +37.3802974322972| -20.196 20.911    |8.97     |F8                   |    ~     ~    
940 |BD+48 2475                                                            |Star                           |17 04 49.7666207232 +48 38 23.637731388|074.9898242960353 +37.3045334217601|  0.209 -27.953    |10.10    |A0                   |    ~     ~    
941 |BD+48 2476                                                            |Star                           |17 04 52.5694055304 +48 05 15.363832092|074.2955990234538 +37.2935498819224|  -8.051 10.875    |9.08     |G5                   |    ~     ~    
942 |BD+48 2478                                                            |Star                           |17 06 03.4623034104 +48 08 19.068320040|074.3624159596669 +37.0969125331822|   4.994 21.127    |9.66     |K0                   |    ~     ~    
943 |BD+48 2479                                                            |Star                           |17 06 55.0470828888 +48 25 14.999429424|074.7180664343285 +36.9573403572911|   14.838 8.595    |9.23     |F0                   |    ~     ~    
944 |HD 155136                                                             |High Proper Motion Star        |17 07 22.3775695128 +48 23 57.578603856|074.6923657769990 +36.8814832299093| -32.785 45.470    |6.66     |K0                   |    ~     ~    
