C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:14:34

dec >=0&rah >=0.0&rah< 0.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4977

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
70  |TYC 3246-7-1                                                                                             |Star                              |00 06 21.9546864240 +46 51 27.949104900|114.9687860196039 -15.3159083022235|   1.432 -5.237   |9.72     |~               |    ~     ~          |    1| 1017.501   pc  | -34.3722    +34.3722  |paral   |2020yCat.1350....0G
71  |TYC 3246-70-1                                                                                            |Star                              |00 01 16.1533291920 +46 16 14.861485776|113.9601767872094 -15.7251692397033|  7.478 -11.825   |10.34    |~               |    ~     ~          |    1|  376.251   pc  |  -9.7397     +9.7397  |paral   |2020yCat.1350....0G
72  |TYC 3246-107-1                                                                                           |Star                              |00 07 50.6483981640 +46 49 11.749200852|115.2198227185358 -15.3979926623871|   -5.395 5.664   |10.68    |~               |    ~     ~          |    1|  589.067   pc  |  -5.2397     +5.2397  |paral   |2020yCat.1350....0G
73  |TYC 3246-108-1                                                                                           |Star                              |00 09 10.2096222840 +46 27 29.313289476|115.3879733629378 -15.7935486182852|   0.082 -9.606   |10.06    |~               |    ~     ~          |    1|  622.471   pc  |  -5.6183     +5.6183  |paral   |2020yCat.1350....0G
74  |TYC 3246-188-1                                                                                           |Star                              |00 04 07.8243017280 +45 53 23.523477720|114.3888845936734 -16.1956863466104|   0.367 -4.290   |10.67    |~               |    ~     ~          |    1|  891.107   pc  | -11.3552    +11.3552  |paral   |2020yCat.1350....0G
75  |TYC 3246-206-1                                                                                           |Star                              |00 09 42.0059782392 +46 24 26.700891588|115.4726330288814 -15.8589418956170|   29.818 2.972   |10.80    |~               |    ~     ~          |    1|  305.437   pc  |  -1.5860     +1.5860  |paral   |2020yCat.1350....0G
76  |TYC 3246-216-1                                                                                           |Star                              |00 06 48.4551772800 +45 44 26.756092032|114.8378606298031 -16.4284032194776|   4.961 -3.144   |10.89    |~               |    ~     ~          |    1| 1933.114   pc  | -63.5278    +63.5278  |paral   |2020yCat.1350....0G
77  |TYC 3246-238-1                                                                                           |Star                              |00 08 05.0297041704 +46 30 33.654925296|115.2056985735831 -15.7109893431894|-10.582 -17.114   |10.80    |~               |    ~     ~          |    1|  680.041   pc  |  -6.3356     +6.3356  |paral   |2020yCat.1350....0G
78  |TYC 3246-243-1                                                                                           |Star                              |00 07 39.6654081768 +46 51 03.514297320|115.1934853776219 -15.3619504321406|  -1.763 -4.595   |10.16    |~               |    ~     ~          |    1| 1044.386   pc  | -22.4693    +22.4693  |paral   |2020yCat.1350....0G
79  |TYC 3246-251-1                                                                                           |Star                              |00 07 17.2875172032 +46 51 06.777821664|115.1285548097610 -15.3498376282433|-12.254 -34.976   |10.44    |~               |    ~     ~          |    1|  219.092   pc  |  -0.7632     +0.7632  |paral   |2020yCat.1350....0G
80  |TYC 3246-321-1                                                                                           |Star                              |00 10 02.0140629072 +46 45 07.832557152|115.5910409954165 -15.5285670730864|  -6.636 -3.976   |10.20    |~               |    ~     ~          |    1|  564.302   pc  |  -7.0056     +7.0056  |paral   |2020yCat.1350....0G
81  |TYC 3246-325-1                                                                                           |High Proper Motion Star           |00 07 28.9437829296 +46 38 26.207710296|115.1238762421999 -15.5636647042614|  54.855 -9.308   |10.02    |~               |    ~     ~          |    1|  125.751   pc  |  -0.3685     +0.3685  |paral   |2020yCat.1350....0G
82  |TYC 3246-359-1                                                                                           |Star                              |00 01 36.3810441624 +46 38 04.251080472|114.0947236210191 -15.3804054412369| 38.639 -25.818   |10.05    |~               |    ~     ~          |    1|  163.875   pc  |  -0.3787     +0.3787  |paral   |2020yCat.1350....0G
83  |TYC 3246-386-1                                                                                           |Star                              |00 10 32.7787380984 +45 54 25.001029188|115.5365204298341 -16.3768014673208|  -7.607 -7.239   |10.67    |~               |    ~     ~          |    1|  545.256   pc  |  -4.9353     +4.9353  |paral   |2020yCat.1350....0G
84  |TYC 3246-415-1                                                                                           |Star                              |00 00 49.8909894456 +46 41 20.067126180|113.9709860183769 -15.3004486766680| -14.469 -6.670   |10.46    |~               |    ~     ~          |    1|  957.304   pc  | -14.0214    +14.0214  |paral   |2020yCat.1350....0G
85  |TYC 3246-445-1                                                                                           |Star                              |00 08 28.1527065216 +46 43 50.668711428|115.3131367906100 -15.5043828159567|  -9.654 -4.028   |10.73    |~               |    ~     ~          |    1|  818.532   pc  | -17.0178    +17.0178  |paral   |2020yCat.1350....0G
86  |TYC 3246-451-1                                                                                           |High Proper Motion Star           |00 01 43.4434709592 +46 36 59.536763208|114.1115573334029 -15.4020420937473| -64.558 12.803   |10.28    |~               |    ~     ~          |    1|  166.309   pc  |  -2.0191     +2.0191  |paral   |2020yCat.1350....0G
87  |TYC 3246-465-1                                                                                           |Star                              |00 07 19.5701161560 +46 36 43.809907680|115.0912585469962 -15.5869302317641|  -11.362 7.205   |10.93    |~               |    ~     ~          |    1|  347.717   pc  |  -2.4786     +2.4786  |paral   |2020yCat.1350....0G
88  |TYC 3246-515-1                                                                                           |Star                              |00 06 23.4909776856 +46 41 04.264210932|114.9408540014302 -15.4871045741822| -10.811 -0.776   |10.81    |~               |    ~     ~          |    1|  311.614   pc  |  -2.4567     +2.4567  |paral   |2020yCat.1350....0G
89  |TYC 3246-579-1                                                                                           |Star                              |00 06 43.4068427880 +46 40 50.618258904|114.9982617961316 -15.5010638186638|   8.931 -6.563   |10.29    |~               |    ~     ~          |    1|  678.012   pc  |  -8.0907     +8.0907  |paral   |2020yCat.1350....0G
90  |TYC 3246-590-1                                                                                           |Star                              |00 03 07.5738711576 +46 01 03.497624760|114.2361008281039 -16.0368040656259|   44.804 2.918   |10.60    |~               |    ~     ~          |    1|  288.450   pc  |  -2.7956     +2.7956  |paral   |2020yCat.1350....0G
91  |TYC 3246-603-1                                                                                           |Star                              |00 06 56.0173297104 +46 40 18.290757864|115.0334086494972 -15.5163395909841|   -0.258 4.335   |10.87    |~               |    ~     ~          |    1|  768.758   pc  | -13.0017    +13.0017  |paral   |2020yCat.1350....0G
92  |TYC 3246-634-1                                                                                           |Star                              |00 09 23.1547700904 +46 13 07.095606420|115.3839765079519 -16.0359007290734|  -7.048 -7.540   |10.15    |~               |    ~     ~          |    1|  670.871   pc  | -17.1026    +17.1026  |paral   |2020yCat.1350....0G
93  |TYC 3246-662-1                                                                                           |Star                              |00 07 21.8267312208 +45 46 16.488562512|114.9430498549518 -16.4157226930059|   1.190 -3.020   |10.70    |~               |    ~     ~          |    1| 1418.641   pc  | -30.5906    +30.5906  |paral   |2020yCat.1350....0G
