C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
65  |BD+43 351                                                                                                                                                                                                                                            |Star                              |01 43 21.1894998552 +44 30 29.529112428|132.5939465868238 -17.3873921245932|   4.330 -1.554   |9.74     |G5III             |    ~     ~    |    1|  599.664   pc  |  -6.3289     +6.3289  |paral   |2020yCat.1350....0G
66  |TYC 2827-965-1                                                                                                                                                                                                                                       |Star                              |01 40 15.1037604408 +44 26 36.823271100|132.0398337371268 -17.5632098269826|  -1.423 -5.629   |10.76    |~                 |    ~     ~    |    1| 1390.241   pc  | -33.6302    +33.6302  |paral   |2020yCat.1350....0G
67  |HD 9654                                                                                                                                                                                                                                              |Star                              |01 35 31.9180334424 +43 35 51.814815792|131.3310096864050 -18.5537464452211|-10.883 -25.317   |10.01    |K0                |    ~     ~    |    1|  369.877   pc  |  -2.2984     +2.2984  |paral   |2020yCat.1350....0G
68  |HD 9824                                                                                                                                                                                                                                              |Star                              |01 36 47.0161894704 +43 46 10.003316592|131.5326444295351 -18.3437296198883|  -1.506 -8.252   |9.34     |B9V               |    ~     ~    |    1|  495.909   pc  |  -6.7630     +6.7630  |paral   |2020yCat.1350....0G
69  |TYC 2826-1400-1                                                                                                                                                                                                                                      |Star                              |01 37 35.1846208824 +44 05 02.127038568|131.6206607591556 -18.0078744869442|  -5.006 -6.808   |10.34    |A5                |    ~     ~    |    1|  417.659   pc  |  -3.5411     +3.5411  |paral   |2020yCat.1350....0G
70  |BD+43 335                                                                                                                                                                                                                                            |Star                              |01 37 42.4056508872 +44 09 21.121420824|131.6287945411353 -17.9331586692672|  -3.201 -5.124   |10.10    |A2                |    ~     ~    |    1|  539.025   pc  | -23.1858    +23.1858  |paral   |2020yCat.1350....0G
71  |HD 10014                                                                                                                                                                                                                                             |Star                              |01 38 38.7375886728 +44 08 39.895173420|131.8048721386615 -17.9124994636341| -40.986 -8.122   |7.97     |A9II              |    ~     ~    |    1|  113.658   pc  |  -0.3320     +0.3320  |paral   |2020yCat.1350....0G
72  |BD+43 339                                                                                                                                                                                                                                            |Star                              |01 38 59.1342338592 +43 58 04.299209976|131.9035474053997 -18.0740359570132|  -2.440 -3.195   |9.59     |K7V               |    ~     ~    |    1| 1597.444   pc  | -53.5884    +53.5884  |paral   |2020yCat.1350....0G
73  |TYC 2826-2107-1                                                                                                                                                                                                                                      |Star                              |01 39 26.5781682720 +44 02 20.243927436|131.9739261984460 -17.9883544302692|  -3.301 -1.993   |10.62    |A2                |    ~     ~    |    1| 1130.966   pc  | -24.8142    +24.8142  |paral   |2020yCat.1350....0G
74  |BD+43 344                                                                                                                                                                                                                                            |Star                              |01 40 02.6474535360 +44 07 18.831534780|132.0681474100154 -17.8858879700101| -19.301 -3.194   |10.37    |G5                |    ~     ~    |    1|  496.155   pc  |  -4.0618     +4.0618  |paral   |2020yCat.1350....0G
75  |BD+43 345                                                                                                                                                                                                                                            |Star                              |01 40 37.2943442472 +44 00 05.658788448|132.2000718238341 -17.9832836661135|   0.333 -3.955   |10.14    |B9V               |    ~     ~    |    1|  768.108   pc  | -18.9977    +18.9977  |paral   |2020yCat.1350....0G
76  |BD+43 346                                                                                                                                                                                                                                            |Star                              |01 40 51.1696971720 +43 56 05.852627304|132.2569366994374 -18.0402418023705|  -9.241 -5.304   |9.69     |K0III             |    ~     ~    |    1|  557.041   pc  |  -4.9647     +4.9647  |paral   |2020yCat.1350....0G
77  |BD+43 350                                                                                                                                                                                                                                            |Spectroscopic Binary              |01 42 51.8341851072 +43 56 38.701441932|132.6276132142901 -17.9573773659173|  -8.407 -4.118   |9.67     |K0III             |    ~     ~    |    1|  610.016   pc  | -13.9173    +13.9173  |paral   |2020yCat.1350....0G
78  |BD+43 355                                                                                                                                                                                                                                            |Star                              |01 44 53.7274953096 +44 01 00.913023120|132.9866574864672 -17.8086755126998| -5.547 -12.904   |9.91     |K0III             |    ~     ~    |    1|  282.079   pc  |  -1.2731     +1.2731  |paral   |2020yCat.1350....0G
79  |BD+43 356                                                                                                                                                                                                                                            |Star                              |01 44 59.3397298776 +44 13 18.141725352|132.9574016040397 -17.6051017175156|  -8.915 -7.492   |10.37    |F2                |    ~     ~    |    1|  428.357   pc  |  -3.3212     +3.3212  |paral   |2020yCat.1350....0G
80  |TYC 2827-2248-1                                                                                                                                                                                                                                      |Star                              |01 44 59.4085968816 +44 13 43.946358384|132.9559864605115 -17.5980588248188| 12.537 -17.007   |10.77    |~                 |    ~     ~    |    1|  376.563   pc  |  -3.6442     +3.6442  |paral   |2020yCat.1350....0G
81  |BD+43 357                                                                                                                                                                                                                                            |Star                              |01 44 58.9581912408 +43 52 54.432853284|133.0334680974057 -17.9372150184128|  -18.944 2.947   |9.17     |G8V               |    ~     ~    |    1|  488.353   pc  |  -4.5551     +4.5551  |paral   |2020yCat.1350....0G
82  |BD+42 320                                                                                                                                                                                                                                            |Star                              |01 34 15.2050204104 +42 55 52.656344040|131.2137725615941 -19.2508873940604|   5.164 -3.831   |10.17    |F2                |    ~     ~    |    1|  356.265   pc  |  -2.4243     +2.4243  |paral   |2020yCat.1350....0G
83  |BD+42 322                                                                                                                                                                                                                                            |Star                              |01 34 41.6364415152 +43 15 41.435406576|131.2361139348205 -18.9116763998966| -9.465 -22.083   |9.24     |K0III             |    ~     ~    |    1|  300.625   pc  |  -1.5273     +1.5273  |paral   |2020yCat.1350....0G
84  |HD 9622                                                                                                                                                                                                                                              |High Proper Motion Star           |01 35 18.4153161864 +43 02 43.648260432|131.3931129629391 -19.1044012723985|108.783 -93.972   |8.81     |G0V               |    ~     ~    |    1|  113.630   pc  |  -1.1659     +1.1659  |paral   |2020yCat.1350....0G
85  |HD 9711                                                                                                                                                                                                                                              |Star                              |01 35 58.0326559416 +43 29 28.467000492|131.4331322711764 -18.6442537686584|   2.954 -6.266   |9.98     |A0V               |    ~     ~    |    1|  518.457   pc  | -44.1903    +44.1903  |paral   |2020yCat.1350....0G
