C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
79  |HD 293763                                                                                                                                   |Star                               |05 03 27.2310453168 -02 49 19.738849692|202.5583401405732 -25.2109226166073|  14.235 -4.165    |10.227   |~              |    ~     ~    |    1|  728.717   pc  | -20.9900    +20.9900    |ST-L    |2020AJ....160...83S
80  |BD-03 965                                                                                                                                   |Star                               |05 00 03.9263238384 -03 19 21.137552040|202.5937415167849 -26.1932101108568| -0.755 -13.595    |10.30    |F3             |    ~     ~    |    1|  375.728   pc  |  -2.2729     +2.2729    |paral   |2020yCat.1350....0G
81  |BD-03 969                                                                                                                                   |Star                               |05 00 20.0911177296 -03 45 30.361866768|203.0563636476510 -26.3429604768721|   36.209 0.696    |10.23    |~              |    ~     ~    |    1|  225.048   pc  |  -2.4108     +2.4108    |paral   |2020yCat.1350....0G
82  |BD-03 974                                                                                                                                   |Star                               |05 00 57.4972794984 -03 02 50.465766732|202.4445720426768 -25.8654432638946|    2.898 5.430    |10.19    |~              |    ~     ~    |    1|  478.583   pc  |  -4.3976     +4.3976    |paral   |2020yCat.1350....0G
83  |BD-04 1007                                                                                                                                  |Star                               |05 01 09.9032007936 -04 28 25.131487368|203.8690085545154 -26.5002956638209| -1.251 -15.157    |10.07    |~              |    ~     ~    |    1|  662.208   pc  |  -7.2794     +7.2794    |paral   |2020yCat.1350....0G
84  |BD-03 976                                                                                                                                   |Star                               |05 01 20.0178668568 -03 12 50.915087712|202.6571649648995 -25.8635219288272|  0.757 -12.330    |9.94     |~              |    ~     ~    |    1|  708.818   pc  |  -8.3402     +8.3402    |paral   |2020yCat.1350....0G
85  |BD-03 984                                                                                                                                   |Spectroscopic Binary               |05 02 56.4457499928 -03 38 42.465569820|203.2905935485499 -25.7175048524395|   9.306 -0.726    |10.38    |~              |    ~     ~    |    1|  622.432   pc  | -11.5452    +11.5452    |paral   |2020yCat.1350....0G
86  |BD-05 1136                                                                                                                                  |Star                               |05 03 23.8835840232 -04 58 04.439017236|204.6477166764097 -26.2413158187505|  -6.660 -2.249    |10.77    |~              |    ~     ~    |    1|  142.389   pc  |  -0.3285     +0.3285    |paral   |2020yCat.1350....0G
87  |BD-04 1023                                                                                                                                  |Star                               |05 03 28.5770219328 -04 19 04.247699880|204.0189240132511 -25.9188460784436|   -1.143 5.505    |9.98     |~              |    ~     ~    |    1| 1554.243   pc  | -52.1785    +52.1785    |paral   |2020yCat.1350....0G
88  |HD 293774                                                                                                                                   |Star                               |05 03 42.4429167360 -03 15 16.507993212|203.0115175925216 -25.3629385613160|   10.034 2.752    |10.99    |G0             |    ~     ~    |    1|  577.701   pc  |  -6.5413     +6.5413    |paral   |2020yCat.1350....0G
89  |ASAS J050204-0248.1                                                                                                                         |Eclipsing Binary                   |05 02 03.7262311800 -02 48 07.495457508|202.3535432374757 -25.5057491673274|  4.556 -17.883    |10.75    |~              |    ~     ~    |    1|  194.594   pc  |  -0.8293     +0.8293    |paral   |2020yCat.1350....0G
90  |TYC 4754-616-1                                                                                                                              |Spectroscopic Binary               |05 01 37.1683415160 -02 54 49.645773828|202.4029442584083 -25.6564410190268|  3.111 -12.307    |10.209   |~              |    ~     ~    |    1| 1130.100   pc  | -65.0200    +65.0200    |ST-L    |2020AJ....160...83S
91  |TYC 4754-621-1                                                                                                                              |Star                               |05 02 14.1078883656 -02 50 17.335970412|202.4116323005808 -25.4852967756908|    2.794 4.004    |9.91     |~              |    ~     ~    |    1| 1431.229   pc  | -28.6778    +28.6778    |paral   |2020yCat.1350....0G
