C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1863|TYC 5913-63-1                                                                                                                               |Star                               |05 08 26.3501678712 -21 46 31.174341456|222.8461326344851 -31.8848047661854| 11.325 -10.694    |10.48    |~              |    ~     ~    |    1|  290.503   pc  |  -1.7638     +1.7638    |paral   |2020yCat.1350....0G
1864|TYC 5913-319-1                                                                                                                              |High Proper Motion Star            |05 04 39.8062693704 -21 39 57.937417344|222.3829495948746 -32.6769947104796|   7.661 51.425    |10.74    |~              |    ~     ~    |    1|  295.249   pc  |  -5.1530     +5.1530    |ST-L    |2020AJ....160...83S
1865|TYC 5913-512-1                                                                                                                              |High Proper Motion Star            |05 06 47.0749618776 -20 55 51.570981480|221.7569115974561 -31.9666430439188|-20.984 -54.153    |10.86    |~              |    ~     ~    |    1|  107.225   pc  |  -0.1575     +0.1575    |paral   |2020yCat.1350....0G
1866|TYC 5913-544-1                                                                                                                              |Star                               |05 04 32.3831387424 -21 14 59.704341576|221.9052420121815 -32.5667776964783|  13.216 29.045    |10.84    |~              |    ~     ~    |    1|  350.042   pc  |  -2.6589     +2.6589    |paral   |2020yCat.1350....0G
1867|TYC 5913-1334-1                                                                                                                             |Star                               |05 11 32.3308522200 -21 23 50.506942308|222.7093087402329 -31.0795354391780|   8.871 39.616    |10.778   |~              |    ~     ~    |    1|  314.002   pc  |  -5.8280     +5.8280    |ST-L    |2020AJ....160...83S
1868|TYC 5914-246-1                                                                                                                              |Star                               |05 12 14.4114789264 -21 51 58.527959724|223.2889258476886 -31.0823666027458|-37.900 -29.439    |10.863   |~              |    ~     ~    |    1|  224.032   pc  |  -2.4670     +2.4670    |ST-L    |2020AJ....160...83S
1869|TYC 5914-459-1                                                                                                                              |Star                               |05 14 57.8012390285 -21 52 44.467467085|223.5476640128422 -30.4908376301520|  18.149 -7.713    |10.805   |~              |    ~     ~    |    1|  337.838   pc  |  -4.4512     +4.4512    |paral   |2020yCat.1350....0G
1870|TYC 5914-931-1                                                                                                                              |Star                               |05 12 11.5387379304 -21 12 34.030923372|222.5627222051093 -30.8729429867524|    1.983 2.977    |10.81    |~              |    ~     ~    |    1| 1022.495   pc  | -11.5005    +11.5005    |paral   |2020yCat.1350....0G
1871|TYC 5914-971-1                                                                                                                              |Star                               |05 12 58.0187610864 -20 58 32.065704732|222.3780379936476 -30.6236313973510|  15.512 25.339    |10.96    |~              |    ~     ~    |    1|  294.968   pc  |  -0.9658     +0.9658    |paral   |2020yCat.1350....0G
1872|HD 34057                                                                                                                                    |Star                               |05 13 36.1699493544 -24 48 55.909059516|226.6813998682706 -31.7247962114379|  -1.317 -2.081    |9.06     |F3V            |    ~     ~    |    1|  294.239   pc  |  -1.0043     +1.0043    |paral   |2020yCat.1350....0G
1873|BD-22 992                                                                                                                                   |Star                               |05 04 05.5187453568 -22 12 59.751995472|222.9512235366196 -32.9812904269274|  5.695 -27.339    |10.152   |F8             |    ~     ~    |    1|  236.323   pc  |  -2.8090     +2.8090    |ST-L    |2020AJ....160...83S
