C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
69  |HD 107365                                                                                                |High Proper Motion Star             |12 20 39.2647615608 -03 59 42.677717964|288.3299853251546 +58.0011691710851|-106.980 -74.965  |7.93     |F8V            |    ~     ~    |    1|   68.893   pc  |  -0.1187     +0.1187  |paral   |2020yCat.1350....0G
70  |HD 107402                                                                                                |Star                                |12 20 50.0693945064 -03 59 20.483687544|288.4099856023911 +58.0172508984753|  -27.374 9.873   |10.006   |F0V            |    ~     ~    |    1|  351.303   pc  |  -9.6380     +9.6380  |ST-L    |2020AJ....160...83S
71  |HD 106546                                                                                                |Spectroscopic Binary                |12 15 21.9580300440 -04 25 30.933583068|286.1337623039565 +57.2653187546888|  10.142 -8.650   |9.20     |A2II           |    ~     ~    |    1|  271.107   pc  |  -6.3740     +6.3740  |ST-L    |2020AJ....160...83S
72  |HD 106695                                                                                                |Star                                |12 16 16.1456963040 -04 27 06.854888628|286.5490340932244 +57.2969294027434|-31.146 -28.534   |8.12     |K0III          |    ~     ~    |    1|  296.762   pc  |  -2.1577     +2.1577  |paral   |2020yCat.1350....0G
73  |HD 106891                                                                                                |Star                                |12 17 39.1881294072 -04 25 24.597892380|287.1556459737467 +57.4097455866905|-22.665 -13.935   |9.910    |G0V            |    ~     ~    |    1|  231.426   pc  |  -3.4400     +3.4400  |ST-L    |2020AJ....160...83S
74  |HD 107197                                                                                                |Star                                |12 19 32.2338303360 -04 32 32.737782120|288.0548892564962 +57.4049808678069|  -16.356 1.413   |10.07    |A7/8II         |    ~     ~    |    1|  403.994   pc  | -12.5700    +12.5700  |ST-L    |2020AJ....160...83S
75  |HD 107309                                                                                                |Star                                |12 20 16.8691565376 -04 30 37.033668972|288.3768778046584 +57.4783306142621|  -1.982 -3.361   |7.15     |K0III          |    ~     ~    |    1|  179.976   pc  |  -0.7968     +0.7968  |paral   |2020yCat.1350....0G
76  |V* KN Vir                                                                                                |Long-Period Variable Candidate      |12 21 51.1139360784 -04 23 11.051862684|289.0386947620973 +57.6850744594085| -1.252 -33.347   |7.31     |K5II/III       |    ~     ~    |    1|  599.125   pc  |  -7.5739     +7.5739  |paral   |2020yCat.1350....0G
77  |HD 107673                                                                                                |Star                                |12 22 29.3738403936 -04 42 04.853545416|289.4521533646084 +57.4108051167680|   9.825 -9.474   |9.824    |F6V            |    ~     ~    |    1|  330.152   pc  |  -7.1280     +7.1280  |ST-L    |2020AJ....160...83S
78  |HD 106681                                                                                                |Star                                |12 16 06.6031158720 -05 10 28.336494684|286.8098485998141 +56.5873305501516| 16.485 -17.291   |9.71     |F3IV/V         |    ~     ~    |    1|  235.106   pc  |  -1.6251     +1.6251  |paral   |2020yCat.1350....0G
79  |HD 107018                                                                                                |High Proper Motion Star             |12 18 24.0408915504 -05 01 53.714045172|287.7560261455865 +56.8635507528416|30.614 -142.097   |8.62     |F3/5V          |    ~     ~    |    1|   97.921   pc  |  -0.2023     +0.2023  |paral   |2020yCat.1350....0G
80  |HD 107239                                                                                                |Star                                |12 19 51.6283840464 -05 24 12.506559192|288.5554725174429 +56.5842853927259|   -3.292 7.189   |9.79     |A9IV/V         |    ~     ~    |    1|  298.838   pc  |  -2.7684     +2.7684  |paral   |2020yCat.1350....0G
81  |HD 107535                                                                                                |Star                                |12 21 38.9753301768 -05 22 49.068602868|289.3371094635731 +56.7031228916967|  2.122 -21.107   |8.98     |K1IVCNIII      |    ~     ~    |    1|  345.829   pc  |  -2.8823     +2.8823  |paral   |2020yCat.1350....0G
82  |IRAS 12165-0330                                                                                          |Long-Period Variable                |12 19 10.1338346880 -03 47 10.660875432|287.5573979368126 +58.1189500499025| -11.618 -2.072   |10.90    |M5/6           |    ~     ~    |    0|                |                       |        |                   
83  |BD-04 3242                                                                                               |Star                                |12 16 45.4458966720 -05 20 54.980736828|287.1705440081929 +56.4581502653122|-23.628 -25.834   |10.980   |~              |    ~     ~    |    1|  275.165   pc  |  -7.2270     +7.2270  |ST-L    |2020AJ....160...83S
84  |BD-04 3244                                                                                               |Star                                |12 17 30.0773748552 -05 20 01.158421164|287.4895576652442 +56.5171757073331|-30.381 -30.817   |10.884   |~              |    ~     ~    |    1|  237.152   pc  |  -3.5750     +3.5750  |ST-L    |2020AJ....160...83S
85  |BD-04 3245                                                                                               |Star                                |12 18 03.1995297120 -05 08 22.525121940|287.6487642476327 +56.7382627949090|   -9.322 3.166   |10.113   |~              |    ~     ~    |    1| 1551.000   pc  |-134.9000   +134.9000  |ST-L    |2020AJ....160...83S
86  |BD-04 3252                                                                                               |Star                                |12 19 46.7390189520 -05 21 26.384518116|288.5009029293197 +56.6247648969393| -3.410 -21.969   |10.766   |~              |    ~     ~    |    1|  236.476   pc  |  -3.3570     +3.3570  |ST-L    |2020AJ....160...83S
87  |BD-02 3503                                                                                               |Star                                |12 20 49.7821455768 -03 36 50.220765756|288.2477142609716 +58.3824487031958|   18.060 2.633   |10.285   |~              |    ~     ~    |    1|  211.487   pc  | -11.4700    +11.4700  |ST-L    |2020AJ....160...83S
88  |BD-03 3270                                                                                               |Star                                |12 21 06.7961431512 -04 04 38.706003480|288.5749190742394 +57.9465380967832|  -26.918 4.710   |10.206   |~              |    ~     ~    |    1|  802.816   pc  | -37.6700    +37.6700  |ST-L    |2020AJ....160...83S
89  |BD-02 3505                                                                                               |Star                                |12 21 27.0270328656 -03 32 18.126914172|288.5037237205767 +58.4908202020114|  -9.347 -0.939   |10.25    |~              |    ~     ~    |    1| 1200.192   pc  | -26.3604    +26.3604  |paral   |2020yCat.1350....0G
90  |BD-03 3272                                                                                               |Star                                |12 21 57.3112444752 -04 36 52.227954936|289.1763527928520 +57.4677115115843| 13.002 -12.164   |10.23    |~              |    ~     ~    |    1|  872.372   pc  | -14.9162    +14.9162  |paral   |2020yCat.1350....0G
