C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1748|NGC 6113                           NGC 6113                                                                                                 |Radio Galaxy                        |16 19 10.5492294480 +14 08 01.161707244|028.7883279197638 +40.0507927056841|   -0.775 0.362   |     ~   |~              |0.733 0.367    |    1|  129.10    Mpc |                       |redshift|2007ApJ...655..790C
1749|BD+15 2996                                                                                                                                  |Star                                |16 24 50.0584906608 +15 28 18.387928848|031.0864330313798 +39.3203278928377| -18.807 -9.025   |9.37     |F8             |    ~     ~    |    1|  259.855   pc  |  -0.8306     +0.8306  |paral   |2020yCat.1350....0G
1750|BD+15 2982                                                                                                                                  |Star                                |16 21 22.3813266336 +15 11 24.896602752|030.3299164472368 +39.9809509641800|   -9.703 6.804   |9.22     |K2             |    ~     ~    |    1| 1050.531   pc  | -20.8583    +20.8583  |paral   |2020yCat.1350....0G
1751|BD+15 2985                                                                                                                                  |Star                                |16 22 13.9492545744 +14 46 44.389965540|029.9430427042394 +39.6289881707344|   2.004 22.594   |10.36    |F8             |    ~     ~    |    1|  172.203   pc  |  -1.6873     +1.6873  |paral   |2020yCat.1350....0G
1752|BD+15 2993                                                                                                                                  |Star                                |16 24 38.1829854768 +15 08 53.836028088|030.6772109529182 +39.2391979400999| -28.724 10.498   |10.05    |F2             |    ~     ~    |    1|  275.224   pc  |  -1.6892     +1.6892  |paral   |2020yCat.1350....0G
1753|HD 148019                                                                                                                                   |Star                                |16 24 41.6862332472 +14 44 40.138009260|030.2051034656116 +39.0682294895815|-23.342 -15.249   |8.45     |F2             |    ~     ~    |    1|  238.135   pc  |  -1.7977     +1.7977  |paral   |2020yCat.1350....0G
1754|HD 148018                                                                                                                                   |Star                                |16 24 49.6709117952 +15 13 30.582513480|030.7918275253151 +39.2264821669682| -23.953 42.449   |8.92     |G5             |    ~     ~    |    1|  108.315   pc  |  -0.2569     +0.2569  |paral   |2020yCat.1350....0G
1755|BD+15 2999                                                                                                                                  |Star                                |16 25 57.0580915440 +15 18 29.871802188|031.0258257664709 +39.0089428836155| -2.335 -20.499   |9.31     |G5             |    ~     ~    |    1|  529.241   pc  |  -4.2855     +4.2855  |paral   |2020yCat.1350....0G
1756|HD 148286                                                                                                                                   |High Proper Motion Star             |16 26 25.0491507768 +15 05 39.627363732|030.8284879731916 +38.8222097390426|  -53.554 5.684   |7.30     |K0             |    ~     ~    |    1|  184.071   pc  |  -0.6370     +0.6370  |paral   |2020yCat.1350....0G
1757|HD 148318                                                                                                                                   |High Proper Motion Star             |16 26 37.4213456592 +14 49 51.648907044|030.5426352270333 +38.6734817572107|  5.036 -70.918   |9.07     |G5             |    ~     ~    |    1|   85.836   pc  |  -0.1113     +0.1113  |paral   |2020yCat.1350....0G
1758|BD+15 3004                                                                                                                                  |Star                                |16 27 39.2453073792 +15 06 00.397499436|030.9840525293458 +38.5494858237430| -37.899 19.382   |9.05     |F5             |    ~     ~    |    1|  109.056   pc  |  -0.1974     +0.1974  |paral   |2020yCat.1350....0G
1759|HD 148511                                                                                                                                   |Star                                |16 28 05.0972147136 +15 21 05.635147860|031.3319585161479 +38.5510727923446| -29.376 25.985   |7.45     |F8             |    ~     ~    |    1|  128.614   pc  |  -0.3077     +0.3077  |paral   |2020yCat.1350....0G
1760|HD 148556                                                                                                                                   |Star                                |16 28 24.1632181704 +15 25 52.659487992|031.4637380266248 +38.5111208337638|  -9.154 -7.408   |7.320    |K0             |    ~     ~    |    1|  237.406   pc  |  -3.1450     +3.1450  |paral   |2020yCat.1350....0G
