C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
859 |TYC 3302-1866-1                                                                                          |Star                          |02 17 53.6233008264 +48 57 27.652824936|137.2213806550427 -11.5005114980263|   2.470 -2.312   |10.53    |~                 |    ~     ~    
860 |TYC 3302-1868-1                                                                                          |Star                          |02 22 30.4450413480 +49 04 46.088204304|137.9034818302001 -11.1268061474904|   3.679 -8.363   |10.26    |~                 |    ~     ~    
861 |TYC 3302-1884-1                                                                                          |Star                          |02 16 27.6770468376 +48 48 23.158249020|137.0458725399763 -11.7213717850400|    8.282 4.732   |10.64    |~                 |    ~     ~    
862 |TYC 3303-391-1                                                                                           |Star                          |02 27 25.4727457296 +49 56 53.274469020|138.3436901855483 -10.0294169449977|   2.218 -6.873   |10.55    |~                 |    ~     ~    
863 |BD+48 675                                                                                                |Double or Multiple Star       |02 27 04.0755396720 +49 02 57.549013044|138.6247483172673 -10.8866375220964|  -0.016 -4.902   |9.831    |~                 |    ~     ~    
864 |TYC 3303-522-1                                                                                           |Star                          |02 28 34.3723094256 +49 16 15.025124820|138.7740346089721 -10.5898316986491|   -4.452 1.101   |10.28    |~                 |    ~     ~    
865 |TYC 3303-568-1                                                                                           |Star                          |02 26 46.8473642904 +49 15 13.993419168|138.5039194689116 -10.7135322351831|  -3.706 -0.914   |9.76     |~                 |    ~     ~    
866 |TYC 3303-574-1                                                                                           |Star                          |02 29 44.8323419568 +49 26 24.842723748|138.8898829743753 -10.3611712336539|   1.188 -3.689   |10.09    |~                 |    ~     ~    
867 |TYC 3303-630-1                                                                                           |Star                          |02 29 42.2714230392 +49 14 08.311827552|138.9616291532271 -10.5533385023151| -18.696 -4.755   |10.74    |~                 |    ~     ~    
868 |TYC 3303-641-1                                                                                           |Star                          |02 28 13.0366690080 +49 59 58.156840428|138.4447402869129 -09.9346597666117|    7.722 3.989   |10.39    |~                 |    ~     ~    
869 |GSC 03303-00684                                                                                          |Double or Multiple Star       |02 28 32.8420203960 +48 49 14.935644552|138.9407740576560 -11.0090142389456| -18.380 -6.344   |10.585   |~                 |    ~     ~    
