C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
721 |TYC 3160-100-1                                                                                           |Star                              |20 21 25.0014220704 +43 00 05.967672588|080.3229428254223 +03.5526159227819|  17.095 28.722  |10.25    |~                     |    ~     ~    |    1|  227.764   pc  |  -1.0738     +1.0738  |paral   |2020yCat.1350....0G
722 |TYC 3160-106-1                                                                                           |Star                              |20 28 41.2041482448 +42 42 44.096338692|080.8536521525332 +02.2964783733873|   17.370 8.078  |10.64    |~                     |    ~     ~    |    1|  439.599   pc  |  -2.0291     +2.0291  |paral   |2020yCat.1350....0G
723 |TYC 3160-164-1                                                                                           |Star                              |20 25 23.1377379000 +42 52 52.722630696|080.6398207861101 +02.8877933435623|    5.531 8.646  |10.56    |~                     |    ~     ~    |    1|  551.177   pc  |  -3.7367     +3.7367  |paral   |2020yCat.1350....0G
724 |TYC 3160-190-1                                                                                           |Star                              |20 27 03.0485609568 +43 02 25.974200364|080.9462469524803 +02.7312760307330|    6.626 2.696  |10.96    |~                     |    ~     ~    |    1|  909.008   pc  | -10.1634    +10.1634  |paral   |2020yCat.1350....0G
725 |TYC 3160-320-1                                                                                           |Star                              |20 25 22.4520676056 +42 57 46.742840604|080.7054523196585 +02.9365617627137|   10.689 2.045  |10.57    |~                     |    ~     ~    |    1|  111.8055  pc  | -11.0842    +11.0842  |paral   |2018yCat.1345....0G
726 |TYC 3160-356-1                                                                                           |Star                              |20 25 27.0492747696 +42 44 59.998066152|080.5392773505083 +02.8023427973642|    1.210 4.886  |10.47    |~                     |    ~     ~    |    1|  683.948   pc  |  -5.2860     +5.2860  |paral   |2020yCat.1350....0G
727 |TYC 3160-396-1                                                                                           |Star                              |20 24 12.8716979376 +42 48 01.476390744|080.4499602649858 +03.0169421392123|  -1.199 -9.712  |10.99    |~                     |    ~     ~    |    1|  488.472   pc  |  -3.2212     +3.2212  |paral   |2020yCat.1350....0G
728 |TYC 3160-404-1                                                                                           |Star                              |20 25 28.8577633128 +42 41 41.848685052|080.4974453514787 +02.7660878036327|  -3.125 -3.894  |10.97    |~                     |    ~     ~    |    0|                |                       |        |                   
729 |TYC 3160-470-1                                                                                           |Star                              |20 20 29.4025316136 +42 26 48.690179952|079.7682054214002 +03.3789618137069|  3.599 -19.076  |10.26    |~                     |    ~     ~    |    1|  773.276   pc  |  -6.9961     +6.9961  |paral   |2020yCat.1350....0G
730 |HD 229294                                                                                                |Star                              |20 25 33.6246338256 +41 36 53.196662952|079.6228513781662 +02.1308734001744|  -3.223 -8.210  |10.54    |~                     |    ~     ~    |    1|  780.336   pc  |  -6.5764     +6.5764  |paral   |2020yCat.1350....0G
731 |TYC 3160-514-1                                                                                           |Star                              |20 25 13.9747986216 +43 06 19.242436428|080.8070996299331 +03.0396595324221| -10.331 -0.336  |10.30    |~                     |    ~     ~    |    1|  686.483   pc  |  -5.2781     +5.2781  |paral   |2020yCat.1350....0G
732 |TYC 3160-536-1                                                                                           |Star                              |20 23 01.6924435704 +42 52 36.897833712|080.3881995936204 +03.2390792538259| -3.712 -10.317  |10.10    |~                     |    ~     ~    |    1|  332.259   pc  |  -1.3468     +1.3468  |paral   |2020yCat.1350....0G
733 |TYC 3160-574-1                                                                                           |Star                              |20 26 16.6938355488 +42 54 51.934258404|080.7613758979321 +02.7734241075609|   2.282 11.634  |10.39    |~                     |    ~     ~    |    1|  285.144   pc  |  -1.4879     +1.4879  |paral   |2020yCat.1350....0G
734 |TYC 3160-659-1                                                                                           |Star                              |20 24 12.3766177176 +41 44 34.916048340|079.5821309849189 +02.4114518249687|   4.935 10.250  |10.41    |~                     |    ~     ~    |    1|  406.108   pc  |  -1.7647     +1.7647  |paral   |2020yCat.1350....0G
735 |TYC 3160-674-1                                                                                           |Star                              |20 21 02.9486639040 +42 14 06.738309420|079.6519402926164 +03.1740285472831|  -0.093 -4.256  |10.85    |~                     |    ~     ~    |    1|  356.430   pc  |  -1.3339     +1.3339  |paral   |2020yCat.1350....0G
736 |TYC 3160-776-1                                                                                           |Star                              |20 22 29.8455023784 +42 10 18.296786820|079.7522543233899 +02.9172643848023|  -2.048 -6.953  |10.65    |~                     |    ~     ~    |    1|  834.794   pc  |  -7.5263     +7.5263  |paral   |2020yCat.1350....0G
737 |TYC 3160-848-1                                                                                           |Star                              |20 25 04.8968871264 +43 07 20.554871916|080.8051325494694 +03.0720419282404|   -3.917 1.668  |10.94    |~                     |    ~     ~    |    1|  470.898   pc  |  -2.9492     +2.9492  |paral   |2020yCat.1350....0G
738 |IRAS 20201+4230                                                                                          |Star                              |20 22 02.6389844280 +42 40 51.129879852|080.1237679958087 +03.2758531274061| -6.483 -15.592  |10.16    |~                     |    ~     ~    |    1|  819.874   pc  |  -8.0663     +8.0663  |paral   |2020yCat.1350....0G
739 |TYC 3160-988-1                                                                                           |Star                              |20 25 15.2051120760 +42 07 16.239862848|080.0038614475498 +02.4696563238907|  -2.249 -9.489  |10.60    |~                     |    ~     ~    |    1|  876.962   pc  | -12.2281    +12.2281  |paral   |2020yCat.1350....0G
