C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
91  |HD 38711                                                              |High Proper Motion Star               |05 47 25.2581352768 -06 22 32.893783932|211.3664064670632 -17.1273286792838|-17.795 -67.637  |9.39     |G3V              |    ~     ~    |    1|  131.406   pc  |  -0.2573     +0.2573  |paral   |2020yCat.1350....0G
92  |HD 38755                                                              |Star                                  |05 47 46.7823075720 -06 26 05.895981852|211.4633715878978 -17.0738999872492|   -6.761 7.055  |7.62     |B7/8IV/V         |    ~     ~    |    1|  337.838   pc  |  -5.0676     +5.0676  |paral   |2020yCat.1350....0G
93  |HD 38800                                                              |Star                                  |05 48 06.4004293416 -06 07 45.849673380|211.2153221516272 -16.8648867077311|  -2.523 -4.608  |8.44     |B8/9III          |    ~     ~    |    1|  472.010   pc  |  -5.4139     +5.4139  |paral   |2020yCat.1350....0G
94  |HD 38840                                                              |Double or Multiple Star               |05 48 20.39428 -06 38 44.9733          |211.72565087 -17.04310330          |      0.27 0.11  |8.15     |A9V              |    ~     ~    |    0|                |                       |        |                   
95  |BD-07 1166                                                            |Star                                  |05 46 04.5472153128 -07 04 12.168995016|211.8628285042406 -17.7349460088303| 10.238 -13.908  |9.64     |F8               |    ~     ~    |    1|  143.668   pc  |  -0.2952     +0.2952  |paral   |2020yCat.1350....0G
96  |HD 38575                                                              |Star                                  |05 46 32.8877224488 -06 56 42.122954508|211.7996998684364 -17.5744899277379| 11.595 -39.470  |7.77     |F5/6IV           |    ~     ~    |    1|  196.788   pc  | -11.4434    +11.4434  |paral   |2020yCat.1350....0G
97  |BD-07 1168                                                            |Double or Multiple Star               |05 46 43.709232 -07 13 16.08420        |212.080239711 -17.656580584        |       10.2 5.7  |10.673   |~                |    ~     ~    |    0|                |                       |        |                   
98  |HD 38664                                                              |Star                                  |05 47 03.7134308760 -07 50 45.052590768|212.7073283051543 -17.8576588275022|  -16.821 4.988  |9.71     |F6V              |    ~     ~    |    1|  242.642   pc  |  -0.8301     +0.8301  |paral   |2020yCat.1350....0G
99  |HD 38756                                                              |Star                                  |05 47 42.7277602152 -07 22 37.594782840|212.3400409236061 -17.5066271115621|   -0.049 2.366  |8.88     |G8III            |    ~     ~    |    1|  416.216   pc  |  -2.6332     +2.6332  |paral   |2020yCat.1350....0G
100 |HD 38860                                                              |Star                                  |05 48 26.0199859776 -07 10 48.582997068|212.2377071663750 -17.2591052365289| -0.539 -31.612  |9.78     |F8IV             |    ~     ~    |    1|  293.135   pc  |  -1.3061     +1.3061  |paral   |2020yCat.1350....0G
101 |BD-07 1174                                                            |Star                                  |05 48 27.5 -07 17 10                   |212.3401 -17.3004                  |            ~ ~  |9.3      |~                |    ~     ~    |    0|                |                       |        |                   
102 |HD 38549                                                              |Star                                  |05 46 16.8890812536 -08 21 16.930575036|213.0994721855011 -18.2541921254799|  -33.099 4.657  |9.10     |G8/K0V           |    ~     ~    |    1|   52.891   pc  |  -0.4196     +0.4196  |paral   |2020yCat.1350....0G
103 |HD 38801                                                              |High Proper Motion Star               |05 47 59.1754801416 -08 19 39.720746928|213.2677195326488 -17.8630905723279|-57.539 -75.556  |8.27     |G8IV             |    ~     ~    |    1|   90.673   pc  |  -0.1842     +0.1842  |paral   |2020yCat.1350....0G
104 |HD 38824                                                              |Star                                  |05 48 10.4235452592 -08 23 01.096582164|213.3418655957133 -17.8458187813884|   -1.094 0.183  |7.29     |B8/9III          |    ~     ~    |    1|  317.591   pc  |  -5.1138     +5.1138  |paral   |2020yCat.1350....0G
105 |BD-08 1219B                                                           |Star                                  |05 48 10.3842067848 -08 23 21.895679400|213.3472513227112 -17.8484879713508|   0.172 -0.516  |9.45     |~                |    ~     ~    |    1|  301.614   pc  |  -7.6506     +7.6506  |paral   |2020yCat.1350....0G
106 |BD-06 1309                                                            |Star                                  |05 46 16.7507467416 -06 38 53.550116916|211.4896752798353 -17.5025448339975|    9.314 2.830  |10.42    |~                |    ~     ~    |    1|  295.587   pc  |  -1.4853     +1.4853  |paral   |2020yCat.1350....0G
107 |BD-05 1390                                                            |Star                                  |05 46 21.2685577656 -05 46 22.335827484|210.6780847600824 -17.0949536105013| 27.448 -18.062  |9.29     |~                |    ~     ~    |    1|  371.154   pc  |  -1.8321     +1.8321  |paral   |2020yCat.1350....0G
108 |BD-06 1318                                                            |Star                                  |05 48 28.2333234528 -06 43 59.410245504|211.8225727065218 -17.0528417248852|    4.334 5.278  |10.01    |~                |    ~     ~    |    1|  311.488   pc  |  -1.5912     +1.5912  |paral   |2020yCat.1350....0G
109 |BD-06 1304                                                            |Star                                  |05 45 29.5017628224 -06 12 19.358360388|210.9826195367804 -17.4803471842074| 11.729 -22.596  |10.13    |~                |    ~     ~    |    1|  483.279   pc  |  -6.6798     +6.6798  |paral   |2020yCat.1350....0G
110 |BD-05 1392                                                            |Star                                  |05 46 21.8781089568 -05 44 39.490528920|210.6525568800838 -17.0798832909082|  -0.570 -2.640  |9.44     |~                |    ~     ~    |    1| 1541.307   pc  | -36.1095    +36.1095  |paral   |2020yCat.1350....0G
111 |BD-08 1214                                                            |Star                                  |05 47 18.3947000064 -08 15 25.640536464|213.1237498579330 -17.9834615070499| -7.856 -16.309  |10.73    |~                |    ~     ~    |    1|  243.944   pc  |  -0.9462     +0.9462  |paral   |2020yCat.1350....0G
112 |TYC 4780-756-1                                                        |Star                                  |05 47 26.6241598128 -06 29 19.272011928|211.4748115477376 -17.1725467589248|  -4.123 -0.974  |10.73    |~                |    ~     ~    |    1|  402.576   pc  |  -3.4358     +3.4358  |paral   |2020yCat.1350....0G
113 |BD-08 1222                                                            |Star                                  |05 48 34.1951269272 -08 08 32.895412332|213.1591494284990 -17.6522036303017|  7.238 -21.172  |10.26    |~                |    ~     ~    |    1|  252.889   pc  |  -1.0424     +1.0424  |paral   |2020yCat.1350....0G
114 |BD-06 1319                                                            |Star                                  |05 48 35.4765060816 -06 41 48.704420580|211.8024730186390 -17.0098621284854|  -3.334 -6.293  |10.52    |~                |    ~     ~    |    1|  313.165   pc  |  -2.5499     +2.5499  |paral   |2020yCat.1350....0G
115 |BD-06 1320                                                            |Star                                  |05 48 44.6446132824 -06 42 07.478701524|211.8249802831505 -16.9781871083855|   5.095 -7.852  |10.09    |~                |    ~     ~    |    1|  638.244   pc  |  -6.1103     +6.1103  |paral   |2020yCat.1350....0G
116 |TYC 4780-116-1                                                        |Star                                  |05 46 58.2299317464 -06 57 07.210993428|211.8549717588640 -17.4836201402606|  -8.396 -5.337  |10.55    |~                |    ~     ~    |    1|  694.975   pc  |  -9.9013     +9.9013  |paral   |2020yCat.1350....0G
117 |TYC 4780-338-1                                                        |Star                                  |05 47 31.5998759304 -06 52 23.902932900|211.8451809587524 -17.3250062731041|   -1.807 1.694  |10.57    |~                |    ~     ~    |    1|  349.418   pc  | -19.3640    +19.3640  |paral   |2020yCat.1350....0G
118 |TYC 4780-481-1                                                        |Star                                  |05 48 11.2813125792 -07 02 17.587263156|212.0761811535193 -17.2509548962642|   -0.267 2.835  |10.94    |~                |    ~     ~    |    1|  443.951   pc  |  -3.0746     +3.0746  |paral   |2020yCat.1350....0G
119 |TYC 4780-485-1                                                        |Star                                  |05 45 53.3977428024 -07 11 31.986547080|211.9564673960012 -17.8303420355828| -6.492 -23.964  |10.82    |~                |    ~     ~    |    1|  273.770   pc  |  -1.1617     +1.1617  |paral   |2020yCat.1350....0G
120 |TYC 4780-1028-1                                                       |Star                                  |05 45 28.7167738848 -06 17 33.611780364|211.0629991267624 -17.5222279168954|   2.050 10.586  |10.71    |~                |    ~     ~    |    1|  630.279   pc  |  -5.7999     +5.7999  |paral   |2020yCat.1350....0G
121 |TYC 4780-1050-1                                                       |Spectroscopic Binary                  |05 45 31.7987940672 -06 39 34.629153588|211.4136267220779 -17.6742571531554| -26.522 11.856  |10.88    |~                |    ~     ~    |    1|  234.637   pc  |  -0.8258     +0.8258  |paral   |2020yCat.1350....0G
122 |TYC 4780-1238-1                                                       |Star                                  |05 47 34.3408445016 -05 37 56.886863304|210.6889879442776 -16.7612031104415|  -5.514 -3.031  |10.83    |~                |    ~     ~    |    1|  311.614   pc  |  -1.8547     +1.8547  |paral   |2020yCat.1350....0G
123 |SCR J0545-0601                                                        |High Proper Motion Star               |05 45 49.0328598552 -06 01 44.506143588|210.8552068553409 -17.3291370538845|119.495 -134.643 |10.83    |~                |    ~     ~    |    1|   75.578   pc  |  -0.0874     +0.0874  |paral   |2020yCat.1350....0G
124 |TYC 4780-1455-1                                                       |Star                                  |05 48 16.2032651664 -06 09 57.400638624|211.2684350356298 -16.8448695243624| -27.543 -7.883  |10.52    |~                |    ~     ~    |    1|  265.675   pc  |  -2.1104     +2.1104  |paral   |2020yCat.1350....0G
125 |TYC 5347-456-1                                                        |Star                                  |05 47 55.6358481648 -07 56 37.279312692|212.8984377401543 -17.7080655536098|  6.957 -24.230  |10.73    |~                |    ~     ~    |    1|  293.376   pc  |  -1.6783     +1.6783  |paral   |2020yCat.1350....0G
126 |HD 38592                                                              |Star                                  |05 46 37.8512356464 -08 49 43.370264352|213.5885298441108 -18.3830129538746|  -0.270 -0.600  |9.11     |A1V              |    ~     ~    |    1|  285.616   pc  |  -2.0231     +2.0231  |paral   |2020yCat.1350....0G
127 |BD-08 1215                                                            |Star                                  |05 47 24.4442458536 -08 42 59.120532288|213.5699249623992 -18.1614051933253| 22.246 -40.293  |9.43     |F2               |    ~     ~    |    1|  194.715   pc  |  -1.8388     +1.8388  |paral   |2020yCat.1350....0G
128 |BD-08 1216                                                            |Star                                  |05 47 32.8799700240 -08 48 27.155734344|213.6721808131898 -18.1697626935728|    2.487 1.111  |10.16    |~                |    ~     ~    |    1|  434.028   pc  |  -3.8995     +3.8995  |paral   |2020yCat.1350....0G
129 |BD-08 1220                                                            |Star                                  |05 48 20.4578527992 -08 54 37.021986576|213.8590879325005 -18.0379972383466|  11.498 -2.299  |10.26    |~                |    ~     ~    |    1|  306.824   pc  |  -1.5251     +1.5251  |paral   |2020yCat.1350....0G
130 |HD 38881                                                              |High Proper Motion Star               |05 48 40.0144048560 -08 55 51.737450160|213.9155084350184 -17.9745000329950|87.775 -156.717  |8.19     |G8V              |    ~     ~    |    1|   89.411   pc  |  -0.1535     +0.1535  |paral   |2020yCat.1350....0G
131 |CCDM J05487-0856BC                                                    |Double or Multiple Star               |05 48 39.1 -08 55 59                   |213.9157 -17.9788                  |            ~ ~  |10.0     |~                |    ~     ~    |    0|                |                       |        |                   
132 |HD 38390                                                              |Star                                  |05 45 07.4454213576 -08 56 45.047820480|213.5293038372914 -18.7691186273323|   1.682 -6.141  |9.14     |A2/3mA8-F3/5     |    ~     ~    |    1|  251.800   pc  |  -1.1032     +1.1032  |paral   |2020yCat.1350....0G
133 |BD-09 1222                                                            |Spectroscopic Binary                  |05 45 48.1496945880 -09 00 16.589809152|213.6619418003938 -18.6436826529527| 18.213 -47.167  |9.58     |G0               |    ~     ~    |    1|  112.288   pc  |  -1.0818     +1.0818  |paral   |2020yCat.1350....0G
134 |BD-09 1223                                                            |Star                                  |05 45 53.6 -08 57 28                   |213.6277 -18.6032                  |            ~ ~  |9.5      |~                |    ~     ~    |    0|                |                       |        |                   
135 |BD-09 1224                                                            |Star                                  |05 46 07.3941176712 -09 35 09.579390036|214.2516266061849 -18.8237165658270| 16.344 -11.731  |10.40    |~                |    ~     ~    |    1|  227.144   pc  |  -0.9235     +0.9235  |paral   |2020yCat.1350....0G
136 |BD-09 1225                                                            |Star                                  |05 46 18.2935405560 -09 27 46.065897972|214.1546317064377 -18.7301722765729| -3.508 -32.209  |10.65    |~                |    ~     ~    |    1|  318.350   pc  |  -1.8546     +1.8546  |paral   |2020yCat.1350....0G
