C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
5965|BD+41 3161                                                                                               |Rotating Variable              |18 50 52.7904588000 +41 31 09.741648036|071.1284270706429 +17.6909203408796|   10.511 6.518    |9.68     |F3V            |    ~     ~    
5966|HD 175080                                                                                                |Red Giant Branch star Candidate|18 51 48.6666298920 +41 27 54.504095472|071.1408153440541 +17.5086736603635|   -0.274 2.413    |7.35     |K0             |    ~     ~    
5967|TYC 3126-316-1                                                                                           |Star                           |18 45 52.4194015632 +43 06 56.194004160|072.3679854658743 +19.1124990498206| -10.370 -6.472    |9.93     |~              |    ~     ~    
5968|TYC 3126-546-1                                                                                           |Star                           |18 49 33.8301328752 +41 59 24.018390024|071.4995858973403 +18.0871181053477|   0.090 13.795    |10.65    |~              |    ~     ~    
5969|TYC 3126-575-1                                                                                           |Star                           |18 45 00.0496209000 +42 45 10.443353148|071.9495712704453 +19.1408670809802|   -3.559 1.135    |10.06    |~              |    ~     ~    
5970|TYC 3126-685-1                                                                                           |Star                           |18 47 26.6563925016 +43 04 51.981980520|072.4363330779273 +18.8310480421775|   -1.580 3.064    |10.97    |F8V            |    ~     ~    
5971|TYC 3126-711-1                                                                                           |Star                           |18 49 27.2001561096 +42 03 57.202690500|071.5667631731598 +18.1329743839402|  -2.798 20.728    |10.26    |~              |    ~     ~    
5972|TYC 3126-780-1                                                                                           |delta Sct Variable             |18 46 11.0721377928 +42 24 02.521366308|071.6772364284925 +18.8165083038347|   5.137 14.908    |10.37    |F0IV           |    ~     ~    
5973|TYC 3126-789-1                                                                                           |Star                           |18 49 54.4779261672 +41 56 21.373734804|071.4733190021352 +18.0093848958972|   4.893 -5.661    |10.83    |~              |    ~     ~    
5974|TYC 3126-897-1                                                                                           |Horizontal Branch Star         |18 48 41.7914623608 +42 06 06.866987364|071.5505809733641 +18.2771223640450|    1.160 8.524    |9.88     |~              |    ~     ~    
5975|TYC 3126-1088-1                                                                                          |Star                           |18 47 03.0088748016 +41 55 24.033986760|071.2622047584666 +18.5018946413083|  1.671 -10.505    |10.45    |~              |    ~     ~    
5976|TYC 3126-1163-1                                                                                          |Star                           |18 48 44.1503297280 +42 08 00.864338028|071.5845136599834 +18.2813328285471|   10.183 4.921    |9.88     |F2V            |    ~     ~    
