C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:58:52

dec >=0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8428

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
68  |TYC 4533-200-1                                                                                           |Star                           |06 08 33.0726679008 +79 41 43.217083536|134.0932227238587 +24.7721724174642|  -3.732 -1.423   |10.90    |~                 |    ~     ~    |    1|  533.703   pc  |  -3.9308     +3.9308  |paral   |2020yCat.1350....0G
69  |TYC 4533-484-1                                                                                           |Star                           |06 03 46.8132606648 +79 03 31.744160532|134.6968942217484 +24.3821948160760|   -0.962 2.971   |10.57    |~                 |    ~     ~    |    1|  246.542   pc  |  -0.8145     +0.8145  |paral   |2020yCat.1350....0G
70  |TYC 4533-497-1                                                                                           |Star                           |06 09 49.0078965528 +80 07 34.299804900|133.6515582750302 +24.9398215861166|   -0.639 0.079   |10.21    |~                 |    ~     ~    |    1| 1614.987   pc  | -32.8631    +32.8631  |paral   |2020yCat.1350....0G
71  |TYC 4533-505-1                                                                                           |High Proper Motion Star        |06 04 37.8189431232 +80 30 01.324189692|133.1894984848323 +24.8307756270542| 15.527 -78.529   |10.82    |~                 |    ~     ~    |    1|  173.578   pc  |  -0.3133     +0.3133  |paral   |2020yCat.1350....0G
72  |TYC 4533-644-1                                                                                           |Star                           |06 00 07.2129821016 +79 30 31.331437344|134.1697790828391 +24.3542328844929|  0.198 -11.944   |10.99    |~                 |    ~     ~    |    1|  869.036   pc  | -16.0107    +16.0107  |paral   |2020yCat.1350....0G
73  |TYC 4533-795-1                                                                                           |Star                           |06 11 02.0852769120 +80 24 48.308984316|133.3599192278626 +25.0634557834873|   3.761 -0.244   |10.44    |~                 |    ~     ~    |    1|  867.679   pc  | -10.8413    +10.8413  |paral   |2020yCat.1350....0G
74  |TYC 4533-1039-1                                                                                          |Star                           |06 04 44.4270422856 +80 15 06.188690808|133.4538831088960 +24.7656251348780|  8.882 -33.640   |10.51    |~                 |    ~     ~    |    1|  276.901   pc  |  -1.4875     +1.4875  |paral   |2020yCat.1350....0G
75  |TYC 4533-1077-1                                                                                          |Star                           |06 14 05.2941033696 +80 01 59.874109248|133.8020138008755 +25.0943647705775|   8.872 16.730   |10.78    |~                 |    ~     ~    |    1|  576.602   pc  |  -4.0561     +4.0561  |paral   |2020yCat.1350....0G
76  |TYC 4533-1358-1                                                                                          |Star                           |06 08 01.7410350000 +78 52 11.756798544|134.9594800415064 +24.5231848149904|   -4.586 3.450   |10.07    |~                 |    ~     ~    |    1|  699.545   pc  | -13.2618    +13.2618  |paral   |2020yCat.1350....0G
77  |TYC 4533-1363-1                                                                                          |High Proper Motion Star        |06 01 28.1282605608 +78 51 08.759461320|134.8767706227923 +24.2149498805068|  5.678 -56.393   |10.19    |~                 |    ~     ~    |    1|  368.541   pc  |  -5.5959     +5.5959  |paral   |2020yCat.1350....0G
78  |TYC 4537-176-1                                                                                           |Star                           |06 05 29.4930838008 +80 39 21.278854116|133.0355071137473 +24.9076943142940|  1.267 -33.749   |10.50    |~                 |    ~     ~    |    1|  212.689   pc  |  -0.6333     +0.6333  |paral   |2020yCat.1350....0G
79  |TYC 4537-790-1                                                                                           |Star                           |06 03 10.3848660384 +81 07 54.422495328|132.5032769078843 +24.9515474325341|  2.371 -24.923   |10.62    |~                 |    ~     ~    |    1|  530.420   pc  |  -3.7419     +3.7419  |paral   |2020yCat.1350....0G
80  |TYC 4537-854-1                                                                                           |Star                           |06 13 28.2886649328 +81 28 49.675878444|132.2420238309275 +25.4174322117799|    5.843 4.716   |10.43    |~                 |    ~     ~    |    1|  757.404   pc  |  -6.8266     +6.8266  |paral   |2020yCat.1350....0G
81  |HD 39798                                                                                                 |Star                           |06 05 07.2295306296 +77 34 44.466140748|136.2686480659031 +24.0093710281569| 32.006 -26.740   |8.86     |G0                |    ~     ~    |    1|  151.752   pc  |  -0.3132     +0.3132  |paral   |2020yCat.1350....0G
82  |BD+77 222                                                                                                |Star                           |06 04 30.6902336520 +77 00 55.841942592|136.8453120720870 +23.8075317040906|   2.801 -0.341   |9.54     |K2                |    ~     ~    |    1|  846.740   pc  |  -8.6036     +8.6036  |paral   |2020yCat.1350....0G
83  |TYC 4529-1289-1                                                                                          |Star                           |06 06 37.5703476960 +77 49 59.977961940|136.0282929334076 +24.1608529820165|    7.560 4.092   |10.23    |F8                |    ~     ~    |    1|  871.232   pc  |  -8.1218     +8.1218  |paral   |2020yCat.1350....0G
84  |BD+77 223                                                                                                |Star                           |06 06 55.2694180008 +77 16 12.132944292|136.6234974462605 +24.0115687705543|    1.752 9.479   |9.55     |K0                |    ~     ~    |    1|  464.598   pc  |  -2.4175     +2.4175  |paral   |2020yCat.1350....0G
