C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
2417|TYC 1360-992-1                                                                                           |Star                           |07 34 16.7713509672 +15 52 46.192825416|203.2048533579808 +16.4902459452402|   2.163 -0.597   |10.10    |~                 |    ~     ~    
2418|TYC 1360-1053-1                                                                                          |Star                           |07 31 40.7126069088 +15 43 48.055236780|203.0787597308040 +15.8584766855007|  -11.489 3.705   |10.50    |~                 |    ~     ~    
2419|TYC 1360-1090-1                                                                                          |Star                           |07 32 40.2359386896 +16 00 36.988152192|202.9151619605073 +16.1912403215384|  -1.910 -5.464   |10.7     |~                 |    ~     ~    
2420|TYC 1360-1164-1                                                                                          |Star                           |07 31 36.9877827768 +16 07 44.638702428|202.6941685728111 +16.0091466210341|  -5.723 -3.513   |10.14    |~                 |    ~     ~    
2421|TYC 1360-1276-1                                                                                          |Star                           |07 33 59.8284442608 +16 16 38.020253880|202.7973513844397 +16.5912016998150|  -2.305 -3.517   |10.33    |~                 |    ~     ~    
2422|TYC 1360-1573-1                                                                                          |Star                           |07 30 46.4773461408 +16 44 35.090591424|202.0253126229637 +16.0766725705775|  -6.389 -7.264   |10.39    |~                 |    ~     ~    
2423|TYC 1360-1792-1                                                                                          |Star                           |07 30 58.9594846800 +16 31 28.918526268|202.2538775231807 +16.0327715731269|   2.120 -6.953   |10.43    |~                 |    ~     ~    
2424|TYC 1360-2277-1                                                                                          |Star                           |07 34 08.0797064760 +15 50 31.832865204|203.2254390401073 +16.4431630172586|    1.462 1.485   |10.64    |~                 |    ~     ~    
2425|TYC 1360-2315-1                                                                                          |Star                           |07 35 59.2234786368 +15 48 39.858803604|203.4456808097426 +16.8367971097533|-13.673 -10.840   |10.38    |~                 |    ~     ~    
2426|TYC 1360-2316-1                                                                                          |Star                           |07 34 45.2865740472 +15 33 08.592127560|203.5648551921849 +16.4601610539316|-22.271 -22.088   |10.18    |~                 |    ~     ~    
