C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1840|TYC 4811-944-1                                                        |Star                                  |06 38 49.7609528256 -06 48 18.801240804|217.5773716465081 -05.8903489212529|-21.296 -14.206   |10.82    |~                 |    ~     ~    |    1|  207.740   pc  |  -0.6819     +0.6819    |paral   |2020yCat.1350....0G
1841|TYC 4811-994-1                                                        |Star                                  |06 42 25.3509740808 -06 54 35.000172252|218.0741665154333 -05.1408007322126|   4.111 -5.564   |10.22    |~                 |    ~     ~    |    1|  487.995   pc  |  -4.4532     +4.4532    |paral   |2020yCat.1350....0G
1842|TYC 4811-1025-1                                                       |Star                                  |06 40 16.4413328568 -06 18 45.629209584|217.2975598733927 -05.3483159711096|   -2.083 7.723   |10.49    |~                 |    ~     ~    |    1|  746.882   pc  | -19.8588    +19.8588    |paral   |2020yCat.1350....0G
1843|TYC 4811-1036-1                                                       |Star                                  |06 38 31.7955261960 -07 02 11.099183856|217.7515059491244 -06.0605797577833|   -0.594 0.791   |10.13    |~                 |    ~     ~    |    1| 2020.202   pc  |-163.2486   +163.2486    |paral   |2020yCat.1350....0G
1844|TYC 4811-1154-1                                                       |Star                                  |06 42 53.9891577720 -06 42 00.232827876|217.9398416893709 -04.9405729209291|    2.008 6.358   |9.68     |~                 |    ~     ~    |    1|  299.473   pc  |  -1.7578     +1.7578    |paral   |2020yCat.1350....0G
1845|TYC 4811-1192-1                                                       |High Proper Motion Star               |06 43 18.2602544784 -06 43 13.715219748|218.0035649323683 -04.8601168966830| 38.927 -58.645   |10.26    |~                 |    ~     ~    |    1|  137.135   pc  |  -0.2558     +0.2558    |paral   |2020yCat.1350....0G
1846|TYC 4811-1290-1                                                       |Star                                  |06 38 53.2340352144 -07 20 15.655286724|218.0622575379688 -06.1165726431091|   0.243 -1.229   |10.14    |~                 |    ~     ~    |    1| 1992.826   pc  | -59.5703    +59.5703    |paral   |2020yCat.1350....0G
1847|TYC 4811-1313-1                                                       |Star                                  |06 42 16.7999404152 -06 08 11.063101776|217.3652216111005 -04.8238466664144|  -4.549 -6.176   |10.8     |~                 |    ~     ~    |    1|  498.629   pc  |  -5.3704     +5.3704    |paral   |2020yCat.1350....0G
1848|TYC 4811-1420-1                                                       |Star                                  |06 38 25.8997192488 -07 15 59.342658300|217.9472884139574 -06.1856021122065|   -7.916 4.968   |10.83    |~                 |    ~     ~    |    1| 1008.878   pc  | -13.7408    +13.7408    |paral   |2020yCat.1350....0G
1849|TYC 4811-1567-1                                                       |Star                                  |06 42 47.8178650488 -06 10 50.872180548|217.4631561632134 -04.7292051816005|   -1.002 0.646   |10.62    |~                 |    ~     ~    |    1|  560.507   pc  |  -6.6604     +6.6604    |paral   |2020yCat.1350....0G
1850|TYC 4811-1754-1                                                       |Star                                  |06 41 50.7953745576 -06 14 38.243055300|217.4127966472989 -04.9684973836890|   0.157 -2.507   |9.77     |~                 |    ~     ~    |    1| 1142.204   pc  | -36.5297    +36.5297    |paral   |2020yCat.1350....0G
1851|TYC 4811-1816-1                                                       |Star                                  |06 41 00.7575069864 -06 03 31.116876696|217.1529244242562 -05.0699548835010|   2.877 -3.690   |10.82    |~                 |    ~     ~    |    0|                |                         |        |                   
1852|TYC 4811-1822-1                                                       |Star                                  |06 38 59.5439471232 -05 47 22.199350596|216.6842438839711 -05.3970167617125|  -0.285 -1.866   |10.77    |~                 |    ~     ~    |    1| 1139.601   pc  | -25.5842    +25.5842    |paral   |2020yCat.1350....0G
1853|TYC 4811-1888-1                                                       |Star                                  |06 38 30.8992383072 -06 00 59.950816272|216.8342304163103 -05.6053525826316|   0.203 -0.867   |9.57     |~                 |    ~     ~    |    1| 1229.559   pc  | -22.2237    +22.2237    |paral   |2020yCat.1350....0G
1854|TYC 4811-1937-1                                                       |Star                                  |06 41 24.6607905264 -06 29 02.068093104|217.5788655648166 -05.1732545443319|    2.038 0.254   |10.25    |~                 |    ~     ~    |    0|                |                         |        |                   
1855|TYC 4811-1971-1                                                       |Star                                  |06 42 46.8736516032 -06 19 05.205212868|217.5843545022719 -04.7946484800135|  -0.860 -5.785   |10.46    |~                 |    ~     ~    |    1|  526.482   pc  |  -9.6183     +9.6183    |paral   |2020yCat.1350....0G
1856|TYC 4811-2049-1                                                       |Star                                  |06 42 44.3944054632 -06 13 07.640933016|217.4907556495795 -04.7590031611985|   -1.904 3.285   |10.64    |~                 |    ~     ~    |    1|  500.551   pc  |  -4.8106     +4.8106    |paral   |2020yCat.1350....0G
1857|TYC 4811-2127-1                                                       |Star                                  |06 43 52.5631137552 -05 54 00.619861644|217.3335047087718 -04.3631208660811|  -0.998 -5.459   |10.55    |~                 |    ~     ~    |    1|  756.487   pc  |  -8.2407     +8.2407    |paral   |2020yCat.1350....0G
1858|TYC 4811-2268-1                                                       |Star                                  |06 41 15.1635992064 -06 55 08.411755080|217.9512651725206 -05.4042299498422|  -6.417 -1.533   |10.34    |~                 |    ~     ~    |    1|  952.925   pc  | -36.2319    +36.2319    |paral   |2020yCat.1350....0G
1859|TYC 4811-2299-1                                                       |Star                                  |06 42 50.3834762040 -06 01 43.538507148|217.3318441891702 -04.6510980397823|  -3.788 -1.280   |10.63    |~                 |    ~     ~    |    1| 1099.505   pc  | -25.9916    +25.9916    |paral   |2020yCat.1350....0G
1860|TYC 4811-2367-1                                                       |Star                                  |06 39 48.2387722488 -06 32 20.459021892|217.4477745490062 -05.5544846656811| -1.631 -19.575   |10.11    |~                 |    ~     ~    |    1|  621.427   pc  |  -9.6929     +9.6929    |paral   |2020yCat.1350....0G
1861|TYC 4811-2420-1                                                       |High Proper Motion Star               |06 37 40.8366691536 -05 48 54.587103984|216.5595476947993 -05.6998448833052|-34.113 -55.960   |10.33    |~                 |    ~     ~    |    1|  134.871   pc  |  -0.2874     +0.2874    |paral   |2020yCat.1350....0G
1862|TYC 4811-2444-1                                                       |Star                                  |06 40 22.8556718784 -07 17 15.259234920|218.1843839017058 -05.7631014749424| -0.349 -26.270   |10.63    |~                 |    ~     ~    |    1|  419.569   pc  |  -4.2425     +4.2425    |paral   |2020yCat.1350....0G
1863|TYC 4811-2461-1                                                       |Star                                  |06 44 07.0511862504 -06 24 21.885455664|217.8134331566622 -04.5380497970026|  -1.769 -3.101   |10.89    |~                 |    ~     ~    |    1|  771.248   pc  | -19.9861    +19.9861    |paral   |2020yCat.1350....0G
1864|TYC 4811-2520-1                                                       |Star                                  |06 42 26.9568422400 -07 09 44.767785528|218.3037638445943 -05.2486213842346|   -4.838 1.862   |10.77    |~                 |    ~     ~    |    1|  810.767   pc  | -15.0532    +15.0532    |paral   |2020yCat.1350....0G
1865|TYC 4811-2557-1                                                       |Star                                  |06 40 18.1444207008 -06 21 45.834450804|217.3456389167026 -05.3645639488338|  -4.511 -5.394   |10.69    |~                 |    ~     ~    |    1|  544.840   pc  |  -6.5307     +6.5307    |paral   |2020yCat.1350....0G
1866|TYC 4811-2612-1                                                       |Star                                  |06 40 06.7756752288 -07 23 36.641621148|218.2495423399938 -05.8700448721274|  -6.023 -7.761   |10.03    |~                 |    ~     ~    |    1|  152.191   pc  |  -0.4748     +0.4748    |paral   |2020yCat.1350....0G
1867|TYC 4811-2623-1                                                       |Star                                  |06 42 59.6078946432 -06 34 34.905021744|217.8395351827155 -04.8640544289876|  -0.001 -1.360   |10.17    |~                 |    ~     ~    |    1|  875.197   pc  | -28.7239    +28.7239    |paral   |2020yCat.1350....0G
1868|TYC 4811-2624-1                                                       |Star                                  |06 41 37.0748416944 -06 31 17.410221984|217.6358128950669 -05.1443099341344|  0.504 -18.728   |10.46    |~                 |    ~     ~    |    1|  619.886   pc  | -15.9467    +15.9467    |paral   |2020yCat.1350....0G
1869|TYC 4811-2637-1                                                       |Star                                  |06 41 04.3645380075 -06 35 08.464037888|217.6321154667083 -05.2941081679960| -1.768 -12.974   |10.89    |~                 |    ~     ~    |    0|                |                         |        |                   
