C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1621|BD-13 5539                                                            |Star                                  |19 59 27.0983944464 -13 18 39.195553176|028.3153220737658 -20.9927482384466|  9.412 -11.265   |10.03    |~              |    ~     ~    
1622|TYC 5737-93-1                                                         |Star                                  |19 53 05.1326542776 -14 41 34.093946724|026.2943572097099 -20.1476103301713|    3.513 3.881   |10.75    |~              |    ~     ~    
1623|TYC 5737-224-1                                                        |Star                                  |19 52 44.4280392648 -14 13 06.120903432|026.7193063767911 -19.8780963369658|  -0.436 -5.144   |10.84    |~              |    ~     ~    
1624|TYC 5737-1651-1                                                       |Star                                  |19 53 00.6979586112 -13 19 55.321223340|027.6064966534577 -19.5739787558652|-15.379 -21.543   |10.35    |~              |    ~     ~    
1625|TYC 5746-1537-1                                                       |Star                                  |19 58 01.0214 -12 45 11.976            |028.7040342 -20.4443136            |  16.404 -9.258   |10.21    |~              |    ~     ~    
1626|TYC 5750-865-1                                                        |Star                                  |19 58 19.9433052000 -14 41 45.689509320|026.8403721872692 -21.3091216335619|  6.855 -19.530   |10.87    |~              |    ~     ~    
1627|TYC 5750-1283-1                                                       |Star                                  |19 56 19.9691253408 -14 43 29.963047764|026.6025952090363 -20.8785371666728|  -6.872 -0.851   |10.53    |~              |    ~     ~    
1628|TYC 5733-624-1                                                        |High Proper Motion Star               |19 53 49.5118402440 -12 44 52.893356244|028.2576182411861 -19.5122595035562| 50.833 -31.093   |10.89    |~              |    ~     ~    
1629|TYC 5746-70-1                                                         |Star                                  |19 55 22.3383358584 -12 47 25.781225136|028.3830477554496 -19.8730169190891|  -1.428 -8.032   |10.96    |~              |    ~     ~    
1630|TYC 5746-140-1                                                        |Star                                  |19 55 42.4163633856 -12 27 02.242035792|028.7477228116280 -19.8058780149051|   1.853 -6.767   |10.94    |~              |    ~     ~    
1631|HD 186779                                                             |Star                                  |19 46 52.9801800408 -10 38 26.266513812|029.5149699789026 -17.0823826935169| -6.353 -15.262   |9.75     |K2             |    ~     ~    
1632|HD 186910                                                             |Star                                  |19 47 26.7615770472 -10 17 40.892326404|029.9039923158216 -17.0592776206342|  1.849 -35.171   |10.19    |F5/6(IV)       |    ~     ~    
1633|HD 187410                                                             |Star                                  |19 50 09.7642892135 -10 00 25.689470099|030.4766836277200 -17.5395597743706|   17.259 7.676   |6.80     |K0III          |    ~     ~    
1634|HD 187531                                                             |Star                                  |19 50 48.1612995048 -10 07 34.885185888|030.4347058822488 -17.7330209720392|    4.454 2.074   |9.15     |K1III          |    ~     ~    
1635|HD 187622                                                             |High Proper Motion Star               |19 51 12.0828913512 -10 11 49.066081728|030.4119268927678 -17.8519338859805|  4.004 -59.126   |9.63     |G6V            |    ~     ~    
1636|HD 186611                                                             |Star                                  |19 45 50.0478451992 -10 53 23.220701412|029.1642883002636 -16.9559124599399|   12.723 5.384   |8.94     |G5V            |    ~     ~    
1637|HD 186644                                                             |Double or Multiple Star               |19 45 58.4990 -10 39 22.107            |029.4005384 -16.8873566            |    6.60 -12.00   |9.78     |G5V            |    ~     ~    
1638|HD 186664                                                             |Star                                  |19 46 06.9606154152 -10 40 00.215479092|029.4060273501687 -16.9232030449335|   -2.264 0.806   |9.90     |A1IV           |    ~     ~    
1639|BD-11 5118                                                            |Star                                  |19 46 39.3349121328 -10 59 10.591197324|029.1629450696447 -17.1794397528787|   15.205 7.122   |10.28    |G5             |    ~     ~    
1640|HIP 97322                                                             |Star                                  |19 46 41.3116994688 -11 28 47.303655852|028.6986799528687 -17.3965383004655| -1.803 -24.549   |10.07    |F8             |    ~     ~    
1641|HD 186749                                                             |Star                                  |19 46 40.9185355872 -11 29 02.499785880|028.6939604318755 -17.3968739052683| -1.725 -25.018   |10.14    |F8             |    ~     ~    
1642|HD 186827                                                             |High Proper Motion Star               |19 47 02.2569834648 -10 44 45.775544712|029.4322300886771 -17.1617762187948|-77.965 -117.377  |9.65     |G1/2V          |    ~     ~    
1643|BD-11 5130                                                            |Star                                  |19 48 27.0424657080 -10 42 52.883528292|029.6171939596413 -17.4622369484769|   -7.844 6.976   |9.79     |K7             |    ~     ~    
