C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
77  |TYC 3207-607-1                                                                                           |Star                                  |22 16 39.4092171456 +42 56 22.761283848|095.0981509560205 -11.4131604786187|-13.167 -20.219   |10.36    |~                  |    ~     ~    |    1|  411.896   pc  |  -2.2056     +2.2056  |paral   |2020yCat.1350....0G
78  |TYC 3207-835-1                                                                                           |High Proper Motion Star               |22 15 33.1772822904 +42 58 49.241488800|094.9524115288026 -11.2647534560950|  45.261 89.994   |10.03    |~                  |    ~     ~    |    1|  141.541   pc  |  -0.2885     +0.2885  |paral   |2020yCat.1350....0G
79  |TYC 3207-1188-1                                                                                          |Star                                  |22 18 47.5023832728 +42 56 20.954026680|095.4270021871369 -11.6341533777663|  -3.100 16.885   |10.69    |~                  |    ~     ~    |    1|  217.931   pc  |  -0.6649     +0.6649  |paral   |2020yCat.1350....0G
80  |TYC 3207-1218-1                                                                                          |Star                                  |22 18 54.7136596008 +43 00 08.064836352|095.4817242436585 -11.5942771952456|   24.808 2.422   |9.99     |~                  |    ~     ~    |    1|  292.517   pc  |  -1.2493     +1.2493  |paral   |2020yCat.1350....0G
81  |TYC 3207-1460-1                                                                                          |High Proper Motion Star               |22 18 18.1755666360 +42 23 50.669297448|095.0396999228623 -12.0314769887757|  59.495 18.340   |10.32    |~                  |    ~     ~    |    1|  112.925   pc  |  -0.4361     +0.4361  |paral   |2020yCat.1350....0G
82  |TYC 3207-1613-1                                                                                          |Star                                  |22 19 01.9883922576 +42 32 10.557306312|095.2333929994125 -11.9924418231908|   1.511 -4.032   |10.69    |~                  |    ~     ~    |    1|  816.393   pc  |  -7.9313     +7.9313  |paral   |2020yCat.1350....0G
83  |TYC 3207-2191-1                                                                                          |Pulsating Variable                    |22 18 00.8595670944 +42 34 21.586885320|095.0958321777632 -11.8567503178923| -7.937 -10.276   |10.45    |~                  |    ~     ~    |    1|  717.875   pc  | -11.2345    +11.2345  |paral   |2020yCat.1350....0G
84  |TYC 3208-686-1                                                                                           |Star                                  |22 22 44.9696184504 +42 38 18.713272056|095.8731513533389 -12.2876920042880|-11.368 -48.155   |10.20    |~                  |    ~     ~    |    1|  278.280   pc  |  -1.0609     +1.0609  |paral   |2020yCat.1350....0G
85  |TYC 3208-777-1                                                                                           |Star                                  |22 26 46.2477235584 +42 39 21.354227964|096.5181586036415 -12.6756253777746|   8.106 10.450   |10.19    |~                  |    ~     ~    |    1|  493.048   pc  | -48.1331    +48.1331  |paral   |2020yCat.1350....0G
86  |TYC 3208-785-1                                                                                           |Star                                  |22 24 24.2300133168 +42 26 56.682587004|096.0278291718378 -12.6131592747524|   -4.267 1.639   |10.66    |~                  |    ~     ~    |    1| 2351.281   pc  | -72.4237    +72.4237  |paral   |2020yCat.1350....0G
87  |TYC 3208-827-1                                                                                           |Star                                  |22 23 58.4974998696 +42 27 21.330824904|095.9637743859333 -12.5641984789384|   0.062 -5.084   |10.66    |~                  |    ~     ~    |    1| 1177.579   pc  | -17.8883    +17.8883  |paral   |2020yCat.1350....0G
88  |TYC 3208-881-1                                                                                           |Star                                  |22 24 14.9908574832 +42 28 08.470896780|096.0146042697340 -12.5809459479670|-25.642 -23.184   |10.15    |~                  |    ~     ~    |    1|  439.522   pc  |  -2.6852     +2.6852  |paral   |2020yCat.1350....0G
89  |TYC 3208-962-1                                                                                           |Star                                  |22 24 36.2201561328 +42 39 58.696958916|096.1807714013045 -12.4511362218040|   3.141 -4.098   |10.67    |~                  |    ~     ~    |    1| 1271.294   pc  | -22.9499    +22.9499  |paral   |2020yCat.1350....0G
90  |TYC 3208-990-1                                                                                           |Star                                  |22 27 08.2770732792 +42 37 21.198709884|096.5581131510044 -12.7400787232690|   0.261 -5.263   |10.09    |~                  |    ~     ~    |    1|  564.685   pc  |  -9.4385     +9.4385  |paral   |2020yCat.1350....0G
91  |TYC 3208-1181-1                                                                                          |Star                                  |22 25 35.1406598568 +42 41 39.784130700|096.3515877485235 -12.5256191753248|-14.425 -13.878   |10.25    |~                  |    ~     ~    |    1|  478.744   pc  |  -2.5212     +2.5212  |paral   |2020yCat.1350....0G
