C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
730 |NGC 7243 726                       NGC 7243 726                                                          |Star                                  |22 16 06.7532201280 +49 25 01.593074280|098.7165427387713 -06.0109288481744|  22.050 15.004   |11.71    |~                  |    ~     ~    |    1|  296.771   pc  |  -0.8455     +0.8455  |paral   |2020yCat.1350....0G
731 |NGC 7243 800                       NGC 7243 800                                                          |Star                                  |22 15 57.1636156992 +49 22 24.894461604|098.6703312816078 -06.0323510003235|   19.139 0.124   |11.58    |~                  |    ~     ~    |    1|  481.232   pc  |  -3.3117     +3.3117  |paral   |2020yCat.1350....0G
732 |NGC 7243 720                       NGC 7243 720                                                          |Star                                  |22 15 46.3098250272 +49 24 50.039364276|098.6686277981414 -05.9824605219299|   0.271 -1.611   |13.18    |~                  |    ~     ~    |    1| 1786.033   pc  | -37.0030    +37.0030  |paral   |2020yCat.1350....0G
733 |NGC 7243 716                       NGC 7243 716                                                          |Star                                  |22 15 34.9949187960 +49 22 30.957178224|098.6212690128674 -05.9971466850338|  23.078 17.328   |12.44    |~                  |    ~     ~    |    1|  313.185   pc  |  -6.1597     +6.1597  |paral   |2020yCat.1350....0G
734 |NGC 7243 793                       NGC 7243 793                                                          |Star                                  |22 15 19.3513509120 +49 19 58.109428164|098.5619484761586 -06.0083229201641|  -5.254 -6.143   |11.19    |~                  |    ~     ~    |    1|  673.627   pc  | -43.9253    +43.9253  |paral   |2020yCat.1350....0G
735 |NGC 7243 791                       NGC 7243 791                                                          |Star                                  |22 15 03.0111054528 +49 22 04.042477488|098.5449549542384 -05.9544231358867|  -7.904 -9.452   |12.79    |~                  |    ~     ~    |    1| 1130.582   pc  | -58.7979    +58.7979  |paral   |2020yCat.1350....0G
736 |NGC 7243 709                       NGC 7243 709                                                          |Star                                  |22 15 00.4904382288 +49 23 23.165533824|098.5517502998171 -05.9324200640228|  -3.996 -4.493   |12.90    |~                  |    ~     ~    |    1| 2763.958   pc  | -93.2015    +93.2015  |paral   |2020yCat.1350....0G
737 |NGC 7243 710                       NGC 7243 710                                                          |Star                                  |22 15 07.6458450336 +49 28 57.243541476|098.6204786212502 -05.8667393658197|  10.785 -4.894   |12.63    |~                  |    ~     ~    |    1|  563.984   pc  |  -4.8030     +4.8030  |paral   |2020yCat.1350....0G
738 |NGC 7243 711                       NGC 7243 711                                                          |Star                                  |22 15 07.6724593056 +49 28 09.606489240|098.6130361563797 -05.8777072343921|   10.702 3.708   |13.05    |~                  |    ~     ~    |    1| 1062.473   pc  | -17.0456    +17.0456  |paral   |2020yCat.1350....0G
739 |NGC 7243 714                       NGC 7243 714                                                          |Star                                  |22 15 27.3061898232 +49 25 13.375302852|098.6294767994629 -05.9481209339644|  -3.179 -3.293   |13.00    |~                  |    ~     ~    |    1| 1766.160   pc  | -44.2944    +44.2944  |paral   |2020yCat.1350....0G
740 |NGC 7243 712                       NGC 7243 712                                                          |Star                                  |22 15 18.9166369296 +49 28 56.114372064|098.6456346383246 -05.8841970521446|  -5.474 -4.530   |13.17    |~                  |    ~     ~    |    1| 2478.315   pc  | -66.3341    +66.3341  |paral   |2020yCat.1350....0G
741 |NGC 7243 718                       NGC 7243 718                                                          |Star                                  |22 15 44.97 +49 27 15.6                |098.68846 -05.94698                |            ~ ~   |12.18    |~                  |    ~     ~    |    0|                |                       |        |                   
742 |NGC 7243 721                       NGC 7243 721                                                          |Star                                  |22 15 52.0080037632 +49 26 15.388165788|098.6948675711915 -05.9715293449412|  -5.146 -3.835   |10.37    |~                  |    ~     ~    |    1|  625.117   pc  |  -4.4939     +4.4939  |paral   |2020yCat.1350....0G
743 |NGC 7243 723                       NGC 7243 723                                                          |Star                                  |22 15 54.7757045880 +49 27 26.051737212|098.7121908227994 -05.9595023734936|  -0.271 -1.108   |13.19    |~                  |    ~     ~    |    1| 1427.959   pc  | -25.0805    +25.0805  |paral   |2020yCat.1350....0G
744 |NGC 7243 722                       NGC 7243 722                                                          |Star                                  |22 15 54.1414169280 +49 28 48.813463236|098.7237450923383 -05.9395175286799|  -11.786 2.261   |12.20    |~                  |    ~     ~    |    1| 1503.307   pc  | -47.9106    +47.9106  |paral   |2020yCat.1350....0G
745 |NGC 7243 725                       NGC 7243 725                                                          |Star                                  |22 16 03.3792289368 +49 27 42.011265888|098.7340796254602 -05.9689167029124|  -0.997 -3.831   |11.51    |~                  |    ~     ~    |    1| 1155.802   pc  | -38.4733    +38.4733  |paral   |2020yCat.1350....0G
746 |NGC 7243 728                       NGC 7243 728                                                          |Star                                  |22 16 07.4501339544 +49 26 38.948614008|098.7333722696149 -05.9896036660781|    1.576 0.467   |13.29    |~                  |    ~     ~    |    1|  714.490   pc  |  -5.5644     +5.5644  |paral   |2020yCat.1350....0G
747 |NGC 7243 729                       NGC 7243 729                                                          |Star                                  |22 16 13.0246339896 +49 29 15.785008692|098.7705079046634 -05.9620042766003|   0.628 -4.246   |11.90    |~                  |    ~     ~    |    1| 1933.862   pc  | -52.7315    +52.7315  |paral   |2020yCat.1350....0G
748 |NGC 7243 730                       NGC 7243 730                                                          |Star                                  |22 16 15.0248708280 +49 28 49.451529324|098.7708916081711 -05.9710970190630|  -7.585 -6.841   |13.22    |~                  |    ~     ~    |    1|  839.278   pc  |  -7.8187     +7.8187  |paral   |2020yCat.1350....0G
749 |NGC 7243 735                       NGC 7243 735                                                          |Star                                  |22 16 35.59 +49 25 02.7                |098.78181 -06.05448                |            ~ ~   |9.19     |~                  |    ~     ~    |    0|                |                       |        |                   
750 |NGC 7243 734                       NGC 7243 734                                                          |Star                                  |22 16 35.4717551664 +49 26 26.475029988|098.7946439649883 -06.0350162851831|   0.285 -1.791   |12.09    |~                  |    ~     ~    |    1|  834.585   pc  |  -7.1743     +7.1743  |paral   |2020yCat.1350....0G
751 |NGC 7243 737                       NGC 7243 737                                                          |Star                                  |22 16 44.2824855768 +49 29 20.993671788|098.8418013562583 -06.0081839656872|  -9.416 -6.570   |11.82    |~                  |    ~     ~    |    1| 1341.742   pc  | -23.7636    +23.7636  |paral   |2020yCat.1350....0G
752 |NGC 7243 742                       NGC 7243 742                                                          |Star                                  |22 16 59.0357653752 +49 25 56.078501556|098.8431286968646 -06.0777155350477|  -5.339 -7.232   |13.00    |~                  |    ~     ~    |    1| 1184.413   pc  | -16.5534    +16.5534  |paral   |2020yCat.1350....0G
