C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
115 |HD 68375                                                                                                 |Star                           |08 19 32.2890586200 +75 45 24.866403012|138.4656191481320 +31.6065548936149|  32.404 15.893   |5.541    |G8III                |    ~     ~    
116 |BD+75 330                                                                                                |Star                           |08 15 14.1986819472 +75 09 53.826813720|139.2153232814097 +31.4838982093423|   0.264 -3.249   |9.37     |M1                   |    ~     ~    
117 |TYC 4540-1127-1                                                                                          |Star                           |08 25 26.8232 +76 06 50.821            |137.9495939 +31.8591896            | -7.937 -11.847   |10.93    |~                    |    ~     ~    
118 |TYC 4540-2433-1                                                                                          |Star                           |08 16 04.7787293928 +75 58 52.632165180|138.2702122106252 +31.3474646321824|  -0.332 -6.474   |10.71    |~                    |    ~     ~    
119 |TYC 4540-3190-1                                                                                          |Star                           |08 21 10.4836496496 +75 54 34.871393988|138.2623025939639 +31.6648934791660|-20.858 -39.999   |10.60    |~                    |    ~     ~    
120 |TYC 4540-1117-1                                                                                          |Star                           |08 29 15.3730973376 +76 09 38.591443044|137.8202653677774 +32.0645918557847|  29.773 -2.935   |10.54    |~                    |    ~     ~    
121 |TYC 4540-2549-1                                                                                          |Star                           |08 25 18.4746309888 +75 56 28.497341400|138.1480070760579 +31.8987672592315| -2.715 -20.214   |10.95    |K0                   |    ~     ~    
122 |BD+76 318                                                                                                |Star                           |08 27 27.7560597408 +75 57 41.911139592|138.0819024791343 +32.0186349667321| -9.240 -22.722   |9.45     |K2                   |    ~     ~    
123 |BD+76 323                                                                                                |Star                           |08 29 13.4322573600 +75 57 11.962544616|138.0550538790573 +32.1233546032090|    0.822 2.587   |9.64     |K0                   |    ~     ~    
124 |BD+76 317                                                                                                |Star                           |08 22 47.8211040456 +75 42 16.368670116|138.4649943159244 +31.8140773297183|   -8.659 9.949   |10.01    |F2                   |    ~     ~    
125 |BD+75 331                                                                                                |Star                           |08 15 43.4871546360 +74 54 04.338400932|139.5086563126147 +31.5735662468695|   1.912 -0.833   |10.06    |G5                   |    ~     ~    
126 |TYC 4540-2989-1                                                                                          |High Proper Motion Star        |08 20 26.7563219688 +75 06 29.135366640|139.1881765784308 +31.8219741016761|  9.683 -64.410   |10.23    |G0                   |    ~     ~    
127 |BD+75 332                                                                                                |Star                           |08 21 12.0969736968 +75 11 21.815346840|139.0813541895588 +31.8487751170432|  -6.132 -6.365   |10.11    |K0                   |    ~     ~    
128 |BD+75 333                                                                                                |High Proper Motion Star        |08 21 15.6563281896 +75 00 53.860231620|139.2791859784884 +31.8958462238853|-43.928 -94.568   |9.23     |K0                   |    ~     ~    
129 |TYC 4540-2605-1                                                                                          |Star                           |08 21 53.8014005712 +75 14 45.169696932|139.0038636389323 +31.8775000156285|-13.535 -13.470   |10.63    |A5                   |    ~     ~    
130 |TYC 4540-1237-1                                                                                          |Star                           |08 23 55.9930356240 +75 29 29.854788360|138.6850524930755 +31.9381953201684|   4.419 -2.692   |10.37    |M2                   |    ~     ~    
131 |HD 67739                                                                                                 |Star                           |08 16 16.8455348904 +74 29 39.253440408|139.9651209095235 +31.6998017876393|   -3.837 1.212   |8.23     |K5                   |    ~     ~    
132 |HD 69054                                                                                                 |High Proper Motion Star        |08 22 09.6251405304 +74 49 13.465194096|139.4840991592311 +32.0009308680116|  44.714 42.825   |6.384    |K0III                |    ~     ~    
133 |BD+75 335                                                                                                |Star                           |08 24 35.3775204648 +74 49 00.315049332|139.4404243032363 +32.1556456431237|-22.769 -14.735   |9.99     |F8                   |    ~     ~    
134 |BD+75 336                                                                                                |Star                           |08 25 25.4331 +74 50 22.541            |139.3974886 +32.2023419            |       1.9 -1.5   |10.58    |F5                   |    ~     ~    
135 |BD+75 337                                                                                                |Star                           |08 28 51.6855558552 +74 44 01.260190608|139.4459376390441 +32.4480989520380|   10.627 3.836   |10.21    |K0                   |    ~     ~    
136 |BD+74 355                                                                                                |Double or Multiple Star        |08 21 56.3542857912 +74 15 36.536170572|140.1290984133388 +32.1247012259255|  -38.589 3.969   |10.115   |F2                   |    ~     ~    
137 |HD 69090                                                                                                 |Star                           |08 22 12.7218211440 +74 25 06.044760120|139.9426764092160 +32.1038796601383|-27.054 -30.838   |9.60     |A2                   |    ~     ~    
