C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
149 |TYC 7009-1706-1                    |Star                                  |02 09 46.8212356368 -35 51 10.406319660|245.4285866043019 -71.2076505413361|  20.555 -2.309   |10.966   |~              |    ~     ~    
150 |TYC 7009-1710-1                    |Star                                  |02 08 20.5724811984 -36 24 03.323604996|247.3497489524568 -71.2587912325439|  35.314 17.270   |10.92    |~              |    ~     ~    
151 |TYC 7009-1863-1                    |High Proper Motion Star               |02 07 24.5797975176 -36 31 08.592411936|247.9285609209300 -71.3804274057199| 44.563 -45.823   |10.83    |~              |    ~     ~    
152 |HD 12500                           |Star                                  |02 01 43.4655406752 -35 12 47.975116140|245.5787898865523 -72.9663053497210| 24.517 -14.309   |9.38     |K1III          |    ~     ~    
153 |CD-33 693                          |Star                                  |02 00 00.8545900560 -33 06 48.197720016|239.0852535412011 -74.0342308163366|  -33.583 5.435   |10.32    |~              |    ~     ~    
154 |HD 12319                           |Star                                  |02 00 07.1838027264 -33 19 03.204022188|239.7656817841366 -73.9507773235443| -15.528 -0.032   |9.75     |F3V            |    ~     ~    
155 |HD 12475                           |Star                                  |02 01 30.1186517448 -33 02 39.276797568|238.5163821802329 -73.7567269496954|  -4.075 -1.848   |10.30    |F3/6(V)        |    ~     ~    
156 |HD 12474                           |Star                                  |02 01 30.9501318111 -32 53 26.621079086|237.9865190632791 -73.7975025802786|  -17.780 6.628   |9.83     |F5V            |    ~     ~    
157 |HD 12552                           |Star                                  |02 02 18.4405627896 -33 19 52.454284644|239.3145428378157 -73.5114082200891|  13.441 13.922   |9.77     |G6/8III        |    ~     ~    
158 |HD 12564                           |Star                                  |02 02 19.6122817272 -33 37 28.548509916|240.2912194980642 -73.4175443067475|-13.846 -24.959   |8.99     |F7III/IV       |    ~     ~    
159 |HD 12577                           |Star                                  |02 02 27.2646546192 -33 27 53.114829264|239.7294566252897 -73.4418089136743|   14.183 0.797   |9.57     |K2/3(III)      |    ~     ~    
160 |HD 12395                           |Star                                  |02 00 47.0494443960 -34 25 14.866430160|243.2985969313635 -73.4474345027680|    0.285 7.794   |9.08     |K1III          |    ~     ~    
161 |CD-35 710                          |Double or Multiple Star               |02 01 56.1393691718 -35 07 17.691882929|245.2328806702798 -72.9629398300863|  27.841 -6.095   |10.893   |G2             |    ~     ~    
162 |HD 12565                           |Star                                  |02 02 16.6017560592 -35 00 32.440970520|244.7865569747855 -72.9424074231673|   -9.367 7.608   |9.869    |F5V            |    ~     ~    
163 |CD-34 764                          |Star                                  |02 00 04.4934409512 -34 18 05.286857040|243.0948008164766 -73.6272374351539|   4.705 -4.932   |10.175   |~              |    ~     ~    
164 |CD-34 774                          |High Proper Motion Star               |02 02 00.7431614904 -34 10 54.328449864|242.2027997662356 -73.2952779833364| 35.272 -54.668   |10.398   |~              |    ~     ~    
165 |CD-35 712                          |High Proper Motion Star               |02 02 04.6977863424 -34 38 12.144823944|243.6572271627322 -73.1202923178516| 73.088 -22.770   |10.484   |~              |    ~     ~    
166 |CD-34 781                          |High Proper Motion Star               |02 02 58.9158928176 -34 17 29.211241992|242.3195494060300 -73.0693457853942|  44.086 38.958   |10.76    |~              |    ~     ~    
167 |CD-33 708                          |Star                                  |02 03 00.1203325392 -32 38 11.324772456|236.8164269347172 -73.5647529885181|   9.793 -3.594   |10.83    |~              |    ~     ~    
168 |CD-33 700                          |Spectroscopic Binary                  |02 01 09.4246156656 -33 10 23.426137848|239.0331775530050 -73.7880707085676|  3.629 -20.689   |10.48    |~              |    ~     ~    
169 |CD-35 721                          |Star                                  |02 03 42.5030613840 -35 01 37.005342528|244.4650893855791 -72.6645345886062|   5.462 -0.903   |10.66    |~              |    ~     ~    
170 |CD-34 765                          |Star                                  |02 00 17.0933089488 -34 20 04.640310420|243.1482802166916 -73.5747843354133|  10.463 -8.327   |10.781   |~              |    ~     ~    
171 |TYC 7006-835-1                     |High Proper Motion Star               |02 03 36.5680569624 -32 30 15.763462848|236.2521253877526 -73.4741852793910| 99.536 -26.833   |10.936   |~              |    ~     ~    
172 |TYC 7008-926-1                     |Star                                  |02 02 17.7473446512 -33 56 59.316662184|241.3738089613946 -73.3185759289250|   13.243 5.677   |10.518   |~              |    ~     ~    
173 |TYC 7008-1426-1                    |Star                                  |02 03 14.7674111544 -34 21 48.006903024|242.4859958297458 -72.9932984909895|  10.412 29.483   |10.855   |~              |    ~     ~    
174 |HD 13886                           |Star                                  |02 14 24.6641409744 -34 18 54.477692388|240.0042181050438 -70.8202825816712|   21.680 7.604   |9.55     |F3V            |    ~     ~    
175 |CD-34 831                          |Spectroscopic Binary                  |02 13 35.2117504056 -34 20 58.313058684|240.2530209217595 -70.9735974701979| -6.463 -11.523   |10.53    |~              |    ~     ~    
176 |HD 12733                           |Star                                  |02 04 00.1238495712 -32 31 06.979671588|236.2290572990422 -73.3904619182779| 23.062 -14.607   |7.84     |K0III          |    ~     ~    
177 |HD 12747                           |Spectroscopic Binary                  |02 04 13.1418276840 -32 32 53.239509492|236.2897555377481 -73.3388818082490|  -5.133 -9.302   |9.73     |F3V            |    ~     ~    
178 |HD 12757                           |Star                                  |02 04 16.7327038800 -32 29 28.043509776|236.0862158667208 -73.3405677304338|  4.634 -28.278   |9.44     |G5V            |    ~     ~    
179 |HD 12758                           |Double or Multiple Star               |02 04 17.88909 -33 09 24.1087          |238.31265184 -73.16325646          |     32.12 0.88   |10.00    |G3V            |    ~     ~    
180 |HD 12913                           |Star                                  |02 05 36.0322668528 -33 56 56.699886840|240.6171074673019 -72.6699320943128|-19.881 -41.104   |10.45    |F3/5V          |    ~     ~    
181 |CD-34 785                          |Star                                  |02 04 02.7886088232 -33 28 39.647569692|239.4249038358813 -73.1213044425607|  1.575 -10.670   |10.17    |~              |    ~     ~    
182 |CD-33 720                          |Star                                  |02 05 12.0342272088 -32 30 57.617736768|236.0076644510228 -73.1459655469697|   -1.318 1.183   |10.08    |~              |    ~     ~    
183 |HD 13096                           |Star                                  |02 07 19.8076737864 -32 19 25.203404064|235.0185983701901 -72.7524311772495|   11.875 5.313   |9.07     |K2III          |    ~     ~    
184 |HD 13471                           |High Proper Motion Star               |02 10 54.4440444600 -32 03 43.007407452|233.6620554977926 -72.0644936709387| -49.232 -9.914   |7.65     |K0III          |    ~     ~    
185 |HD 13616                           |Star                                  |02 12 01.2100531968 -32 19 43.794090768|234.3601442877321 -71.7821258625943|  26.659 29.840   |8.75     |F0             |    ~     ~    
186 |HD 13876                           |Star                                  |02 14 19.1014210176 -32 10 52.094530020|233.6127184298953 -71.3326867645201|  24.397 -2.877   |10.01    |F3/5V          |    ~     ~    
187 |HD 12960                           |Star                                  |02 06 04.6629964296 -32 44 08.507228640|236.5842034104991 -72.9134639685910|  20.475 -9.819   |9.24     |K0/1III        |    ~     ~    
188 |HD 12977                           |Star                                  |02 06 20.6472205920 -32 30 03.536063604|235.7628308183278 -72.9152163197835| -1.050 -26.682   |9.50     |F6V            |    ~     ~    
189 |CD-33 730                          |Star                                  |02 07 39.4284244008 -33 02 42.928874412|237.3132289398202 -72.5149110542025|   5.221 -8.100   |9.77     |~              |    ~     ~    
190 |CD-33 735                          |Star                                  |02 09 20.5485712176 -33 10 07.910646132|237.4124446000281 -72.1421759359190|   3.789 -0.294   |9.72     |~              |    ~     ~    
191 |HD 13352                           |Star                                  |02 09 39.2757228384 -32 36 27.556092756|235.5803764221434 -72.2116449155022|  34.272 14.837   |10.149   |F6/7V          |    ~     ~    
192 |HD 13639                           |Spectroscopic Binary                  |02 12 14.6569788288 -32 51 08.502987708|235.9593747818747 -71.6262661043294|  8.789 -10.116   |9.55     |K1III          |    ~     ~    
193 |CD-33 755                          |Star                                  |02 13 29.6148991392 -33 13 36.946884396|236.9179052751356 -71.2857815196405|   8.745 14.752   |9.84     |G2             |    ~     ~    
194 |HD 13794                           |Star                                  |02 13 30.4749777888 -33 20 07.031042448|237.2435193756541 -71.2571537815882|  28.998 17.510   |7.06     |K2/3III        |    ~     ~    
195 |HD 13921                           |Spectroscopic Binary                  |02 14 44.4705807504 -32 48 13.846189212|235.4574755791628 -71.1244672542540|    9.220 4.400   |9.77     |K1III          |    ~     ~    
196 |HD 12947                           |High Proper Motion Star               |02 06 00.9910869168 -33 37 09.038916156|239.4731205360815 -72.6873646784896| 75.001 -14.687   |10.45    |G0             |    ~     ~    
197 |HD 13132                           |Star                                  |02 07 40.5797869344 -33 27 14.887653264|238.6178335652412 -72.4026590591672|   7.971 22.909   |9.21     |F5V            |    ~     ~    
198 |HD 13922                           |High Proper Motion Star               |02 14 40.2185724240 -33 24 41.145742512|237.2928106930016 -71.0033092979171|  66.881 13.722   |9.65     |F5V            |    ~     ~    
199 |HD 12968                           |Star                                  |02 06 08.0922186600 -33 53 44.155110696|240.3319909365949 -72.5810572329475|  27.840 18.332   |9.32     |F5V            |    ~     ~    
200 |HD 13005                           |Star                                  |02 06 33.8920306104 -34 12 19.349082756|241.2173041467971 -72.3995391673072| 13.092 -13.287   |9.771    |K0/1III        |    ~     ~    
201 |HD 13202                           |Star                                  |02 08 12.4993281240 -34 00 01.652750028|240.2315688788464 -72.1394989717469|   15.862 6.609   |9.80     |A8/9V          |    ~     ~    
202 |HD 13535                           |Star                                  |02 11 18.2980007304 -34 17 12.426715968|240.4942418636355 -71.4425285508127|  -4.732 -7.876   |9.58     |K3III          |    ~     ~    
203 |HD 13559                           |Star                                  |02 11 32.0392504344 -33 56 37.505564592|239.4176631067643 -71.4959584900724|   30.955 2.892   |8.59     |K3III          |    ~     ~    
204 |HD 13006                           |High Proper Motion Star               |02 06 33.1491723816 -34 49 41.672241408|243.1504590502364 -72.1935323099786|  70.954 -9.688   |9.62     |F7/8V          |    ~     ~    
205 |HD 13065                           |Star                                  |02 06 59.7067267008 -34 45 13.619985552|242.8196052276565 -72.1340945396811| -11.563 -9.241   |7.82     |M0III          |    ~     ~    
206 |CD-34 797                          |Star                                  |02 06 17.6756 -33 38 34.724            |239.4926087 -72.6250495            | 37.923 -15.530   |10.75    |~              |    ~     ~    
