C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
851 |V* V441 Aur                                                                                              |Long-Period Variable Candidate |05 55 37.5615991512 +53 27 35.485789716|159.4446480274093 +13.8031328686550|   10.669 5.986  |7.41     |M0               |    ~     ~    
852 |HD 39447                                                                                                 |Star                           |05 55 40.8739240656 +53 26 57.898869108|159.4580785210886 +13.8056705515717| -0.304 -43.094  |8.71     |F5               |    ~     ~    
853 |HD 39550                                                                                                 |Star                           |05 56 20.4441222312 +53 33 15.449157720|159.4079778851309 +13.9407640480334|   8.750 15.181  |7.73     |A2               |    ~     ~    
854 |HD 40063                                                                                                 |Star                           |05 59 32.5279454544 +53 33 13.169381724|159.6292858798751 +14.3650411834496|   7.595 -0.934  |8.93     |G5               |    ~     ~    
855 |IRAS 05545+5430                                                                                          |Star                           |05 58 39.0981563664 +54 30 59.759838432|158.6784196345284 +14.6765629616420|   0.488 -0.585  |8.92     |~                |    ~     ~    
856 |BD+54 950                                                                                                |Star                           |05 50 13.3161262464 +54 50 36.039782364|157.8050077466449 +13.7415563866320|  4.197 -45.557  |10.55    |~                |    ~     ~    
857 |TYC 3754-108-1                                                                                           |Star                           |05 50 14.0054628600 +54 50 51.072420300|157.8020055002550 +13.7449720855750|  0.387 -46.869  |10.66    |~                |    ~     ~    
858 |TYC 3749-760-1                                                                                           |Star                           |05 46 23.8853174640 +54 14 10.740129576|158.0837130073394 +12.9653511282905|   -1.986 9.015  |9.83     |~                |    ~     ~    
859 |TYC 3749-1075-1                                                                                          |Star                           |05 45 45.0632975616 +53 34 59.100937896|158.6230627268552 +12.5664788580749|  -0.459 -0.778  |10.18    |~                |    ~     ~    
860 |TYC 3749-1239-1                                                                                          |Star                           |05 45 00.2287450608 +53 43 01.372397484|158.4480008611538 +12.5347453507880|   4.138 -2.617  |10.32    |~                |    ~     ~    
