C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:09:02

dec< 0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5307

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
74  |BD-03 3350                                                                                               |Star                                |12 45 39.9730960416 -03 48 21.541848048|300.1329049380983 +59.0343926726379|   -1.868 8.419   |10.13    |~                |    ~     ~    |    1|  361.732   pc  |  -8.3120     +8.3120    |ST-L    |2020AJ....160...83S
75  |BD-02 3572                                                                                               |Red Giant Branch star               |12 45 42.6573324264 -03 22 05.446947864|300.1173235342536 +59.4722666389471|  -21.898 2.017   |10.751   |~                |    ~     ~    |    1|  892.654   pc  | -36.4400    +36.4400    |ST-L    |2020AJ....160...83S
76  |BD-03 3353                                                                                               |Star                                |12 46 09.9991083960 -04 33 20.036143800|300.4320691056943 +58.2905938117564|  -3.941 -1.879   |10.46    |~                |    ~     ~    |    1| 2328.289   pc  |-117.0921   +117.0921    |paral   |2020yCat.1350....0G
77  |BD-03 3354                                                                                               |High Proper Motion Star             |12 46 21.7713781248 -04 25 55.205847228|300.5161850996000 +58.4159393035322|38.230 -128.929   |10.301   |~                |    ~     ~    |    1|   89.453   pc  |  -0.7256     +0.7256    |ST-L    |2020AJ....160...83S
78  |BD-03 3355                                                                                               |Double or Multiple Star             |12 46 29.044800 -04 34 06.43620        |300.583368831 +58.280701451        |      -35.7 2.9   |10.599   |~                |    ~     ~    |    1|  215.923   pc  | +23.342     +85         |ST-L    |2017AJ....153...75K
79  |BD-04 3354                                                                                               |Star                                |12 47 08.0748671928 -05 30 14.016768696|300.9466619874967 +57.3512651082060| -13.299 -1.649   |10.68    |~                |    ~     ~    |    1|  914.997   pc  | -17.4142    +17.4142    |paral   |2020yCat.1350....0G
80  |BD-03 3351                                                                                               |Star                                |12 46 01.0606384080 -04 29 40.334906580|300.3568349350408 +58.3501067711759| 12.654 -11.061   |10.35    |~                |    ~     ~    |    1|  369.672   pc  |  -2.8971     +2.8971    |paral   |2020yCat.1350....0G
81  |BD-02 3589                                                                                               |Star                                |12 51 18.2344550952 -02 54 00.398211336|302.8650664115198 +59.9716195745721|  -13.298 2.086   |9.65     |K5               |    ~     ~    |    1|  672.993   pc  | -10.5983    +10.5983    |paral   |2020yCat.1350....0G
82  |HD 111411                                                                                                |Star                                |12 49 10.1685384528 -03 41 57.757810704|301.8276909609878 +59.1675067142506| -33.094 -2.172   |9.44     |F2/3V            |    ~     ~    |    1|  254.155   pc  |  -1.2402     +1.2402    |paral   |2020yCat.1350....0G
83  |BD-02 3584                                                                                               |Star                                |12 49 49.6452023784 -03 01 34.484821896|302.1315784482249 +59.8429990811865| 42.283 -15.599   |10.743   |F8               |    ~     ~    |    1|  213.873   pc  |  -2.7600     +2.7600    |ST-L    |2020AJ....160...83S
84  |HD 111632                                                                                                |Star                                |12 50 44.0294246568 -03 42 25.572881844|302.5892382989798 +59.1641755203973|  -35.048 0.022   |8.99     |F5V              |    ~     ~    |    1|  222.811   pc  |  -0.8638     +0.8638    |paral   |2020yCat.1350....0G
85  |HD 111833                                                                                                |High Proper Motion Star             |12 52 04.5628658328 -03 23 44.553145488|303.2454773811928 +59.4756498738823|  -56.715 0.057   |9.881    |G1/2V            |    ~     ~    |    1|  149.382   pc  |  -1.5600     +1.5600    |ST-L    |2020AJ....160...83S
86  |HD 111863                                                                                                |High Proper Motion Star             |12 52 20.6267937936 -03 41 50.180056800|303.3729498713381 +59.1736996345000|-114.174 -24.006  |9.36     |G8V              |    ~     ~    |    1|   55.165   pc  |  -0.2116     +0.2116    |ST-L    |2020AJ....160...83S
87  |* 38 Vir                                                                                                 |Double or Multiple Star             |12 53 11.1567755256 -03 33 11.151261180|303.7866675631566 +59.3157489213351|-262.971 -3.649   |6.11     |F6V              |    ~     ~    |    1|   33.436   pc  |  -0.0421     +0.0421    |paral   |2020yCat.1350....0G
88  |HD 112237A                                                                                               |Star                                |12 55 16.5251488608 -03 36 28.066073832|304.8048260704386 +59.2499955705738|-36.224 -28.970   |9.81     |~                |    ~     ~    |    1|  218.748   pc  |  -4.4980     +4.4980    |ST-L    |2020AJ....160...83S
89  |HD 112237B                                                                                               |High Proper Motion Star             |12 55 16.3381420800 -03 36 35.449140348|304.8031889657619 +59.2479682437474|-46.704 -34.820   |9.680    |~                |    ~     ~    |    1|  219.927   pc  |  -2.8630     +2.8630    |ST-L    |2020AJ....160...83S
90  |HD 112283                                                                                                |High Proper Motion Star             |12 55 40.9178022240 -03 33 02.392015500|305.0067190355496 +59.3039848001491|-119.893 16.254   |7.66     |F5/8V            |    ~     ~    |    1|   53.910   pc  |  -0.0718     +0.0718    |paral   |2020yCat.1350....0G
91  |HD 111943                                                                                                |High Proper Motion Star             |12 52 59.1239599176 -04 07 51.373620948|303.6755025554321 +58.7385762356082| 36.282 -94.191   |9.27     |G5/6V            |    ~     ~    |    1|  126.528   pc  |  -0.3522     +0.3522    |paral   |2020yCat.1350....0G
