C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
5758|CPD-74 684                                                            |Star                           |10 15 46.1734984392 -75 00 22.265272620|293.2386613305306 -15.1477798530606|   -9.370 4.588   |10.63    |~              |    ~     ~    
5759|TYC 9401-429-1                                                        |Star                           |10 16 34.5963448512 -77 01 49.975289040|294.5017113168172 -16.7682211794866|  -15.042 6.786   |10.434   |~              |    ~     ~    
5760|CD-74 537                                                             |Star                           |10 18 07.1119633704 -74 46 49.154224836|293.2337858225349 -14.8749902381488|  -8.349 12.205   |10.45    |~              |    ~     ~    
5761|CPD-76 625                                                            |Double or Multiple Star        |10 19 19.8129913536 -76 53 55.590745344|294.5547982218361 -16.5710258348907| -86.925 19.146   |10.72    |~              |    ~     ~    
5762|CD-75 480                                                             |High Proper Motion Star        |10 23 02.7601357824 -75 53 08.964155832|294.1471826220856 -15.6116560828091| -42.351 36.149   |10.373   |~              |    ~     ~    
5763|CD-74 549                                                             |Star                           |10 29 01.8852296136 -75 29 26.445168960|294.2441417581169 -15.0785650470308|  0.287 -11.205   |9.91     |~              |    ~     ~    
5764|IRAS 10153-7528                                                       |Star                           |10 15 57.7582153704 -75 43 48.182459520|293.6843182684658 -15.7305301376199|  -12.022 6.079   |10.31    |~              |    ~     ~    
5765|CD-74 538                                                             |Spectroscopic Binary           |10 18 03.3169937952 -75 28 38.719392852|293.6434400173546 -15.4491261311218|  -2.146 -5.442   |9.93     |~              |    ~     ~    
5766|CD-75 476                                                             |Star                           |10 19 46.0035661296 -75 41 54.291106392|293.8650168944717 -15.5699217074544| -14.136 14.240   |10.44    |~              |    ~     ~    
5767|CD-74 540                                                             |Star                           |10 19 58.1206474920 -74 59 40.667101728|293.4625240145884 -14.9827908501735|   -7.296 3.575   |9.65     |~              |    ~     ~    
5768|TYC 9223-2509-1                                                       |Star                           |10 28 53.2020806328 -74 48 28.893744288|293.8575253798122 -14.5072728041440| -25.415 30.975   |10.64    |~              |    ~     ~    
5769|TYC 9397-791-1                                                        |High Proper Motion Star        |10 25 51.7458039816 -75 43 51.021765012|294.2076236618827 -15.3871000650132|-100.128 45.592   |10.96    |~              |    ~     ~    
5770|HD 91180                                                              |Be Star                        |10 27 58.2331691232 -76 13 56.826543324|294.6023963832251 -15.7382138394640|   -9.666 5.013   |9.18     |B(5)e          |    ~     ~    
5771|CD-75 487                                                             |Star                           |10 26 40.0054271736 -76 24 42.169033800|294.6365722395938 -15.9305522577192|  -8.599 -9.044   |9.93     |K5             |    ~     ~    
5772|HD 91274                                                              |Star                           |10 28 46.2041719584 -76 17 27.999296772|294.6768331096740 -15.7619111881189|   9.339 -7.421   |9.47     |F3V            |    ~     ~    
5773|HD 90458                                                              |Star                           |10 22 35.0675016984 -77 03 50.208581808|294.8100242493632 -16.6032075396913| -35.918 11.530   |9.68     |F6/7V          |    ~     ~    
5774|HD 311670                                                             |Star                           |10 24 26.0913319080 -77 03 40.027260060|294.8980048522345 -16.5430084973228|  -33.400 2.289   |10.00    |K0             |    ~     ~    
5775|HD 311669                                                             |Star                           |10 27 30.4474055184 -76 59 41.848287612|295.0101719744167 -16.3928808224366|  -17.835 7.988   |10.95    |A              |    ~     ~    
5776|TYC 9401-147-1                                                        |Star                           |10 27 52.2049781424 -77 31 11.747373996|295.3262707213423 -16.8221123199281| -21.929 13.415   |10.747   |~              |    ~     ~    
5777|HD 90744                                                              |Star                           |10 24 50.0372774736 -76 29 58.023341916|294.5934894948350 -16.0628321688421|  -13.700 5.138   |10.83    |A              |    ~     ~    
5778|HD 90926                                                              |High Proper Motion Star        |10 26 08.4547557816 -76 27 07.275871548|294.6326800974327 -15.9811669815581|-103.924 94.157   |8.59     |G6V            |    ~     ~    
5779|CD-76 462                                                             |High Proper Motion Star        |10 23 48.9342877008 -76 43 57.543136212|294.6771557453992 -16.2895440433418| -48.568 25.945   |10.57    |F5             |    ~     ~    
5780|HD 90179                                                              |Spectroscopic Binary           |10 20 31.0553094432 -76 58 05.557918512|294.6536302639903 -16.5898064835641| -48.972 13.952   |8.32     |K0III          |    ~     ~    
5781|TYC 9397-1599-1                                                       |Star                           |10 21 48.8108909328 -76 41 40.172024832|294.5556009816201 -16.3223549783869|   -7.689 2.752   |10.905   |~              |    ~     ~    
5782|CD-75 486                                                             |Star                           |10 26 22.0278905520 -76 20 28.084950096|294.5810735318159 -15.8811163414935| -25.524 15.178   |10.166   |~              |    ~     ~    
5783|TYC 9397-1083-1                                                       |Star                           |10 25 07.5091948824 -76 52 06.385600344|294.8204640770911 -16.3610480357594|  -10.804 7.953   |10.847   |~              |    ~     ~    
5784|TYC 9401-7-1                                                          |Star                           |10 16 08.7904879008 -77 28 35.085877860|294.7531324592528 -17.1444148323833|-27.526 -20.929   |10.81    |~              |    ~     ~    
5785|HD 89600                                                              |High Proper Motion Star        |10 15 43.3114176744 -78 04 11.792318592|295.0980990714920 -17.6387966102117|  -3.903 79.487   |9.79     |G5/8IV/V       |    ~     ~    
5786|HD 89615                                                              |High Proper Motion Star        |10 15 54.4896464088 -77 52 03.199493388|294.9819042698740 -17.4691451313383|-72.205 -70.882   |8.95     |G8V            |    ~     ~    
5787|CPD-77 605                                                            |Star                           |10 19 34.9607508480 -78 12 22.441388976|295.3506310842408 -17.6345488005960|  -11.454 3.123   |10.72    |F0             |    ~     ~    
5788|HD 90248                                                              |Star                           |10 20 48.2920484928 -77 56 07.740781440|295.2425249260280 -17.3763541783134|  -9.944 13.789   |10.05    |A0/1(V)        |    ~     ~    
5789|CPD-77 603                                                            |High Proper Motion Star        |10 16 01.6826536728 -78 27 00.703180728|295.3456883206209 -17.9375536187936| 39.030 -60.302   |10.54    |K0             |    ~     ~    
5790|CPD-77 608                                                            |Star                           |10 22 46.8637754328 -78 23 50.796092760|295.6047653536998 -17.6994097254894|  -3.592 -4.724   |10.75    |F              |    ~     ~    
5791|HD 90927                                                              |Star                           |10 25 35.9892034920 -78 21 40.883766768|295.7070210102307 -17.5900707633763|  -6.367 10.443   |10.63    |A              |    ~     ~    
5792|HD 90981                                                              |Star                           |10 25 47.4259730328 -78 35 52.563474276|295.8530974582066 -17.7816187925291|  -42.097 1.617   |7.94     |A6V            |    ~     ~    
5793|HD 89880                                                              |Spectroscopic Binary           |10 17 19.0215235224 -79 14 32.285613660|295.8874371554426 -18.5430108510341|   -5.854 0.139   |9.97     |K0             |    ~     ~    
5794|HD 89958                                                              |Star                           |10 18 02.2986235032 -79 00 16.018747596|295.7703421517914 -18.3299585962798|-17.234 -27.577   |10.38    |G5             |    ~     ~    
5795|HD 90356                                                              |High Proper Motion Star        |10 21 00.7520932584 -79 15 18.249962616|296.0434438601616 -18.4536940325422| -66.798 43.759   |10.10    |F6/7V          |    ~     ~    
5796|HD 90887                                                              |Star                           |10 24 53.3382145560 -79 07 43.137816132|296.1259288720266 -18.2466291935509|   -8.539 2.495   |9.11     |K4/5           |    ~     ~    
5797|HD 90982                                                              |Star                           |10 25 20.0909062176 -79 32 08.485988388|296.3837748236895 -18.5725964559581| -19.270 11.705   |10.31    |F0IV/V         |    ~     ~    
5798|HD 91084                                                              |Star                           |10 26 20.4182011512 -78 55 40.373320728|296.0687313529163 -18.0413932310785| -10.226 -0.496   |9.08     |K5             |    ~     ~    
5799|HD 91096                                                              |Star                           |10 26 36.4547496408 -78 44 09.397194504|295.9684701678509 -17.8743277355892|  -14.580 8.708   |8.99     |B8/9V          |    ~     ~    
5800|HD 91327                                                              |Double or Multiple Star        |10 28 22.147 -78 48 36.93              |296.086651 -17.889301              |     -26.5 32.0   |9.6      |F5/6V          |    ~     ~    
5801|HD 91385                                                              |Star                           |10 28 29.7242438904 -79 19 10.251338412|296.3850287942602 -18.3123169229368|-24.713 -18.668   |9.63     |A8/9V          |    ~     ~    
5802|CD-79 414                                                             |Star                           |10 19 33.1174635168 -80 05 33.429181740|296.4967162671775 -19.1759712161118|   -0.601 1.340   |10.61    |B8             |    ~     ~    
5803|HD 90631                                                              |Spectroscopic Binary           |10 22 57.4873884048 -79 38 46.955221620|296.3558986217455 -18.7245105486025|   -8.377 5.431   |9.95     |G5III          |    ~     ~    
5804|HD 90819                                                              |Spectroscopic Binary           |10 24 17.5484703696 -79 39 58.109089140|296.4198709141415 -18.7069842762951|  -1.682 12.770   |9.84     |K1/2(III)      |    ~     ~    
5805|HD 91308                                                              |Star                           |10 27 52.9422329256 -79 45 05.653962576|296.6106881617813 -18.6886843346394| -13.934 17.154   |9.937    |K0/1(III)      |    ~     ~    
5806|CPD-79 507                                                            |Star                           |10 25 22.3632991824 -80 15 30.324524292|296.8127554019034 -19.1705728712722|  -13.365 6.508   |10.39    |A0             |    ~     ~    
5807|HD 91602                                                              |High Proper Motion Star        |10 29 28.9071047856 -80 30 42.312404844|297.1126754396711 -19.2863924553249| -54.898 41.562   |8.79     |G8V            |    ~     ~    
5808|CD-80 388                                                             |Star                           |10 25 26.5475550864 -80 39 05.734279584|297.0490902789576 -19.4943904023764|  -4.849 13.205   |9.10     |K0             |    ~     ~    
5809|IRAS 10171-7930                                                       |Long-Period Variable           |10 17 06.0275548008 -79 45 48.324564828|296.2014152039939 -18.9711193753640|   -7.008 4.682   |10.98    |~              |    ~     ~    
5810|CD-79 422                                                             |Spectroscopic Binary           |10 28 27.1177666896 -80 13 40.539452808|296.9096477573605 -19.0727562008711| -31.905 18.527   |10.44    |~              |    ~     ~    
5811|CD-78 424                                                             |Star                           |10 26 48.5754907464 -79 13 25.009909896|296.2604534587470 -18.2754115423249|  -13.677 6.796   |10.04    |~              |    ~     ~    
5812|CD-77 446                                                             |Star                           |10 25 14.8897313184 -78 04 56.969360724|295.5290921677510 -17.3680680903120|   -8.591 2.279   |9.93     |~              |    ~     ~    
5813|CD-78 425                                                             |Star                           |10 28 06.1829224272 -79 18 15.674645448|296.3602487369759 -18.3096095695775|   -1.270 0.440   |10.650   |~              |    ~     ~    
5814|TYC 9405-479-1                                                        |Star                           |10 16 50.1313070616 -79 04 29.348040288|295.7647196193522 -18.4204677241244|   -9.684 9.259   |10.60    |~              |    ~     ~    
5815|TYC 9405-863-1                                                        |Star                           |10 29 06.1180354440 -79 04 08.897974788|296.2661508681820 -18.0870551566771|    0.444 0.886   |10.72    |~              |    ~     ~    
5816|TYC 9405-894-1                                                        |Star                           |10 25 45.8394429840 -80 17 57.364119528|296.8514637973673 -19.1951593338312|  -10.364 3.750   |10.54    |~              |    ~     ~    
5817|TYC 9405-950-1                                                        |Star                           |10 20 46.0361138544 -80 25 44.899978440|296.7473083972579 -19.4208155483219|  -15.697 5.923   |10.902   |~              |    ~     ~    
5818|TYC 9405-1038-1                                                       |Star                           |10 17 15.9237490680 -80 21 00.774121824|296.5725823759320 -19.4417787652243|   -9.694 9.313   |10.590   |~              |    ~     ~    
5819|TYC 9405-1108-1                                                       |Star                           |10 20 09.4096776624 -80 24 04.360317624|296.7082099302080 -19.4126969268766|  -1.211 -1.278   |10.236   |~              |    ~     ~    
5820|TYC 9405-1271-1                                                       |Star                           |10 22 10.1373826872 -79 21 37.965030300|296.1533573064642 -18.5096881295374|  -5.081 -0.238   |10.987   |~              |    ~     ~    
5821|TYC 9405-1471-1                                                       |Star                           |10 22 40.2840320040 -79 21 08.294890572|296.1685528547376 -18.4897252149952| -23.010 26.560   |10.48    |~              |    ~     ~    
5822|TYC 9405-1726-1                                                       |Star                           |10 28 54.9730663896 -80 24 07.228746396|297.0281840183438 -19.2074591618230|  -13.095 2.126   |10.286   |~              |    ~     ~    
5823|TYC 9405-1858-1                                                       |Star                           |10 19 18.4495324608 -80 25 04.645468812|296.6879541260425 -19.4468577645078|  12.449 -4.714   |10.646   |~              |    ~     ~    
5824|TYC 9405-2006-1                                                       |Star                           |10 28 34.1852590464 -80 03 53.070898608|296.8192256469022 -18.9336672780965|  -12.741 7.144   |10.712   |~              |    ~     ~    
5825|TYC 9405-2544-1                                                       |Star                           |10 29 00.6196194168 -80 37 27.857516664|297.1610256467009 -19.3911876070062|  -13.203 7.464   |10.311   |~              |    ~     ~    
5826|TYC 9409-1654-1                                                       |Star                           |10 29 31.4258266296 -80 38 34.271618244|297.1902710098340 -19.3951557329408|  -18.046 6.903   |10.59    |~              |    ~     ~    
5827|HD 90491                                                              |Star                           |10 21 12.1952354952 -80 44 04.785288144|296.9496343943448 -19.6602035578154|   8.079 -0.170   |8.70     |K2/3III        |    ~     ~    
5828|CD-80 382                                                             |Star                           |10 21 04.5863429544 -80 52 53.293568628|297.0351510168727 -19.7830769410884|   -9.172 0.455   |9.75     |G0             |    ~     ~    
5829|CPC 22 1304                                                           |Long-Period Variable Candidate |10 28 11.8657410935 -81 03 37.956104427|297.3876216681059 -19.7728727463264|   3.913 -0.021   |9.3      |~              |    ~     ~    
5830|HD 91509                                                              |High Proper Motion Star        |10 28 31.1835108480 -81 03 21.074648328|297.3959453123912 -19.7620491494913| -54.113 37.309   |7.55     |K0III          |    ~     ~    
5831|CD-80 374                                                             |Star                           |10 15 01.1944139976 -80 43 51.565443096|296.7331309845914 -19.8032059261675|  0.676 -12.663   |10.70    |~              |    ~     ~    
5832|CD-80 385                                                             |Star                           |10 22 44.7261948984 -80 57 36.447415776|297.1404441555245 -19.8096569690999| -24.177 17.696   |9.88     |~              |    ~     ~    
5833|CD-80 375                                                             |Star                           |10 15 10.6320457824 -80 58 27.599158416|296.8928988503262 -19.9947420336961|  6.074 -13.444   |10.12    |K0             |    ~     ~    
5834|HD 89728                                                              |Spectroscopic Binary           |10 15 02.9313034080 -81 12 14.503452876|297.0347668600099 -20.1819120418814|    7.021 0.840   |9.21     |F5V            |    ~     ~    
5835|HD 89992                                                              |Star                           |10 17 12.5606871216 -80 55 23.355125220|296.9290262990871 -19.9061211160805| -22.436 16.288   |7.99     |G8III/IV       |    ~     ~    
5836|HD 90536                                                              |Star                           |10 21 04.5998040048 -81 33 22.577591016|297.4503556140149 -20.3337518810721|  -12.571 1.998   |8.77     |F3III          |    ~     ~    
5837|HD 90968                                                              |Star                           |10 24 07.8123682392 -81 32 29.174503704|297.5392447680079 -20.2572260375612|  -24.331 2.440   |8.19     |K3III          |    ~     ~    
5838|CPD-81 425                                                            |Star                           |10 16 20.9011743936 -81 49 57.077972976|297.4760276929430 -20.6576098560155|   15.425 3.117   |10.94    |G5             |    ~     ~    
5839|CD-81 367                                                             |Star                           |10 18 47.8645626576 -81 42 08.419983840|297.4693243461695 -20.5007789670105| -24.304 -7.427   |10.48    |F8             |    ~     ~    
5840|CD-81 368                                                             |Star                           |10 18 46.8769934232 -81 50 00.379980996|297.5510447086314 -20.6072333112847| 15.682 -20.287   |9.80     |F5             |    ~     ~    
5841|HD 90438                                                              |Double or Multiple Star        |10 20 14.7011225160 -81 38 54.356681904|297.4810548841984 -20.4264201564706| -54.240 35.112   |8.61     |A6/7IV         |    ~     ~    
5842|CD-81 366                                                             |Star                           |10 16 27.8728736616 -82 34 15.586987764|297.9511985783199 -21.2479051832529| 19.264 -14.936   |9.66     |F5             |    ~     ~    
5843|CD-81 372                                                             |Star                           |10 21 16.1329714368 -82 37 03.198140004|298.1147758560990 -21.1942206988029|  -10.289 3.944   |10.91    |F0             |    ~     ~    
5844|CD-81 374                                                             |Star                           |10 25 48.0952761000 -82 25 52.272701724|298.1296113071637 -20.9570005492813| -16.682 -6.483   |9.88     |F0             |    ~     ~    
5845|HD 90317                                                              |High Proper Motion Star        |10 18 11.1218245680 -82 54 38.802739140|298.2152999396714 -21.4885619337905| 46.729 -18.233   |6.69     |K0/1III        |    ~     ~    
5846|CPD-80 450                                                            |Star                           |10 20 21.8450203488 -81 15 57.266638164|297.2478600466350 -20.1125860612488| -24.267 10.622   |10.74    |~              |    ~     ~    
5847|CD-81 371                                                             |High Proper Motion Star        |10 22 07.7119713768 -81 45 28.292413500|297.6078055532902 -20.4762868652714|  -56.957 6.802   |10.35    |~              |    ~     ~    
5848|CD-80 384                                                             |Star                           |10 22 16.4176606536 -81 07 36.584316588|297.2259445898658 -19.9568402378208|  -13.055 6.486   |10.82    |~              |    ~     ~    
5849|CD-81 373                                                             |Star                           |10 22 25.8181710480 -82 13 07.977573120|297.9009219815441 -20.8470068579116|    9.033 3.101   |10.55    |~              |    ~     ~    
5850|TYC 9409-123-1                                                        |Star                           |10 20 10.7105692896 -82 25 13.701176832|297.9606543109844 -21.0548195484432| -15.500 17.985   |10.426   |~              |    ~     ~    
5851|TYC 9409-739-1                                                        |Star                           |10 16 36.9027089232 -81 29 13.593983892|297.2650206167264 -20.3741526749944| -12.514 13.070   |10.50    |~              |    ~     ~    
5852|TYC 9409-742-1                                                        |Star                           |10 23 51.6778726656 -81 32 45.699931860|297.5333642043476 -20.2666266692606|  -18.808 9.521   |10.21    |~              |    ~     ~    
5853|TYC 9409-789-1                                                        |Star                           |10 16 20.9094719832 -81 37 05.657210580|297.3397818542767 -20.4854285410381|  -12.468 6.237   |10.97    |~              |    ~     ~    
5854|TYC 9409-896-1                                                        |Star                           |10 23 13.2438870984 -81 26 27.756214944|297.4488005476752 -20.1939156519869|  -24.616 8.924   |10.61    |~              |    ~     ~    
5855|TYC 9409-1477-1                                                       |Star                           |10 19 03.5811977088 -81 10 19.264974276|297.1465393077859 -20.0652719723489|   17.223 6.578   |10.94    |~              |    ~     ~    
5856|TYC 9507-499-1                                                        |Star                           |10 18 45.4507175040 -82 53 56.620929912|298.2231472813808 -21.4686595700702|  -15.823 0.464   |10.38    |~              |    ~     ~    
5857|TYC 9507-745-1                                                        |High Proper Motion Star        |10 23 31.5151722432 -83 04 19.758677340|298.4587199111735 -21.5243545862554| -76.534 17.029   |10.74    |~              |    ~     ~    
5858|HD 91146                                                              |Star                           |10 23 50.1894940248 -83 26 10.795996356|298.6922990604891 -21.8169106669582| -20.006 15.213   |9.43     |kA5hA5mF0V     |    ~     ~    
5859|CD-82 209                                                             |Star                           |10 27 51.5198853624 -83 12 35.790641208|298.6573530168280 -21.5641996310766| 35.448 -31.748   |10.05    |~              |    ~     ~    
5860|CPD-82 413                                                            |Star                           |10 29 22.0367853912 -83 38 25.151123400|298.9549522923512 -21.8968609035501|  20.842 -1.481   |10.86    |~              |    ~     ~    
5861|CPD-83 350                                                            |Star                           |10 21 15.3027892872 -83 44 53.203710408|298.8242189386849 -22.1125846172727|  -4.687 -5.781   |9.79     |~              |    ~     ~    
5862|TYC 9507-1302-1                                                       |Spectroscopic Binary           |10 28 25.1748725112 -83 48 50.162294304|299.0364947734762 -22.0552714376080|   -3.079 4.721   |9.953    |~              |    ~     ~    
5863|TYC 9507-2098-1                                                       |Spectroscopic Binary           |10 28 18.9903578136 -82 54 57.451475952|298.4928503681155 -21.3128608452807|  -11.020 5.346   |10.72    |~              |    ~     ~    
5864|CD-83 157                                                             |Star                           |10 20 08.4859245456 -83 59 30.915666312|298.9530202754643 -22.3273145505562| -38.627 -2.338   |9.55     |F8             |    ~     ~    
5865|HD 91219                                                              |Star                           |10 23 45.6781640160 -83 55 53.510970216|298.9984477691678 -22.2227119343079|  9.807 -14.463   |9.09     |A9/F0V         |    ~     ~    
5866|HD 91852                                                              |Star                           |10 28 23.7976707048 -84 08 19.555795464|299.2329979261117 -22.3243630452747|  -4.153 -5.092   |8.78     |F5V            |    ~     ~    
5867|CPD-83 356                                                            |Star                           |10 27 02.8347131256 -84 00 44.314418304|299.1248070012231 -22.2396226223891|   7.659 -4.548   |10.19    |~              |    ~     ~    
5868|CD-84 104                                                             |High Proper Motion Star        |10 16 02.3997079512 -85 28 05.255046984|299.8322712904857 -23.5651929154549|-116.987 62.228   |9.56     |G0             |    ~     ~    
5869|HD 91363                                                              |Star                           |10 22 14.4897146880 -85 22 29.880830100|299.8795950800558 -23.4165042254501|  -25.374 5.620   |8.61     |G8/K0IV        |    ~     ~    
5870|CD-84 106                                                             |Star                           |10 24 53.326176 -84 50 26.42820        |299.591104136 -22.949261240        |      -8.1 -6.5   |9.805    |F8             |    ~     ~    
5871|HD 91254                                                              |Star                           |10 19 31.0594738392 -86 02 24.273444012|300.2659543201235 -23.9820092660403|  -14.625 7.206   |8.60     |K4/5           |    ~     ~    
5872|V* X Oct                                                              |Mira Variable                  |10 26 14.2485192432 -84 20 53.898139896|299.3131031034058 -22.5277201543182| -14.577 17.697   |8.70     |M5/6e          |    ~     ~    
5873|HD 91542                                                              |High Proper Motion Star        |10 20 13.3762145616 -86 33 24.567359940|300.6153758302658 -24.3888955644687| -47.916 28.298   |7.78     |F5IV           |    ~     ~    
5874|IRAS 10315-8602                                                       |Long-Period Variable Candidate |10 27 42.6568070424 -86 17 52.291667436|300.5527544825163 -24.1107015243948|  -13.977 1.491   |10.94    |~              |    ~     ~    
5875|AKARI-IRC-V1 J1023211-844411                                          |Long-Period Variable Candidate |10 23 21.1419944136 -84 44 11.947539876|299.4948143086356 -22.8846715316746|  -23.197 3.981   |9.19     |~              |    ~     ~    
5876|CPD-85 236                                                            |Star                           |10 15 35.5916418696 -86 31 07.455001116|300.5289957398926 -24.4010342320254|  -9.575 -6.025   |9.94     |~              |    ~     ~    
5877|CPD-85 238                                                            |Star                           |10 20 44.0513585208 -85 53 06.681626412|300.1835811593459 -23.8449771192051| -16.326 12.664   |10.45    |~              |    ~     ~    
5878|CPD-86 199                                                            |Star                           |10 21 58.9598955960 -86 54 07.163091180|300.8638598547517 -24.6509216112449|  -9.164 -0.078   |9.49     |~              |    ~     ~    
5879|TYC 9507-2271-1                                                       |Star                           |10 20 16.0921507344 -83 55 50.261750328|298.9168647343757 -22.2758466677145|   1.011 -0.347   |10.96    |~              |    ~     ~    
5880|TYC 9511-508-1                                                        |Star                           |10 23 52.9743003912 -84 34 57.873475416|299.4087924001922 -22.7521814435513| -26.994 28.193   |10.91    |~              |    ~     ~    
5881|TYC 9511-1404-1                                                       |Star                           |10 23 15.8610795384 -84 37 59.251916244|299.4276769630326 -22.8016427359176|  -14.171 5.666   |10.77    |~              |    ~     ~    
5882|TYC 9511-1975-1                                                       |Star                           |10 23 19.2118399248 -85 31 46.399079820|299.9972681545974 -23.5292188598748|  -19.348 5.776   |10.67    |~              |    ~     ~    
5883|TYC 9515-750-1                                                        |High Proper Motion Star        |10 24 06.2452004904 -86 27 30.624458652|300.6037543782873 -24.2746728504400| -71.801 53.798   |10.78    |~              |    ~     ~    
5884|TYC 9515-918-1                                                        |Star                           |10 19 18.7245470856 -86 40 19.272599580|300.6795815547990 -24.4890660577182|   -6.525 2.471   |10.96    |~              |    ~     ~    
5885|TYC 9515-1000-1                                                       |Star                           |10 20 04.0823979744 -86 21 36.707258484|300.4840617148644 -24.2328591811452|  -7.977 18.615   |10.72    |~              |    ~     ~    
5886|TYC 9515-1015-1                                                       |Star                           |10 22 23.5814555352 -86 32 25.662417432|300.6334953305315 -24.3563069975756|   -3.451 0.845   |10.699   |~              |    ~     ~    
5887|HD 92092                                                              |Star                           |10 17 30.0379531608 -87 43 42.259531728|301.3680153069346 -25.3414779046322|  -3.531 20.561   |8.70     |K1III          |    ~     ~    
5888|HD 93715                                                              |Star                           |10 27 11.9686143936 -88 09 04.203884376|301.7250236775242 -25.6285094743544|   -2.140 3.901   |9.44     |K2             |    ~     ~    
5889|HD 93426                                                              |Star                           |10 15 01.9948966512 -88 42 00.953370936|302.0190208582665 -26.1166706357370|  -32.170 2.353   |9.62     |K2             |    ~     ~    
5890|HD 95416                                                              |Spectroscopic Binary           |10 26 08.0168421264 -89 00 44.011409112|302.2790679055667 -26.3309367685425|   -5.988 4.842   |9.26     |K2III          |    ~     ~    
5891|CD-87 58                                                              |Star                           |10 29 05.0469792744 -88 00 20.020743288|301.6461192778162 -25.5005096810348|  11.008 11.679   |10.23    |~              |    ~     ~    
5892|CPD-86 198                                                            |Star                           |10 19 36.0724273008 -87 14 09.683103300|301.0574069600473 -24.9366301206345|   -6.052 4.814   |10.62    |~              |    ~     ~    
5893|CPD-86 203                                                            |Star                           |10 21 47.1764407992 -87 35 31.336479528|301.3152516834943 -25.2064550870291| -18.193 13.923   |10.62    |~              |    ~     ~    
5894|CPD-87 168                                                            |Star                           |10 25 40.1203637280 -88 13 20.931343248|301.7603095829533 -25.6934751106524| -28.622 -9.394   |10.46    |~              |    ~     ~    
5895|CPD-86 202                                                            |Star                           |10 23 23.1800387544 -87 09 22.456501596|301.0458265838056 -24.8449919304834|   0.356 -1.522   |9.64     |~              |    ~     ~    
5896|IC 2581 80                                                            |Pulsating Variable             |10 27 37.2742186728 -57 38 29.709549672|284.6167224760917 +00.0234324032971|   -7.218 3.598   |10.32    |~              |    ~     ~    
5897|HD 305194                                                             |Star                           |10 25 15.6757775376 -61 38 36.528413352|286.4717710485799 -03.5356193868769| -19.980 -7.746   |9.228    |K7             |    ~     ~    
5898|HD 304984                                                             |Star                           |10 15 51.7929107760 -59 41 19.183671852|284.4384587515232 -02.5246892034320|   -5.572 3.473   |10.46    |A3             |    ~     ~    
5899|HD 305168                                                             |Spectroscopic Binary           |10 24 59.2377347736 -60 34 21.570838248|285.8740996810964 -02.6459069730334|  -0.124 -8.152   |10.940   |A              |    ~     ~    
5900|HD 90563                                                              |Emission-line Star             |10 25 52.4600540400 -58 47 07.130161932|285.0218169886707 -01.0706138269351|   -7.184 3.173   |9.86     |OB             |    ~     ~    
5901|HD 300630                                                             |Star                           |10 15 21.2679374400 -57 15 01.103623704|283.0177792220131 -00.5414312579683|  -10.765 4.216   |10.36    |A0             |    ~     ~    
5902|HD 300680                                                             |Star                           |10 19 18.0425073624 -57 00 57.261817152|283.3334313249579 -00.0495460470042|  -12.210 6.426   |10.36    |A2             |    ~     ~    
5903|HD 305190                                                             |Star                           |10 26 10.6099181736 -61 24 28.759998348|286.4396128526448 -03.2780650209135|  -10.969 6.483   |10.805   |A3             |    ~     ~    
5904|HD 302868                                                             |Star                           |10 27 21.7271345928 -58 28 58.870449336|285.0275654576838 -00.7116873464745|   -5.940 2.277   |10.100   |K7             |    ~     ~    
5905|HD 305167                                                             |Star                           |10 25 00.0536248896 -60 34 30.653673060|285.8768581147751 -02.6471569325209|  -21.876 9.300   |10.520   |A              |    ~     ~    
5906|CD-54 3406                                                            |Star                           |10 19 08.5243796568 -54 37 46.898039460|282.0052581632349 +01.9331574283145| 12.696 -18.151   |10.56    |~              |    ~     ~    
5907|HD 305188                                                             |Star                           |10 25 31.7265184608 -61 18 54.681303276|286.3244424181518 -03.2403827273442| -28.227 16.942   |10.943   |A              |    ~     ~    
5908|HD 311619B                                                            |Spectroscopic Binary           |10 17 47.0253434040 -72 03 37.800161100|291.6205557051815 -12.6516685389242| -35.501 19.237   |10.039   |~              |    ~     ~    
5909|HD 311619A                                                            |Star                           |10 17 44.2498019592 -72 03 46.260412452|291.6189134534818 -12.6556235528251| -21.988 15.672   |9.955    |~              |    ~     ~    
5910|HD 299041                                                             |Star                           |10 20 33.1490961984 -52 27 33.585723684|280.9911820517907 +03.8641474043465|  11.647 -4.533   |9.184    |K5             |    ~     ~    
5911|CPD-57 3199                                                           |Star                           |10 26 02.9325534456 -57 55 25.528040436|284.5865043722286 -00.3267477128765|   -7.409 2.805   |10.91    |~              |    ~     ~    
5912|TYC 4911-1344-1                                                       |Star                           |10 25 34.7297766384 -06 47 27.946801104|251.4287746873642 +41.0567848302554|  12.980 20.530   |10.704   |~              |    ~     ~    
