C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:47:21

dec< 0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3001

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
67  |CD-42 15896                                                                                                                                 |Star                                  |22 23 13.4137724232 -41 41 47.899559868|357.4858039145258 -56.4765984449658| 25.890 -15.598   |10.73    |~              |    ~     ~    |    1|  404.247   pc  | -10.2000    +10.2000  |ST-L    |2020AJ....160...83S
68  |CD-41 14881                                                                                                                                 |Star                                  |22 24 46.6498560072 -40 36 52.797370608|359.2848230690931 -57.0085514899664| 36.034 -11.225   |10.667   |~              |    ~     ~    |    1|  440.797   pc  | -13.6400    +13.6400  |ST-L    |2020AJ....160...83S
69  |CD-41 14888                                                                                                                                 |Star                                  |22 26 03.2591363040 -40 50 46.585894884|358.7697669427166 -57.1926367232967|-22.818 -28.248   |10.84    |~              |    ~     ~    |    1|  292.381   pc  |  -1.4533     +1.4533  |paral   |2020yCat.1350....0G
70  |CD-42 15937                                                                                                                                 |Spectroscopic Binary                  |22 29 08.4446434704 -42 14 01.377849228|356.0148889829241 -57.4009780327624|    6.411 0.622   |10.29    |~              |    ~     ~    |    1|  404.762   pc  | -13.4500    +13.4500  |ST-L    |2020AJ....160...83S
71  |CD-41 14910                                                                                                                                 |Star                                  |22 29 23.5103534520 -40 45 18.679726404|358.6593555563663 -57.8280210184688| -4.154 -20.485   |10.398   |~              |    ~     ~    |    1|  820.088   pc  | -45.5200    +45.5200  |ST-L    |2020AJ....160...83S
72  |HD 211637                                                                                                                                   |High Proper Motion Star               |22 19 20.8938526224 -41 45 05.970557088|357.6908382642130 -55.7604799125260| 82.303 -67.253   |9.72     |G5V            |    ~     ~    |    1|  124.952   pc  |  -0.2186     +0.2186  |paral   |2020yCat.1350....0G
73  |HD 211638                                                                                                                                   |Star                                  |22 19 21.6224852448 -41 52 19.231258260|357.4816627509400 -55.7354067654096| 41.343 -27.111   |10.44    |G              |    ~     ~    |    1|  275.338   pc  |  -1.0083     +1.0083  |paral   |2020yCat.1350....0G
74  |CD-42 15877                                                                                                                                 |Star                                  |22 20 43.5634 -42 02 59.651            |357.0682461 -55.9408570            |      -4.3 -1.7   |10.64    |~              |    ~     ~    |    1|  242.224   pc  |  -5.9950     +5.9950  |ST-L    |2020AJ....160...83S
75  |HD 212327                                                                                                                                   |Star                                  |22 24 16.3513168824 -42 06 59.073673860|356.6611719678525 -56.5623660879949|  -5.698 -1.466   |8.97     |K3(III)        |    ~     ~    |    1|  819.202   pc  | -13.5561    +13.5561  |paral   |2020yCat.1350....0G
76  |CD-43 15039                                                                                                                                 |Star                                  |22 27 00.2338116672 -42 30 00.294975900|355.7430099879792 -56.9481899852176| -1.261 -22.531   |9.96     |~              |    ~     ~    |    1|  636.608   pc  | -18.6800    +18.6800  |ST-L    |2020AJ....160...83S
77  |HD 212973                                                                                                                                   |Star                                  |22 28 55.3712612424 -42 37 26.809432356|355.3417611008883 -57.2527225244578|    6.167 2.253   |9.76     |K1III          |    ~     ~    |    1|  613.422   pc  |  -6.0958     +6.0958  |paral   |2020yCat.1350....0G
78  |HD 213097                                                                                                                                   |Star                                  |22 29 48.6431958072 -42 32 32.153093952|355.4004209903800 -57.4327436072792| 11.328 -11.230   |9.71     |K1(III)        |    ~     ~    |    1|  620.578   pc  |  -4.8140     +4.8140  |paral   |2020yCat.1350....0G
79  |CD-43 15046                                                                                                                                 |Spectroscopic Binary                  |22 27 46.8055277880 -42 29 29.518856556|355.6856267608122 -57.0880771206339|  22.649 -8.745   |10.39    |~              |    ~     ~    |    1|  366.537   pc  | -21.5100    +21.5100  |ST-L    |2020AJ....160...83S
