C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
463 |CD-30 19822                                                           |Star                                |00 04 58.9698356784 -30 16 54.291009180|012.9906798290429 -79.3427461357582| -2.973 -14.550    |9.79     |K0                   |    ~     ~    
464 |HD 50                                                                 |Spectroscopic Binary                |00 05 26.7564621576 -30 17 24.468604872|012.8109726120276 -79.4374600390019|   18.844 2.328    |9.68     |A9V                  |    ~     ~    
465 |HD 91                                                                 |Star                                |00 05 42.9570193392 -29 57 38.258320932|014.4916923874426 -79.5726215625304|   18.836 2.972    |9.99     |A9/F0V               |    ~     ~    
466 |HD 212                                                                |Star                                |00 06 55.7574800592 -30 36 11.092682844|010.6724930308628 -79.6604052213196|   18.243 3.676    |10.27    |F2/3V                |    ~     ~    
467 |HD 235                                                                |Star                                |00 07 07.8069330144 -30 33 41.643803628|010.8246495798370 -79.7137864444870|   17.762 2.374    |8.66     |A1V                  |    ~     ~    
468 |CD-31 28                                                              |Star                                |00 09 37.9640048304 -30 36 50.227427628|009.6084247288382 -80.2117061884846|    5.595 7.731    |10.023   |~                    |    ~     ~    
469 |HD 619                                                                |Star                                |00 10 25.6681387152 -30 28 44.694569280|010.0543887538644 -80.4163127715261|   1.048 -9.005    |9.47     |K2(III)              |    ~     ~    
470 |CD-31 19576                                                           |Star                                |00 03 33.5987668368 -30 28 41.958278292|012.3884379137124 -78.9963249134768|   20.492 1.441    |10.61    |F4-6V                |    ~     ~    
471 |CD-31 19583                                                           |Star                                |00 04 35.4765027504 -30 37 41.900864088|011.3143289466658 -79.1707331017456|    2.685 3.423    |10.29    |~                    |    ~     ~    
472 |HD 104                                                                |Star                                |00 05 54.7320340224 -30 21 39.279878496|012.2950466530282 -79.5165516538099|  12.191 16.524    |7.99     |K0III                |    ~     ~    
473 |HD 117                                                                |Star                                |00 05 57.0082360584 -30 19 42.135905352|012.4561627365745 -79.5329157239649|      -6.5 -9.8    |9.19     |F2V                  |    ~     ~    
474 |ESO 409-13                                                            |Galaxy towards a Group of Galaxies  |00 04 59.7216854640 -30 30 20.622959532|011.8195896598215 -79.2876764985830|        2.6 1.1    |10.39    |~                    |0.550 0.319    
475 |CD-31 19572                                                           |Star                                |00 03 14.9631858840 -30 18 32.303097288|013.3338300375245 -78.9731702113549|   30.194 2.693    |10.29    |F1-5IV               |    ~     ~    
476 |CD-30 19801                                                           |Spectroscopic Binary                |00 03 21.8528903616 -30 01 10.528822956|014.7839820296468 -79.0628728652109|  17.991 -0.118    |10.36    |F3V                  |    ~     ~    
477 |CD-29 18958                                                           |Star                                |00 05 15.6424900344 -28 47 04.769462112|021.0230584142915 -79.6736159418273|   9.634 15.618    |10.95    |~                    |    ~     ~    
478 |CD-29 18962                                                           |Star                                |00 05 58.9912166928 -29 11 35.365663860|018.6348251504913 -79.7754653809673|   24.112 4.550    |10.92    |~                    |    ~     ~    
479 |CD-29 18965                                                           |Star                                |00 06 12.3621354960 -28 28 34.065110244|022.6381802021445 -79.9109111919882|   11.124 3.428    |10.06    |~                    |    ~     ~    
480 |CD-29 16                                                              |High Proper Motion Star             |00 08 21.4794377760 -28 55 21.248502420|019.7388000022526 -80.3288234228301| 46.538 -37.348    |10.947   |~                    |    ~     ~    
481 |CD-28 15                                                              |Star                                |00 08 36.9423194928 -28 18 50.889915252|023.3241611641567 -80.4525792916832| 12.262 -12.585    |10.924   |~                    |    ~     ~    
482 |CD-29 23                                                              |Star                                |00 09 24.7510459344 -29 18 08.316809568|017.2635652951004 -80.4940385660222|  29.609 17.684    |10.872   |~                    |    ~     ~    
483 |CD-30 26                                                              |Star                                |00 09 51.4638519168 -29 20 33.092239812|016.9118207788640 -80.5817365460293| 16.907 -10.759    |10.20    |~                    |    ~     ~    
