C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
3739|BD+11 4635                                                                                               |Star                           |21 42 14.8295387280 +11 51 12.193580232|066.9506486906930 -29.8048333367179|  -0.425 -1.755   |9.68     |K5               |    ~     ~    
3740|IRAS 21406+1208                                                                                          |Long-Period Variable           |21 43 04.9409009304 +12 22 11.395952616|067.5526654742350 -29.6177549130192|  -5.203 -8.941   |10.76    |~                |    ~     ~    
3741|BD+11 4607                                                                                               |Long-Period Variable           |21 36 16.0474987704 +12 35 29.116388508|066.4973101618017 -28.2167105238085|    3.527 1.489   |9.39     |K0               |    ~     ~    
3742|2MASS J21343295+1252095                                                                                  |Red Giant Branch star          |21 34 32.9574814680 +12 52 09.582540960|066.4286394575935 -27.7176113491724|  50.191 25.037   |10.25    |~                |    ~     ~    
3743|TYC 1128-144-1                                                                                           |Star                           |21 38 56.5056014280 +12 00 50.885870940|066.4825272210897 -29.0883672533156| 17.676 -18.612   |10.20    |~                |    ~     ~    
3744|TYC 1128-270-1                                                                                           |Star                           |21 39 04.1107316760 +11 46 02.680059036|066.2912262036059 -29.2725889443254|  18.097 -5.124   |10.37    |~                |    ~     ~    
3745|TYC 1128-833-1                                                                                           |Star                           |21 38 36.1174189416 +12 26 58.408138284|066.7974500195078 -28.7412428658097| -7.642 -17.459   |10.48    |~                |    ~     ~    
3746|TYC 1128-841-1                                                                                           |Star                           |21 35 37.3357501320 +12 53 44.629715256|066.6433388317231 -27.8993006736735|  24.480 -8.959   |10.45    |~                |    ~     ~    
3747|TYC 1128-905-1                                                                                           |Star                           |21 42 00.0186868512 +12 44 27.721612176|067.6716038057820 -29.1741677123076| -6.612 -15.062   |10.39    |~                |    ~     ~    
3748|TYC 1128-1147-1                                                                                          |Star                           |21 35 57.9401258952 +12 52 27.201433836|066.6865032800205 -27.9768402221141|   3.434 -7.739   |10.47    |~                |    ~     ~    
