C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:06:36

Vmag< 11&dec >=0&rah >=21.5&rah< 21.75
--------------------------------------

Number of objects : 6851

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
128 |GSC 03187-01140                                                                                          |Double or Multiple Star        |21 36 28.5056596080 +41 05 18.378810528|088.0117748880210 -08.2026655913909|  -6.884 -7.143   |10.208   |~                |    ~     ~    
129 |TYC 3187-1152-1                                                                                          |High Proper Motion Star        |21 31 13.7942225568 +40 57 58.234372776|087.1973200614522 -07.6172138078653|121.126 -25.663   |10.86    |~                |    ~     ~    
130 |TYC 3187-1173-1                                                                                          |Star                           |21 34 52.9975621032 +40 55 16.901349276|087.6743216982775 -08.1218938120410| -5.562 -10.094   |10.25    |~                |    ~     ~    
131 |TYC 3187-1185-1                                                                                          |Star                           |21 39 53.5232115096 +40 23 50.036939124|088.0263200036518 -09.1494615681037|  -2.912 -4.019   |9.55     |~                |    ~     ~    
132 |TYC 3187-1218-1                                                                                          |Star                           |21 34 58.7448811752 +41 07 59.874363984|087.8331859107529 -07.9787128964546|  -3.393 -7.260   |10.46    |~                |    ~     ~    
133 |TYC 3187-1235-1                                                                                          |Star                           |21 37 15.7851301872 +40 35 51.165567384|087.7877501290865 -08.6653509570652|   0.448 -4.338   |10.81    |~                |    ~     ~    
134 |TYC 3187-1259-1                                                                                          |Star                           |21 37 38.4747453720 +40 11 37.746699360|087.5659408210241 -09.0119663212226|  -0.044 -2.112   |10.01    |~                |    ~     ~    
135 |TYC 3187-1287-1                                                                                          |Spectroscopic Binary           |21 39 54.6239799408 +39 55 37.721172576|087.7102457212359 -09.5011933943919| -3.458 -10.454   |10.46    |~                |    ~     ~    
136 |TYC 3187-1332-1                                                                                          |Star                           |21 37 21.0163655712 +39 46 53.445978696|087.2424018041793 -09.2785546588473|  26.107 13.194   |10.79    |~                |    ~     ~    
137 |TYC 3187-1348-1                                                                                          |Star                           |21 37 30.1131976728 +40 39 32.593660452|087.8635495396881 -08.6504913086368|   1.484 -3.574   |10.43    |~                |    ~     ~    
138 |TYC 3187-1380-1                                                                                          |Star                           |21 32 08.4128049024 +40 05 16.544123736|086.7140818803113 -08.3736801697836| 21.798 -13.281   |10.63    |~                |    ~     ~    
