C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
125 |HD 291374                                                             |Star                                  |06 15 10.5436402752 -00 08 38.720660820|208.8998674876974 -08.1275119314077|    0.383 4.258   |9.83     |F2                  |    ~     ~          
126 |HD 291376                                                             |Star                                  |06 15 07.3808894208 -00 23 57.604633944|209.1227159945310 -08.2566275333957|  -2.429 -2.478   |9.63     |K2                  |    ~     ~          
127 |HD 291386                                                             |Star                                  |06 15 06.6048196128 -01 01 32.798767584|209.6837668262103 -08.5471171039691|   0.798 -2.577   |10.92    |A0                  |    ~     ~          
128 |HD 291404                                                             |Star                                  |06 15 19.2631964784 -01 09 39.288383604|209.8296659492938 -08.5621848262741|   -5.122 4.812   |10.38    |G5                  |    ~     ~          
129 |HD 291450                                                             |Star                                  |06 17 08.7521921760 -00 02 19.204865340|209.0341614366741 -07.6417044703535|   1.230 -1.432   |10.01    |K7                  |    ~     ~          
130 |HD 291458                                                             |Star                                  |06 16 14.5752413352 -00 17 53.665124928|209.1620427742500 -07.9615205412535|   1.609 -4.790   |10.8     |F8                  |    ~     ~          
131 |HD 291468                                                             |Star                                  |06 18 12.3386409120 -00 45 44.128547028|209.8055473437982 -07.7386184190739|   1.750 -7.206   |9.87     |A7                  |    ~     ~          
132 |HD 291478                                                             |Star                                  |06 18 21.0887697072 -01 13 08.268323916|210.2322147798337 -07.9153667039632|   2.830 -3.770   |9.77     |A2                  |    ~     ~          
133 |HD 291479                                                             |High Proper Motion Star               |06 17 51.1005478464 -01 19 46.760840256|210.2739071297185 -08.0770861921521|-13.464 -197.058  |9.95     |G5                  |    ~     ~          
134 |HD 291480                                                             |Star                                  |06 17 49.8372877296 -01 06 07.890249240|210.0672229930136 -07.9776763223033|  -1.506 -6.925   |10.17    |A2                  |    ~     ~          
135 |HD 291484                                                             |Star                                  |06 16 51.7976163888 -00 57 10.594594152|209.8213735646320 -08.1242461935761|  -0.168 -1.705   |9.60     |K7                  |    ~     ~          
136 |HD 291485                                                             |Star                                  |06 16 49.8032041200 -00 53 53.416609188|209.7683547543770 -08.1065262153278| -16.479 39.724   |10.22    |G0                  |    ~     ~          
137 |HD 291487                                                             |Star                                  |06 16 28.8128404176 -01 07 03.524617560|209.9249608716854 -08.2848204270829|  -6.019 -3.889   |10.07    |A7                  |    ~     ~          
138 |HD 291491                                                             |Spectroscopic Binary                  |06 16 10.0975944960 -01 21 20.362759668|210.1027647871561 -08.4630994675597|  9.782 -11.778   |9.32     |G0                  |    ~     ~          
139 |HD 291492                                                             |Star                                  |06 16 19.5970111824 -01 22 25.324104324|210.1372907138087 -08.4361722901010|   2.974 -3.124   |10.25    |F0                  |    ~     ~          
140 |HD 291493                                                             |Star                                  |06 17 05.2115832816 -01 22 17.768084952|210.2232610708104 -08.2662553519516|  -6.081 19.057   |9.58     |A0                  |    ~     ~          
141 |HD 291495                                                             |Star                                  |06 17 33.7337103528 -01 29 57.767296236|210.3929756877257 -08.2190254678791|  -3.371 -2.603   |10.89    |A0                  |    ~     ~          
142 |HD 291498                                                             |Star                                  |06 17 17.1270466080 -01 40 08.260597380|210.5134704051588 -08.3580392812296|  -2.599 -3.139   |10.16    |K7                  |    ~     ~          
143 |HD 291500                                                             |Star                                  |06 16 25.0318416864 -01 39 26.664235236|210.4028629280201 -08.5457640892962|   -0.370 2.663   |10.51    |A0                  |    ~     ~          
