C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
1616|TYC 6518-474-1                                                        |Star                                  |06 19 26.8984110984 -29 36 29.773632672|237.0002034334288 -19.4473714937137|  15.359 24.037   |10.99    |~                   |    ~     ~          
1617|TYC 6518-542-1                                                        |Spectroscopic Binary                  |06 20 10.6475843280 -29 18 53.514615780|236.7697916423673 -19.1943906027769|    1.771 4.364   |10.82    |~                   |    ~     ~          
1618|TYC 6518-720-1                                                        |Star                                  |06 18 17.2864644168 -29 21 25.841078532|236.6559964285464 -19.5941655821193|  -2.179 -1.210   |10.85    |~                   |    ~     ~          
1619|TYC 6518-1033-1                                                       |Star                                  |06 18 19.0936862904 -29 01 28.231127544|236.3286263913155 -19.4695846376562|   -5.723 4.911   |10.65    |~                   |    ~     ~          
1620|TYC 6518-1054-1                                                       |Spectroscopic Binary                  |06 21 09.9211669920 -28 48 54.435932532|236.3590132813786 -18.8129483579495| 12.551 -20.748   |10.732   |~                   |    ~     ~          
1621|TYC 6518-1072-1                                                       |Star                                  |06 22 18.2247596328 -28 49 04.787137380|236.4574654394400 -18.5816697460306|  -1.230 -0.601   |10.980   |~                   |    ~     ~          
1622|TYC 6518-1214-1                                                       |Star                                  |06 18 26.8308197160 -29 05 26.694404232|236.4049234356869 -19.4668984533459|  -2.549 -8.738   |10.96    |~                   |    ~     ~          
1623|TYC 6518-1224-1                                                       |High Proper Motion Star               |06 20 59.9690891496 -29 09 35.926575372|236.6850224017406 -18.9713897878938|-32.474 115.442   |10.29    |~                   |    ~     ~          
1624|TYC 6518-1540-1                                                       |Star                                  |06 17 56.9480771784 -28 35 04.744829400|235.8624142535221 -19.3876853627199|   -0.711 0.515   |10.85    |~                   |    ~     ~          
1625|TYC 6518-1726-1                                                       |Star                                  |06 18 26.1801692112 -28 24 04.752141552|235.7219424167726 -19.2218729652038|    2.452 5.548   |10.49    |~                   |    ~     ~          
1626|TYC 6518-1819-1                                                       |Star                                  |06 19 30.6632945904 -28 25 04.967060520|235.8287912804173 -19.0075474272986|  -1.338 30.780   |10.97    |~                   |    ~     ~          
1627|TYC 6518-2057-1                                                       |Star                                  |06 20 21.8002302936 -28 16 14.570201568|235.7556329757299 -18.7793333177358|   -2.546 5.503   |10.71    |~                   |    ~     ~          
1628|TYC 6518-2102-1                                                       |Star                                  |06 18 18.8719553088 -28 19 20.604035208|235.6337439827576 -19.2184065728116|   -9.035 5.515   |10.81    |~                   |    ~     ~          
1629|TYC 7072-311-1                                                        |Spectroscopic Binary                  |06 16 57.4764994488 -30 11 22.344698508|237.3765500795323 -20.1571576561897|  -5.345 18.791   |10.66    |~                   |    ~     ~          
1630|TYC 7072-374-1                                                        |Star                                  |06 16 29.6785787880 -30 36 28.389527748|237.7579095987788 -20.3959571086825|    4.539 2.324   |10.855   |~                   |    ~     ~          
1631|TYC 7072-470-1                                                        |Star                                  |06 16 38.7912036504 -30 34 58.910829744|237.7450725994287 -20.3566994148407| 11.894 -21.058   |10.98    |~                   |    ~     ~          
1632|TYC 7072-491-1                                                        |Star                                  |06 16 35.1975806880 -30 25 22.781422632|237.5801844821548 -20.3134193164060|   16.918 3.277   |10.77    |~                   |    ~     ~          
1633|TYC 7072-510-1                                                        |Spectroscopic Binary                  |06 17 13.5505883712 -30 34 02.706784680|237.7754803280042 -20.2343111042522|    5.823 4.651   |10.59    |~                   |    ~     ~          
1634|TYC 7072-860-1                                                        |Star                                  |06 17 31.5599168544 -30 39 22.086540468|237.8880195919207 -20.2044927195887|  -3.277 15.975   |10.25    |~                   |    ~     ~          
