C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:55:10

dec< 0&rah >=23.25&rah< 23.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2617

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
83  |CD-40 15113                                                                                              |High Proper Motion Star           |23 20 49.1912348784 -39 46 21.229753836|353.2135129863819 -67.3642714502314| 47.978 -33.336   |10.506   |G5             |    ~     ~    |    1|  242.761   pc  |  -3.7970     +3.7970  |ST-L    |2020AJ....160...83S
84  |HD 220070                                                                                                |High Proper Motion Star           |23 21 07.9366408656 -40 06 57.774374208|352.3517562245142 -67.2589963237245|-13.129 -135.059  |10.18    |G2/5V          |    ~     ~    |    1|  169.693   pc  |  -0.5788     +0.5788  |paral   |2020yCat.1350....0G
85  |HD 220163                                                                                                |Double or Multiple Star           |23 21 57.90035 -40 10 27.5333          |352.02410471 -67.37192368          |     2.46 -6.37   |10.106   |F7V            |0.0067  0.0    |    1|   41.2954  pc  |  -2.2834     +2.2834  |paral   |2018yCat.1345....0G
86  |HD 220271                                                                                                |High Proper Motion Star           |23 22 42.4388750904 -40 01 38.119580544|352.1863325311853 -67.5666343239288|-18.918 -52.319   |8.65     |F5V            |    ~     ~    |    1|  123.209   pc  |  -1.2560     +1.2560  |ST-L    |2020AJ....160...83S
87  |HD 220325                                                                                                |High Proper Motion Star           |23 23 08.1521416872 -39 55 09.385511016|352.3340980551420 -67.6900774411005|129.874 -47.514   |8.41     |K0IV           |    ~     ~    |    1|  105.430   pc  |  -0.2423     +0.2423  |paral   |2020yCat.1350....0G
88  |CD-40 15136                                                                                              |Star                              |23 24 42.2171388264 -40 04 55.973164620|351.5747930223918 -67.8751800052933|   31.797 3.852   |9.74     |K2             |    ~     ~    |    1|  628.141   pc  |  -5.6028     +5.6028  |paral   |2020yCat.1350....0G
89  |CD-40 15140                                                                                              |Spectroscopic Binary              |23 25 23.0046481464 -40 02 46.972032072|351.4886802701237 -68.0061571626141|-8.346 -120.203   |9.62     |~              |    ~     ~    |    1|   68.123   pc  |  -2.4601     +2.4601  |paral   |2020yCat.1350....0G
90  |* phi Gru                                                                                                |High Proper Motion Star           |23 18 09.8840454696 -40 49 27.703073964|351.4376011591389 -66.4277120088196|127.378 -122.603  |5.537    |F4V            |    ~     ~    |    1|   34.304   pc  |  -0.0780     +0.0780  |paral   |2020yCat.1350....0G
91  |HD 219805                                                                                                |Star                              |23 19 02.5399348896 -40 23 36.488093424|352.1992679102741 -66.7768986085785| 15.604 -10.492   |10.00    |A2V+F3/5       |    ~     ~    |    1|  360.140   pc  |  -2.5681     +2.5681  |paral   |2020yCat.1350....0G
92  |CD-41 15219B                                                                                             |Star                              |23 19 02.7878118240 -40 23 33.109126908|352.2004487739789 -66.7780312756170| 15.000 -10.904   |10.32    |~              |    ~     ~    |    1|  363.980   pc  |  -2.4377     +2.4377  |paral   |2020yCat.1350....0G
