C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:39

dec< 0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2351

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |HD 9465                                                                                                  |Star                                  |01 32 12.2348443152 -39 05 52.893550212|270.1203619484024 -75.3206908392347|   3.222 -9.272   |8.69     |K2III          |    ~     ~    |    1|  471.098   pc  |  -3.5065     +3.5065  |paral   |2020yCat.1350....0G
82  |HD 9464                                                                                                  |Star                                  |01 32 16.6429020768 -37 06 55.947546864|264.6649414913500 -76.8073802524112|  -1.620 -0.199   |8.92     |K1III          |    ~     ~    |    1|  397.567   pc  |  -2.2761     +2.2761  |paral   |2020yCat.1350....0G
83  |HD 9476                                                                                                  |Star                                  |01 32 24.5811775848 -37 17 04.438936608|265.0891116399984 -76.6666887305097|   32.205 9.220   |9.03     |G2V            |    ~     ~    |    1|   66.010   pc  |  -0.0645     +0.0645  |paral   |2020yCat.1350....0G
84  |HD 9577                                                                                                  |High Proper Motion Star               |01 33 16.7040129816 -37 18 54.021168072|264.6401664087792 -76.5254725544476| -17.976 98.404   |8.31     |F5V            |    ~     ~    |    1|   91.448   pc  |  -0.1614     +0.1614  |paral   |2020yCat.1350....0G
85  |CD-37 604                                                                                                |Star                                  |01 36 08.2924490136 -37 17 47.966286084|262.8827876911375 -76.1364820495403|  18.774 -0.197   |9.12     |~              |    ~     ~    |    1|  391.512   pc  |  -3.0503     +3.0503  |paral   |2020yCat.1350....0G
86  |HD 9918                                                                                                  |Star                                  |01 36 10.3036413576 -37 17 32.447487912|262.8505292374737 -76.1346727806302|   20.726 1.226   |9.75     |A2(m)A7-F0     |    ~     ~    |    1|  401.945   pc  |  -4.1844     +4.1844  |paral   |2020yCat.1350....0G
87  |CD-37 609                                                                                                |Star                                  |01 36 39.3659656608 -37 09 45.800407116|262.1808266443658 -76.1541247622576|  16.678 -2.596   |10.21    |F5             |    ~     ~    |    1|  394.135   pc  |  -2.5787     +2.5787  |paral   |2020yCat.1350....0G
88  |HD 10129                                                                                                 |Star                                  |01 38 20.8636987032 -37 07 31.846441152|261.1219640296214 -75.9309591007915|    3.236 3.853   |9.15     |G8IV           |    ~     ~    |    1|  599.556   pc  |  -5.1044     +5.1044  |paral   |2020yCat.1350....0G
89  |CD-37 638                                                                                                |Spectroscopic Binary                  |01 40 09.7823351736 -37 09 02.846075112|260.2259305123174 -75.6426363959909| -1.282 -37.048   |10.35    |G5             |    ~     ~    |    1|  214.169   pc  |  -2.4907     +2.4907  |paral   |2020yCat.1350....0G
90  |HD 10076                                                                                                 |Star                                  |01 37 47.5316138520 -37 43 05.665293156|263.1924115277182 -75.6076950607384|   17.575 8.974   |9.15     |K0III          |    ~     ~    |    1|  464.965   pc  |  -3.4375     +3.4375  |paral   |2020yCat.1350....0G
91  |CD-38 566                                                                                                |High Proper Motion Star               |01 38 55.2236057544 -37 34 26.895012960|262.1559810979001 -75.5445180233400|-49.924 -35.962   |9.78     |K0             |    ~     ~    |    1|   72.252   pc  |  -0.0778     +0.0778  |paral   |2020yCat.1350....0G
