C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1953|BD+54 2535                                                            |Star                           |21 24 59.1902280960 +55 35 43.767201300|096.5854053096593 +03.6665041285003|    9.662 4.491   |9.72     |M2                |    ~     ~    
1954|TYC 3957-100-1                                                        |Spectroscopic Binary           |21 18 40.5325261824 +56 09 40.259126052|096.3588697761792 +04.6922581858866| -9.287 -25.561   |10.67    |~                 |    ~     ~    
1955|TYC 3957-310-1                                                        |Star                           |21 17 07.2838825872 +55 23 03.036483240|095.6474653128922 +04.3068821950671|   1.161 -6.784   |10.69    |~                 |    ~     ~    
1956|TYC 3957-362-1                                                        |Star                           |21 19 41.3130 +55 49 44.622            |096.2206599 +04.3585195            |  -3.410 -8.003   |10.09    |~                 |    ~     ~    
1957|TYC 3957-396-1                                                        |Double or Multiple Star        |21 18 09.130680 +55 35 32.67204        |095.899260568 +04.347348177        |    -11.0 -13.3   |10.984   |~                 |    ~     ~    
1958|TYC 3957-757-1                                                        |Star                           |21 19 00.7974423000 +55 12 12.364858800|095.7062763003532 +03.9879046270826| -10.064 -7.905   |10.64    |~                 |    ~     ~    
1959|TYC 3957-789-1                                                        |Star                           |21 16 07.3076181864 +56 05 55.992721416|096.0654656410182 +04.9043787983047|  20.704 32.781   |10.08    |~                 |    ~     ~    
1960|TYC 3957-808-1                                                        |High Proper Motion Star        |21 19 45.6456451992 +55 32 52.747427868|096.0271249140414 +04.1539271941389| 80.219 -33.745   |10.49    |~                 |    ~     ~    
1961|TYC 3957-898-1                                                        |Star                           |21 17 29.8852570272 +55 33 32.037809220|095.8105134294827 +04.3902211193307|   0.529 -1.500   |10.19    |~                 |    ~     ~    
1962|TYC 3957-921-1                                                        |Star                           |21 19 22.2933242448 +56 10 20.078245992|096.4348402725035 +04.6308177895285|   -1.222 8.602   |10.34    |~                 |    ~     ~    
1963|TYC 3957-923-1                                                        |Star                           |21 19 06.5004071208 +56 03 37.284675804|096.3289595939076 +04.5786053855563|   0.855 -8.067   |10.11    |~                 |    ~     ~    
1964|TYC 3957-1088-1                                                       |Star                           |21 16 46.1083435848 +55 02 55.610779056|095.3707291398375 +04.1097692056453|   11.508 6.126   |10.26    |~                 |    ~     ~    
1965|TYC 3957-1196-1                                                       |Star                           |21 16 19.4362590960 +55 00 07.483403628|095.2926810369050 +04.1231507640132| -1.915 -14.888   |10.74    |~                 |    ~     ~    
1966|TYC 3957-1323-1                                                       |Star                           |21 15 43.0362846072 +55 34 50.828919636|095.6509666989136 +04.5865421873962|  22.929 21.548   |10.51    |~                 |    ~     ~    
1967|TYC 3957-1400-1                                                       |Spectroscopic Binary           |21 19 04.1970151080 +55 19 08.706062208|095.7946621800959 +04.0631813705052|-19.549 -34.591   |9.87     |~                 |    ~     ~    
1968|TYC 3961-1242-1                                                       |Star                           |21 16 09.0341548632 +56 18 40.074045624|096.2218850246726 +05.0485348732685|    6.972 4.703   |10.42    |~                 |    ~     ~    
1969|TYC 3961-1592-1                                                       |Star                           |21 17 39.3376612368 +56 38 17.443281444|096.6030190324491 +05.1261501593592|   12.430 6.540   |9.84     |~                 |    ~     ~    
1970|TYC 3961-1651-1                                                       |Star                           |21 19 34.5706562184 +56 16 10.757278452|096.5245355986390 +04.6788339814362| -11.284 -9.508   |10.69    |~                 |    ~     ~    
1971|TYC 3961-1697-1                                                       |Spectroscopic Binary           |21 17 59.4038854560 +56 32 11.298258420|096.5619767378703 +05.0222619707298|   5.313 15.301   |10.65    |~                 |    ~     ~    
1972|TYC 3970-30-1                                                         |Star                           |21 20 42.9898740384 +55 42 10.707332904|096.2327215530780 +04.1670646318416|   4.031 -0.880   |10.82    |~                 |    ~     ~    
1973|TYC 3970-74-1                                                         |High Proper Motion Star        |21 20 58.8627460272 +56 11 57.387398676|096.6120196120394 +04.4905424300597| 62.080 -34.256   |10.85    |~                 |    ~     ~    
1974|TYC 3970-373-1                                                        |Star                           |21 22 35.9771697648 +55 23 05.481148812|096.1959518505118 +03.7537882239208|  17.583 40.805   |10.91    |~                 |    ~     ~    
1975|TYC 3970-394-1                                                        |Star                           |21 24 37.9993255824 +56 03 54.115930224|096.8791306762773 +04.0366975731687|   12.468 1.639   |10.17    |~                 |    ~     ~    
1976|TYC 3970-458-1                                                        |Star                           |21 22 48.7629920064 +56 09 26.678936376|096.7631025882630 +04.2807228333564|-20.277 -25.893   |10.65    |~                 |    ~     ~    
1977|TYC 3970-548-1                                                        |Star                           |21 26 56.1358165536 +55 52 09.438210408|096.9737723028178 +03.6717814338947|   17.100 7.414   |9.57     |~                 |    ~     ~    
1978|TYC 3970-670-1                                                        |Star                           |21 24 42.0596223288 +55 59 21.979429440|096.8328464661879 +03.9761007505349| -0.028 -10.715   |10.11    |~                 |    ~     ~    
1979|TYC 3970-686-1                                                        |Star                           |21 26 45.4409316672 +56 01 49.318307004|097.0679023156852 +03.8049948928763|    6.461 2.640   |10.76    |~                 |    ~     ~    
1980|TYC 3970-1046-1                                                       |Star                           |21 25 37.1681234928 +56 01 31.839339180|096.9501579154466 +03.9121882648656|   20.062 2.795   |9.44     |~                 |    ~     ~    
