C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
77  |HD 147321                                                                                                                                   |Star                                |16 14 33.4431937752 +73 23 41.607985776|106.9000398395791 +36.7113926826804| -11.346 34.403  |6.016    |A3V            |    ~     ~          |    1|  192.519   pc  |  -1.1304     +1.1304  |paral   |2020yCat.1350....0G
78  |BD+72 717                                                                                                                                   |Double or Multiple Star             |16 09 02.092 +72 33 32.86              |106.265327 +37.489534              |       -2.2 4.0  |9.4      |F5             |    ~     ~          |    0|                |                       |        |                   
79  |HD 146585                                                                                                                                   |Star                                |16 10 37.3414894800 +72 23 35.653450128|106.0084548597774 +37.4737649168645|   -9.428 6.361  |7.97     |A0             |    ~     ~          |    1|  259.175   pc  |  -2.0420     +2.0420  |paral   |2020yCat.1350....0G
80  |BD+72 719                                                                                                                                   |Star                                |16 12 35.8835659320 +71 52 54.743261772|105.3562310792238 +37.6040486425038|  7.424 -22.853  |10.23    |G0             |    ~     ~          |    1|  220.907   pc  |  -0.5173     +0.5173  |paral   |2020yCat.1350....0G
81  |HD 147055                                                                                                                                   |Double or Multiple Star             |16 13 33.10895 +71 47 02.7110          |105.20241869 +37.58866282          |     -9.78 9.24  |8.72     |A3             |    ~     ~          |    0|                |                       |        |                   
82  |TYC 4422-1431-1                                                                                                                             |Star                                |16 14 43.6150653576 +71 31 33.672560916|104.8615518710040 +37.6359489029077|  -27.974 8.018  |9.86     |~              |    ~     ~          |    1|  489.093   pc  |  -3.7796     +3.7796  |paral   |2020yCat.1350....0G
83  |TYC 4425-531-1                                                                                                                              |Spectroscopic Binary                |16 14 08.8965211680 +72 59 54.508280676|106.4925804828656 +36.9386395155385| -29.145 34.611  |10.98    |~              |    ~     ~          |    1|  392.588   pc  |  -2.4968     +2.4968  |paral   |2020yCat.1350....0G
84  |TYC 4425-614-1                                                                                                                              |Star                                |16 14 01.8032468736 +73 58 32.014461252|107.5440072547091 +36.4447088562690|   -0.521 1.283  |10.29    |~              |    ~     ~          |    1|  839.067   pc  |  -8.4484     +8.4484  |paral   |2020yCat.1350....0G
85  |TYC 4425-808-1                                                                                                                              |High Proper Motion Star             |16 13 13.5977059776 +73 54 18.256698972|107.5049424022912 +36.5287894673465| -35.830 35.840  |9.98     |~              |    ~     ~          |    1|  185.843   pc  |  -0.4179     +0.4179  |paral   |2020yCat.1350....0G
86  |TYC 4425-1226-1                                                                                                                             |Star                                |16 06 52.6460736816 +73 35 34.320465924|107.4695235157503 +37.0709621681421|   0.008 -6.687  |10.91    |~              |    ~     ~          |    1|  431.909   pc  |  -2.4437     +2.4437  |paral   |2020yCat.1350....0G
87  |TYC 4425-1233-1                                                                                                                             |Star                                |16 08 27.9944892360 +73 33 35.482716828|107.3588224628783 +36.9941672549978|   -8.268 6.310  |10.62    |~              |    ~     ~          |    1|  888.178   pc  | -11.2807    +11.2807  |paral   |2020yCat.1350....0G
88  |TYC 4425-1244-1                                                                                                                             |Star                                |16 10 09.2499951456 +73 07 12.764759016|106.8114128959618 +37.1248856434705| -23.025 32.171  |10.59    |~              |    ~     ~          |    1|  254.829   pc  |  -0.9481     +0.9481  |paral   |2020yCat.1350....0G
89  |TYC 4425-1266-1                                                                                                                             |Star                                |16 11 16.7400076584 +73 35 42.059067972|107.2642073291741 +36.8070170217846|   7.188 11.273  |10.45    |~              |    ~     ~          |    1|  279.361   pc  |  -1.1550     +1.1550  |paral   |2020yCat.1350....0G
90  |TYC 4425-1345-1                                                                                                                             |Star                                |16 04 19.9843226760 +73 38 40.561600524|107.6470721152721 +37.1927084302259| -10.800 46.527  |10.90    |~              |    ~     ~          |    1|  292.039   pc  |  -1.3987     +1.3987  |paral   |2020yCat.1350....0G
