C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
804 |BD-20 6457                                                            |High Proper Motion Star       |22 36 33.8387146632 -19 39 57.115049040|039.2244977582138 -58.2710016859225|   94.479 6.072   |10.91    |~               |    ~     ~    
805 |BD-19 6309                                                            |Star                          |22 37 09.4075704912 -19 10 02.604597312|040.2049006961773 -58.2279159546611| 19.531 -10.554   |10.358   |~               |    ~     ~    
806 |BD-20 6467                                                            |Spectroscopic Binary          |22 40 43.5514524480 -19 47 03.301215936|039.6575681424138 -59.2316325808572|-67.282 -92.013   |10.977   |~               |    ~     ~    
807 |BD-20 6469                                                            |Spectroscopic Binary          |22 40 56.7515269080 -19 58 10.482088080|039.3509273717321 -59.3434137090116|  6.723 -17.995   |10.846   |~               |    ~     ~    
808 |V* FK Aqr                                                             |Spectroscopic Binary          |22 38 45.5746238605 -20 37 16.087447076|037.8194061812045 -59.0738014832898|449.207 -79.046   |9.083    |M0Vep           |    ~     ~    
809 |BD-21 6262                                                            |Star                          |22 37 57.8122905312 -20 50 36.055608468|037.2953884598607 -58.9676479846839|  1.284 -27.973   |10.224   |~               |    ~     ~    
810 |BD-20 6460                                                            |Star                          |22 38 18.3537385512 -20 00 44.612835804|038.8661506206087 -58.7738627781140|-15.687 -32.218   |10.77    |~               |    ~     ~    
811 |TYC 6388-283-1                                                        |Star                          |22 31 35.9792688840 -18 34 08.620501620|040.3620058842111 -56.7860064790264| -2.154 -25.594   |10.520   |~               |    ~     ~    
812 |TYC 6388-1031-1                                                       |High Proper Motion Star       |22 31 30.3184435752 -18 33 35.416994652|040.3627764484523 -56.7618231257225| 41.771 -31.204   |10.825   |~               |    ~     ~    
813 |TYC 6389-592-1                                                        |Star                          |22 34 41.7836866080 -18 28 52.125335004|041.0093604838551 -57.4364161566859|  -9.631 -5.268   |10.92    |~               |    ~     ~    
814 |TYC 6389-773-1                                                        |Star                          |22 38 12.2045593752 -19 04 37.556947776|040.5336871048049 -58.4265763757415|    1.432 4.816   |10.953   |~               |    ~     ~    
815 |TYC 6389-822-1                                                        |Star                          |22 35 31.3979126568 -18 53 23.498547432|040.4328461390131 -57.7680558124686|  -2.592 -4.095   |10.702   |~               |    ~     ~    
816 |TYC 6389-853-1                                                        |Star                          |22 37 19.4920790400 -19 25 48.907440372|039.7634404303406 -58.3576666473390|-10.020 -31.923   |10.923   |~               |    ~     ~    
817 |TYC 6389-913-1                                                        |Star                          |22 38 22.6928769000 -18 50 49.118360532|040.9717127036746 -58.3818777093688|  22.389 -4.189   |10.730   |~               |    ~     ~    
818 |USNO-B1.0 0690-00897288                                               |Star                          |22 31 56.54 -20 42 21.9                |036.70312 -57.58825                |            ~ ~   |10.4     |~               |    ~     ~    
819 |USNO-B1.0 0692-00882044                                               |Star                          |22 31 52.74 -20 30 40.6                |037.03878 -57.51253                |            ~ ~   |9.9      |~               |    ~     ~    
820 |V* SZ Aqr                                                             |Red Supergiant                |22 42 50.3197465728 -21 10 44.661079092|037.3627331561520 -60.1533958732602| 22.271 -10.132   |8.74     |M3Iae           |    ~     ~    
821 |BD-21 6290                                                            |Star                          |22 43 45.7551273984 -21 05 56.160886020|037.6503171179231 -60.3335716412356| -0.956 -17.312   |10.882   |~               |    ~     ~    
822 |BD-21 6282                                                            |Star                          |22 41 58.1078997504 -21 01 03.022640364|037.5446477088485 -59.9104111671913|  10.265 -8.163   |10.12    |~               |    ~     ~    
823 |BD-21 6284                                                            |Star                          |22 42 00.4705074888 -21 03 34.806598596|037.4703817830313 -59.9322434928003|    5.816 9.110   |10.911   |~               |    ~     ~    
824 |BD-21 6285                                                            |Star                          |22 42 20.1622323696 -21 07 07.067666820|037.4056617240151 -60.0232835189977|   29.600 8.084   |10.75    |~               |    ~     ~    
825 |HD 215153                                                             |Star                          |22 43 32.0696406192 -19 01 51.980787048|041.5024408381964 -59.5842863252055|   1.438 -4.982   |10.02    |K0/1(III)       |    ~     ~    
826 |* g Aqr                                                               |Variable Star                 |22 43 35.2330664 -18 49 49.355686      |041.8798449906 -59.5220524780      |  -31.73 -28.54   |4.69     |K3III           |    ~     ~    
827 |HD 215198                                                             |Star                          |22 43 47.0802619488 -18 43 11.378111448|042.1164456724220 -59.5243203503602|   8.501 -1.278   |9.46     |K0III           |    ~     ~    
828 |HD 215154                                                             |Star                          |22 43 33.1271131824 -19 20 56.990108112|040.9185228304040 -59.7030131827143| -0.919 -19.762   |8.80     |F5V             |    ~     ~    
829 |HD 214840                                                             |Star                          |22 41 15.2288230872 -20 11 24.400463100|038.9903613580700 -59.4855556496843| 17.173 -19.623   |9.67     |K1III           |    ~     ~    
830 |BD-21 6283                                                            |Long-Period Variable Candidate|22 41 59.4323837856 -20 47 03.709481964|037.9888672475188 -59.8420019010978| 16.690 -41.430   |9.30     |(F)             |    ~     ~    
831 |HD 215033                                                             |Spectroscopic Binary          |22 42 37.8157268280 -20 56 43.904866920|037.7777292027459 -60.0346703093020|  5.950 -16.522   |8.53     |K5III           |    ~     ~    
