C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
62 |M 59                               NGC 4621                           M 59                                                                                                                                                                                                              |Galaxy towards a Group of Galaxies  |12 42 02.2581375168 +11 38 48.909507756|294.3636718316299 +74.3620742551403|  -0.055 -0.283   |     ~   |~              | 5.50  3.98    |    1|   15.35    Mpc |                         |        |2016AJ....152...50T
63 |M 89                               NGC 4552                           M 89                                                                                                                                                                                                              |LINER-type Active Galaxy Nucleus    |12 35 39.80733343 +12 33 22.8308657    |287.93245081450 +74.96680928241    |            ~ ~   |9.75     |~              | 6.92  6.46    |    1|   15.920   Mpc |  +0.810      +0.810     |Mult    |2010ApJS..190..233M
64 |M 104                              NGC 4594                           NAME Sombrero                      NAME Sombrero Galaxy               M 104                                                                                                                                       |LINER-type Active Galaxy Nucleus    |12 39 59.43185902 -11 37 22.9961800    |298.46058621087 +51.14928244354    |            ~ ~   |8.00     |~              | 8.51  5.01    |    1|    9.30    Mpc |                         |T-F     |2011ApJS..192....6L
65 |M 68                               NGC 4590                           M 68                                                                                                                                                                                                              |Globular Cluster                    |12 39 27.98 -26 44 38.6                |299.62578 +36.05083                |     -2.75 1.78   |7.96     |~              |12.0  12.0     |    1|    0.010   Mpc |                         |        |2008MNRAS.389.1924F
66 |M 94                               NGC 4736                           M 94                                                                                                                                                                                                              |Seyfert Galaxy                      |12 50 53.0737971432 +41 07 12.900884628|123.3629301340831 +76.0075390900619|    0.714 0.800   |8.24     |~              |11.48 10.00    |    1|    4.66    Mpc |                         |T-F     |2011ApJS..192....6L
67 |M 64                               NGC 4826                           NAME Black Eye Galaxy              NAME Evil Eye Galaxy               M 64                                                                                                                                        |Seyfert Galaxy                      |12 56 43.696 +21 40 57.57              |315.681974 +84.422965              |            ~ ~   |8.52     |~              | 9.77  4.90    |    1|    5.04    Mpc |  -0.43       +0.43      |T-F     |2020ApJ...902..145K
68 |M 63                               NGC 5055                           NAME Sunflower Galaxy              M 63                                                                                                                                                                           |LINER-type Active Galaxy Nucleus    |13 15 49.2741893928 +42 01 45.728076108|105.9977353176865 +74.2875829276597|  -0.309 -0.076   |8.59     |~              |13.18  7.94    |    1|    7.55    Mpc |  -0.65       +0.65      |T-F     |2020ApJ...902..145K
69 |M 53                               NGC 5024                           M 53                                                                                                                                                                                                              |Globular Cluster                    |13 12 55.25 +18 10 05.4                |332.96299 +79.76419                |    -0.11 -1.35   |7.79     |~              |12.6  12.6     |    0|                |                         |        |                   
70 |M 83                               NGC 5236                           NAME Southern Pinwheel Galaxy      M 83                                                                                                                                                                           |Starburst Galaxy                    |13 37 00.91920 -29 51 56.7400          |314.58357765 +31.97269991          |            ~ ~   |7.52     |~              |13.80 12.88    |    1|    4.47    Mpc |                         |T-F     |2011ApJS..192....6L
71 |M 3                                NGC 5272                           M 3                                                                                                                                                                                                               |Globular Cluster                    |13 42 11.62 +28 22 38.2                |042.21695 +78.70685                |    -0.14 -2.64   |6.39     |~              |16.2  16.2     |    1|    0.010   Mpc |                         |        |2008MNRAS.389.1924F
