C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
516 |HD 126644                                                             |High Proper Motion Star        |14 25 10.9475443176 +51 06 25.408583460|092.7873335575684 +60.1806464820594|-122.524 32.329    |9.54     |G                   |    ~     ~    
517 |BD+51 1922                                                            |Star                           |14 27 04.7782714752 +51 13 30.376886232|092.5403740804618 +59.8853958050937| 44.867 -14.566    |10.83    |K4                  |    ~     ~    
518 |HD 234137                                                             |Star                           |14 26 46.9424242128 +50 46 05.991100536|091.9447058431388 +60.2353266539293|   6.974 12.282    |10.49    |A7                  |    ~     ~    
519 |HD 126913                                                             |Star                           |14 26 47.8973470560 +50 44 20.949574920|091.8986022693746 +60.2536065272623|   8.570 12.172    |9.77     |G5                  |    ~     ~    
520 |HD 126942                                                             |High Proper Motion Star        |14 26 56.7200712408 +50 24 36.345491964|091.3819630056072 +60.4622549974350| 16.722 -47.967    |8.28     |G5                  |    ~     ~    
521 |HD 234144                                                             |Star                           |14 29 31.6124450424 +50 12 45.738496188|090.5246281867948 +60.2912333414290|   -1.482 3.072    |9.03     |K5                  |    ~     ~    
522 |TYC 3478-621-1                                                        |High Proper Motion Star        |14 29 55.3923701256 +50 03 27.117548856|090.2052017065252 +60.3468591345132|-35.365 -143.458   |10.66    |~                   |    ~     ~    
523 |TYC 3478-656-1                                                        |Star                           |14 29 37.0738445400 +50 17 24.574820460|090.6213765073738 +60.2287229357800|  10.835 -3.056    |10.40    |~                   |    ~     ~    
524 |2MASS J14233259+5032332                                               |Red Giant Branch star          |14 23 32.5941227736 +50 32 33.199360296|092.3402066906113 +60.7612623688524|   4.600 -6.985    |10.42    |~                   |    ~     ~    
525 |TYC 3478-1099-1                                                       |Star                           |14 25 29.7263061816 +51 01 27.145986996|092.5991260651790 +60.2036515719943|  3.635 -17.561    |10.54    |~                   |    ~     ~    
526 |AP J14224713+5042593                                                  |Red Giant Branch star Candidate|14 22 47.1390272616 +50 42 59.290653096|092.7659138925144 +60.7239528462526| -19.213 -1.675    |10.60    |~                   |    ~     ~    
527 |TYC 3478-1324-1                                                       |High Proper Motion Star        |14 28 21.6064230600 +50 42 07.667289252|091.5040399601089 +60.0987791501000| -42.818 60.434    |10.81    |~                   |    ~     ~    
528 |HD 125120                                                             |Star                           |14 15 56.2007227176 +53 26 55.734902880|097.9966979828269 +59.3962651180254|  -6.393 10.277    |8.90     |G5                  |    ~     ~    
529 |HD 125273                                                             |Spectroscopic Binary           |14 16 44.7857782272 +53 15 48.811024296|097.5821245608009 +59.4630512289207| -13.849 -1.007    |7.85     |A5                  |    ~     ~    
530 |HD 125019                                                             |Star                           |14 15 16.9958558592 +52 32 09.324615480|096.9958845412052 +60.1639479374475| -17.598 -3.439    |6.560    |A4V                 |    ~     ~    
531 |HD 234117                                                             |Star                           |14 15 19.8735231456 +52 40 08.729265612|097.1554238845913 +60.0568685969407|   -6.193 0.028    |9.17     |K0                  |    ~     ~    
532 |HD 234120                                                             |Double or Multiple Star        |14 16 01.211880 +52 47 10.75416        |097.144854220 +59.900039139        |     -17.8 -3.3    |9.58     |G5                  |    ~     ~    
533 |V* DS Boo                                                             |Long-Period Variable           |14 16 09.4872584208 +52 56 16.580291532|097.3059375954229 +59.7701554564889| -39.712 -3.223    |8.85     |M2                  |    ~     ~    
534 |HD 234119                                                             |Spectroscopic Binary           |14 16 04.1677100227 +52 04 22.772268041|096.2074051391150 +60.4399139911253|  -5.434 11.006    |9.698    |A7                  |    ~     ~    
535 |HD 126138                                                             |Variable Star                  |14 21 59.8625332824 +53 31 16.270132440|096.7474269654329 +58.7590319060116|   -2.108 6.481    |7.570    |B9V                 |    ~     ~    
536 |HD 234126                                                             |Star                           |14 19 29.8663023648 +52 24 05.888277648|095.8473462700001 +59.8471593968588|  8.657 -10.252    |9.01     |M0                  |    ~     ~    
537 |BD+53 1708                                                            |Star                           |14 22 39.9651704664 +52 35 22.094129616|095.3893716921254 +59.3843692711206|  -5.319 -4.619    |10.44    |K0                  |    ~     ~    
538 |HD 234135                                                             |Star                           |14 24 56.3398328352 +53 04 28.371732600|095.5406601904059 +58.7952101867153|    3.708 4.960    |9.00     |K7                  |    ~     ~    
539 |HD 126877                                                             |Star                           |14 26 32.5703680872 +52 37 30.769447728|094.6023594227021 +58.9542534328172|-20.192 -19.641    |8.120    |K0                  |    ~     ~    
540 |HD 234138                                                             |Star                           |14 26 59.0095893552 +52 29 09.038386680|094.3205393542719 +59.0073440102291|   9.736 -6.622    |9.52     |K0                  |    ~     ~    
541 |HD 127063                                                             |High Proper Motion Star        |14 27 35.6661884856 +52 36 27.222115032|094.3572818410033 +58.8554147570703|  -54.137 1.221    |8.90     |G0                  |    ~     ~    
