C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
101 |HD 329788                                                                                                |High Proper Motion Star        |17 19 28.1107495344 -44 05 09.364097148|344.4416153403887 -03.8725999722240|-104.615 -259.662  |10.08    |K0                  |    ~     ~          
102 |HD 329789                                                                                                |Star                           |17 19 58.1041042536 -44 06 29.189789748|344.4746407879037 -03.9589783305516| -8.605 -16.287    |10.48    |A0                  |    ~     ~          
103 |CD-43 11679                                                                                              |Star                           |17 25 45.4457079768 -44 05 18.171544416|345.0774023812098 -04.8071554190772|  -2.093 -0.410    |10.02    |K0                  |    ~     ~          
104 |CD-43 11684                                                                                              |High Proper Motion Star        |17 26 02.1405739008 -44 03 06.262947288|345.1358352009963 -04.8283739955531| -7.770 -50.039    |9.36     |G5                  |    ~     ~          
105 |HD 156272                                                                                                |Star                           |17 18 47.1117965904 -44 20 17.795929164|344.1639205979652 -03.9163075441291|    2.208 6.498    |9.44     |G3V                 |    ~     ~          
106 |HD 156398                                                                                                |Be Star                        |17 19 24.6302698200 -44 13 22.888324416|344.3228296773923 -03.9422952634839|  1.857 -12.936    |6.657    |B9.5III             |    ~     ~          
107 |HD 329790                                                                                                |Star                           |17 20 10.4792684400 -44 11 49.352020836|344.4224503660973 -04.0400175636689| -0.378 -12.720    |10.29    |A3                  |    ~     ~          
108 |HD 329794                                                                                                |Star                           |17 20 57.9019290792 -44 22 08.363712828|344.3610924526895 -04.2540996687534|  11.251 -8.453    |10.42    |F0                  |    ~     ~          
109 |HD 329797                                                                                                |Star                           |17 21 30.5687953032 -44 30 28.434407868|344.3014408405312 -04.4128521771382|  -6.754 -6.147    |9.64     |G5                  |    ~     ~          
110 |CD-44 11628                                                                                              |Star                           |17 21 59.1185133312 -44 14 27.689313120|344.5704616447144 -04.3322304044087|   2.201 -3.442    |10.21    |B8                  |    ~     ~          
111 |HD 156868                                                                                                |Star                           |17 22 01.5054029088 -44 14 56.043115908|344.5679749024769 -04.3425571779012| -3.738 -14.738    |9.69     |F0III/IV            |    ~     ~          
112 |CD-44 11640                                                                                              |Star                           |17 23 09.9678915744 -44 23 53.517186708|344.5594521744046 -04.5952725065503|   2.658 -3.200    |10.67    |A7                  |    ~     ~          
113 |CD-44 11642                                                                                              |Star                           |17 23 11.6193691368 -44 20 58.921589004|344.6024822235566 -04.5721086596785|   2.086 -3.252    |10.47    |A3                  |    ~     ~          
114 |CD-44 11646                                                                                              |Star                           |17 23 17.9523797904 -44 11 21.307512120|344.7463117684230 -04.4976567295437|  -0.597 -1.572    |10.15    |B8                  |    ~     ~          
115 |CD-44 11648                                                                                              |Star                           |17 23 22.0496359224 -44 20 34.043338464|344.6257210416636 -04.5939506485811|  -2.499 -8.320    |10.60    |A2                  |    ~     ~          
116 |CD-44 11649                                                                                              |Star                           |17 23 23.8636671120 -44 30 04.712795496|344.4971030066819 -04.6873487058652|   1.098 -5.766    |9.78     |~                   |    ~     ~          
117 |CD-44 11652                                                                                              |Star                           |17 23 30.0589909008 -44 25 01.735642740|344.5773827447332 -04.6554060198163|-19.697 -22.999    |9.73     |~                   |    ~     ~          
118 |CD-44 11655                                                                                              |Star                           |17 23 35.5307617824 -44 15 42.241707972|344.7156625484127 -04.5817691782274|   3.307 -2.524    |10.39    |B9                  |    ~     ~          
119 |CD-44 11660                                                                                              |Star                           |17 23 48.3113031072 -44 35 22.654070196|344.4645231134655 -04.7969674340654|  13.504 16.556    |10.00    |G5                  |    ~     ~          
120 |CD-44 11663                                                                                              |Star                           |17 24 01.8783493176 -44 33 02.344623876|344.5195523641277 -04.8085348779670|  1.272 -10.797    |10.32    |A5                  |    ~     ~          
121 |CD-44 11666                                                                                              |Star                           |17 24 06.1796 -44 24 31.890            |344.6446805 -04.7398315            |   1.512 -6.203    |10.48    |B9                  |    ~     ~          
122 |CD-44 11668                                                                                              |High Proper Motion Star        |17 24 10.5128777472 -44 07 25.243165200|344.8891207873929 -04.5910399938751|-36.549 -44.191    |8.59     |K0                  |    ~     ~          
123 |HD 157243                                                                                                |Star                           |17 24 13.0872972 -44 09 45.273534      |344.8610913723 -04.6191766293      |   -6.49 -30.58    |5.108    |B5/6III             |    ~     ~          
124 |CD-44 11679                                                                                              |Star                           |17 24 40.7624026248 -44 23 42.479425968|344.7138108557962 -04.8175548947517|   2.439 -6.580    |10.55    |A0                  |    ~     ~          
125 |CD-44 11681                                                                                              |Star                           |17 24 40.4303687472 -44 12 42.370795908|344.8659471598007 -04.7144166938198|   0.224 -0.816    |10.51    |A0                  |    ~     ~          
