C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
97  |HD 24182                                                              |Star                           |03 50 54.5492831544 -02 22 57.343836288|190.8543468589987 -40.4796382988508|   -1.173 1.658   |10.02    |F3V                 |    ~     ~    
98  |HD 24265                                                              |High Proper Motion Star        |03 51 36.5758406064 -02 24 52.203878568|191.0185117492781 -40.3531228156161|  55.498 14.387   |8.70     |F7V                 |    ~     ~    
99  |HD 23794                                                              |High Proper Motion Star        |03 47 45.6372218832 -02 33 57.451998420|190.4656416673713 -41.2317112612930| 65.186 -34.270   |8.16     |F6V                 |    ~     ~    
100 |HD 23808                                                              |Star                           |03 47 54.9900146928 -02 42 11.436387876|190.6453623626800 -41.2774171329788| -15.996 -3.777   |9.36     |F2IV                |    ~     ~    
101 |HD 23827                                                              |Star                           |03 47 58.8552597552 -02 51 41.105979288|190.8312844144566 -41.3535676226392|  -22.588 1.663   |6.98     |A3II/III            |    ~     ~    
102 |HD 23843                                                              |Star                           |03 48 02.3408161608 -03 12 18.956102004|191.2214659560418 -41.5349430330433| -1.165 -14.706   |9.49     |K0III/IV            |    ~     ~    
103 |HD 24004                                                              |High Proper Motion Star        |03 49 26.7273404568 -02 35 28.854238668|190.8093749467477 -40.8992376629007| 44.024 -30.130   |9.971    |K1/2(III)           |    ~     ~    
104 |HD 24055                                                              |Star                           |03 49 44.2651572888 -02 56 05.520521400|191.2398461723819 -41.0321864280943|  26.457 -6.806   |9.69     |A0IV/V              |    ~     ~    
105 |HD 24067                                                              |Star                           |03 49 53.9281272528 -03 17 10.989205008|191.6566239021486 -41.1952341112496|  16.205 -7.228   |10.188   |F2/5(V)             |    ~     ~    
106 |HD 24314                                                              |Star                           |03 52 06.5053514784 -03 24 59.888865816|192.2053309274227 -40.8084591306424| -17.187 26.092   |8.55     |F6V                 |    ~     ~    
107 |HD 24457                                                              |Star                           |03 53 15.6730677384 -03 17 47.529817908|192.2825278449624 -40.5022436406799|  18.272 -6.106   |8.63     |A5V                 |    ~     ~    
108 |HD 24483                                                              |Star                           |03 53 37.3344634920 -02 36 44.016136560|191.6017805973026 -40.0476480550940|   3.467 -1.870   |10.299   |F5/6V               |    ~     ~    
109 |TYC 4721-146-1                                                        |Star                           |03 54 18.3645235968 -02 54 32.324066424|192.0480954383192 -40.0706724770107|   4.378 -3.901   |10.46    |~                   |    ~     ~    
110 |* 32 Eri                                                              |Double or Multiple Star        |03 54 17.50180 -02 57 17.0435          |192.09529860 -40.09899505          |    26.00 -0.23   |4.45     |G8III+A1V           |    ~     ~    
111 |HD 24722                                                              |Star                           |03 55 38.1301650576 -03 07 32.411928828|192.5230179045803 -39.9134442484362| -17.231 -1.503   |10.03    |G6V                 |    ~     ~    
112 |HD 24726                                                              |Star                           |03 55 45.8546365656 -03 15 35.821605492|192.6924097702398 -39.9602919050191|  -0.215 -8.616   |10.89    |A5/8                |    ~     ~    
113 |HD 24750                                                              |Star                           |03 55 58.2713719752 -03 07 13.137526920|192.5771878126560 -39.8404891492354|  4.962 -27.163   |8.85     |K4III               |    ~     ~    
114 |HD 24171                                                              |High Proper Motion Star        |03 50 49.8002009424 -03 42 51.545729160|192.3013903399065 -41.2387088488787| 66.390 -13.448   |10.14    |F6V                 |    ~     ~    
115 |HD 24289                                                              |High Proper Motion Star        |03 51 54.5431655808 -03 49 10.687742472|192.6146756912932 -41.0716483111940|  273.012 7.032   |9.96     |F0V                 |    ~     ~    
116 |HD 24326                                                              |Star                           |03 52 07.8976637664 -03 35 48.963149988|192.4084764085920 -40.9029707830135|-24.757 -37.309   |7.72     |F7V                 |    ~     ~    
117 |HD 23809                                                              |Star                           |03 47 58.6554109680 -04 04 51.469114152|192.1863118338250 -42.0344456239512| -0.378 -40.305   |9.94     |G2V                 |    ~     ~    
118 |HD 23889                                                              |Star                           |03 48 28.0981282896 -04 31 38.066390688|192.7797587848000 -42.1768509545638| 21.166 -16.333   |8.82     |G3/5IV              |    ~     ~    
119 |HD 23900                                                              |Star                           |03 48 38.0379739608 -03 52 24.262656600|192.0750883859333 -41.7833959367440|  12.136 -7.939   |9.84     |F3V                 |    ~     ~    
120 |HD 23901                                                              |Star                           |03 48 37.9382536320 -04 25 16.674160944|192.6901648342758 -42.0847654149507| 41.593 -21.248   |7.64     |G8V                 |    ~     ~    
121 |HD 24017                                                              |Eclipsing Binary               |03 49 30.6633819648 -04 31 13.745187876|192.9628199887277 -41.9552370063698|  6.609 -32.058   |9.11     |F2V                 |    ~     ~    
