C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
1019|CD-31 1561                                                            |Star                           |03 50 20.8868321616 -30 56 03.283527588|229.5033492711309 -50.9650793596914|  -3.645 24.442   |10.40    |G0                  |    ~     ~    
1020|HD 24267                                                              |Star                           |03 50 34.7022945144 -30 41 23.859248676|229.1264888917125 -50.8896111442877|-12.942 -19.665   |7.00     |K4III               |    ~     ~    
1021|CD-31 1565                                                            |High Proper Motion Star        |03 50 48.5917778592 -30 58 45.614165124|229.5909461018094 -50.8713594696231| 114.262 85.563   |10.34    |G2                  |    ~     ~    
1022|HD 24361                                                              |High Proper Motion Star        |03 51 21.9651504120 -30 52 19.392165912|229.4422268232427 -50.7413343318929| 124.452 17.196   |7.65     |K0III               |    ~     ~    
1023|CD-31 1574                                                            |Star                           |03 51 40.9064852664 -31 32 12.235797852|230.4979803961798 -50.7414985242461| 19.014 -11.552   |9.62     |K0                  |    ~     ~    
1024|CD-31 1578                                                            |High Proper Motion Star        |03 51 48.9592626984 -31 26 49.074439092|230.3611549001824 -50.7044354120139|  54.226 -2.909   |10.33    |G5                  |    ~     ~    
1025|CD-31 1582                                                            |Star                           |03 52 18.6714228288 -31 28 56.844172200|230.4329883992058 -50.6027679629223| -5.366 -20.880   |10.18    |G2                  |    ~     ~    
1026|CD-31 1583                                                            |High Proper Motion Star        |03 52 30.4974962040 -31 14 16.752633576|230.0565918961225 -50.5365533555951|  43.587 46.214   |10.808   |G0                  |    ~     ~    
1027|CD-31 1585                                                            |High Proper Motion Star        |03 53 43.5877738968 -31 15 07.546695264|230.1208054579182 -50.2790319762693|  -7.626 52.337   |10.227   |G0                  |    ~     ~    
1028|CD-31 1588                                                            |Star                           |03 54 01.1857233600 -30 56 03.425948124|229.6374622460582 -50.1823556037693|   1.208 -1.172   |10.621   |~                   |    ~     ~    
1029|CD-31 1591                                                            |Star                           |03 54 12.4382986680 -31 19 00.666844356|230.2381849473046 -50.1835901036548|   -0.255 0.554   |9.60     |F8                  |    ~     ~    
1030|CD-31 1594                                                            |Star                           |03 55 01.6661977512 -31 35 28.723721712|230.6916705058607 -50.0374167479768|  -3.436 10.829   |10.001   |F2                  |    ~     ~    
1031|CD-31 1600                                                            |Star                           |03 55 34.4793901680 -31 17 01.981050072|230.2350267790625 -49.8896572607228|   9.088 -1.230   |9.835    |K0                  |    ~     ~    
1032|HD 24349                                                              |Star                           |03 51 12.7697397528 -31 39 15.311886804|230.6684360012557 -50.8518383008213| -0.533 -48.759   |7.52     |K2III               |    ~     ~    
1033|CD-32 1511                                                            |Star                           |03 53 36.2263555536 -31 41 01.887572364|230.7894849156802 -50.3480737766027| -2.638 -15.015   |9.19     |G5                  |    ~     ~    
1034|HD 24774                                                              |Star                           |03 55 06.4631573280 -32 05 55.551611832|231.4809672497544 -50.0684127206302|    2.748 6.125   |9.17     |A8V                 |    ~     ~    
1035|CD-30 1561                                                            |Star                           |03 56 07.9991407248 -29 56 19.621604184|228.1910360437698 -49.6075352746310|   2.119 10.189   |10.53    |~                   |    ~     ~    
1036|CD-31 1542                                                            |Star                           |03 47 08.1625942128 -31 20 55.356255528|230.0561204166278 -51.6895468599758|    2.614 7.827   |10.68    |~                   |    ~     ~    
1037|CD-30 1498                                                            |Star                           |03 48 03.3510593784 -30 01 45.813286020|227.9809937914276 -51.3538558510449|    1.806 5.254   |10.12    |~                   |    ~     ~    
1038|CD-31 1560                                                            |Star                           |03 49 58.3765649928 -31 20 32.244486468|230.1360343827483 -51.0858594693960|  13.586 29.364   |10.69    |~                   |    ~     ~    
1039|CD-32 1486                                                            |Star                           |03 50 02.4380945160 -31 40 19.320580272|230.6609505587567 -51.1018546648562|   1.872 -4.140   |10.32    |~                   |    ~     ~    
1040|CPD-31 449                                                            |Star                           |03 51 44.4511049328 -31 02 19.941265500|229.7176873940918 -50.6792268213367| -2.556 -45.386   |10.870   |~                   |    ~     ~    
1041|CPD-30 499                                                            |Star                           |03 52 38.2927688040 -30 34 04.520596620|229.0145861075817 -50.4355045247129|  32.272 -6.739   |10.218   |~                   |    ~     ~    
1042|CD-30 1557                                                            |Star                           |03 55 57.6494630664 -30 26 33.766152468|228.9554271719606 -49.7099531770082|   2.679 -9.542   |10.310   |~                   |    ~     ~    
1043|CPD-29 452                                                            |Star                           |03 47 35.8933963800 -29 21 29.433761460|226.8945229706400 -51.3669768232813|  20.747 16.501   |10.83    |~                   |    ~     ~    
1044|CD-29 1434                                                            |Star                           |03 48 45.1043326632 -29 20 40.178731776|226.9271397842714 -51.1160744904333|   7.445 11.389   |10.49    |~                   |    ~     ~    
