C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
4388|CD-38 9380                                                            |High Proper Motion Star               |14 27 17.4219042360 -38 59 26.379626028|322.5869680193157 +20.1950148475788|-158.359 -81.576  |10.35    |~              |    ~     ~          
4389|HD 126221                                                             |Star                                  |14 25 15.5225392248 -39 22 17.333420592|322.0448498804474 +19.9929542046714|  -9.990 -0.364   |8.58     |A5IV           |    ~     ~          
4390|HD 126447                                                             |Star                                  |14 26 37.6858573896 -39 31 23.438872380|322.2437752922615 +19.7523281965260| -11.320 -6.239   |6.87     |G3II/III       |    ~     ~          
4391|HD 126637                                                             |Star                                  |14 27 46.8639630840 -39 16 56.038272024|322.5607101142616 +19.8893032603440| -46.058 -7.413   |9.99     |F8/G0V         |    ~     ~          
4392|V* V1005 Cen                                                          |Long-Period Variable                  |14 28 25.1411024400 -39 32 29.213733012|322.5748114478118 +19.6025982247781| -0.884 -18.754   |8.16     |M3/4III        |    ~     ~          
4393|HD 126979                                                             |Star                                  |14 29 58.5689807448 -39 25 56.733335760|322.9135778340731 +19.5855202104415|  -5.087 -0.422   |9.84     |F3V            |    ~     ~          
4394|HD 125201                                                             |High Proper Motion Star               |14 18 59.5523950872 -40 00 45.412594092|320.6023526997642 +19.8358830896476| -83.817 18.407   |9.33     |G8V            |    ~     ~          
4395|HD 125221                                                             |High Proper Motion Star               |14 19 02.3581427472 -39 54 18.181759284|320.6516365360799 +19.9333635133078|-84.643 -24.913   |9.26     |F8/G0V         |    ~     ~          
4396|HD 125475                                                             |Star                                  |14 20 43.6610808336 -39 56 00.248932896|320.9625267304130 +19.7915638869055|-16.223 -24.306   |9.78     |F3/5V          |    ~     ~          
4397|HD 125805                                                             |Star                                  |14 22 51.8984497752 -39 37 26.363092008|321.4888503130253 +19.9305469526257|-37.333 -18.131   |6.81     |K3III          |    ~     ~          
4398|HD 125865                                                             |Star                                  |14 23 09.4569347448 -39 42 53.727024096|321.5089277082980 +19.8252669159120| -27.231 -3.941   |8.66     |K1III          |    ~     ~          
4399|HD 126237                                                             |High Proper Motion Star               |14 25 26.8639824192 -40 02 35.807213544|321.8119527885912 +19.3569174751573|-100.565 -135.772 |9.50     |K2             |    ~     ~          
4400|HD 126474                                                             |Star                                  |14 26 50.1118619928 -39 38 49.644962664|322.2326830988060 +19.6225370920340| 38.915 -12.002   |9.45     |G3V            |    ~     ~          
4401|HD 126475                                                             |Star                                  |14 26 49.8732019056 -39 52 26.344253496|322.1400414963154 +19.4131522655878|-20.689 -21.204   |6.346    |B9V            |    ~     ~          
4402|HD 126559                                                             |High Proper Motion Star               |14 27 18.8724365808 -40 08 01.786967304|322.1254657878599 +19.1376585505217|-48.344 -57.132   |9.06     |F6V            |    ~     ~          
4403|HD 125476                                                             |Star                                  |14 20 43.7596110312 -40 14 16.369752192|320.8467910966972 +19.5072632708985| -33.267 -6.956   |9.61     |K2III          |    ~     ~          
4404|HD 125595                                                             |High Proper Motion Star               |14 21 23.1859553470 -40 23 38.220151339|320.9111963160383 +19.3165864843945|-561.734 -68.339  |9.03     |K4Vk:          |    ~     ~          
4405|HD 125806                                                             |Star                                  |14 22 55.8616880136 -40 29 06.070890012|321.1661078415792 +19.1249353560070|  -7.934 -4.300   |9.69     |B9V            |    ~     ~          
4406|CD-39 8889                                                            |Long-Period Variable Candidate        |14 24 16.6191814800 -40 31 08.045681196|321.4045460699280 +18.9991413473441| -15.317 -7.006   |9.12     |M2/3(III)      |    ~     ~          
4407|HD 126476                                                             |Star                                  |14 26 55.1705919528 -40 26 01.652564796|321.9307179781714 +18.8891587647086| -7.764 -15.245   |8.07     |A4V            |    ~     ~          
4408|HD 126542                                                             |Star                                  |14 27 12.4189730232 -40 18 01.963675512|322.0379519599468 +18.9914594675396| -14.640 -6.827   |9.43     |F3/5V          |    ~     ~          
