C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
121 |TYC 4979-385-1                                                        |Star                                  |14 15 13.7389258992 -04 14 16.143652320|338.9477630608129 +52.6739416041322| -5.090 -17.055   |10.91    |~              |    ~     ~          
122 |TYC 4979-1100-1                                                       |Star                                  |14 19 31.7744805936 -04 24 49.682132496|340.2779409389422 +51.9534336259103|-11.512 -17.881   |10.931   |~              |    ~     ~          
123 |TYC 4979-1130-1                                                       |Star                                  |14 17 17.8773008856 -04 24 35.177656356|339.5173644929244 +52.2554181277515|  -5.264 25.303   |10.765   |~              |    ~     ~          
124 |TYC 4980-53-1                                                         |Star                                  |14 22 11.5271801256 -02 32 51.892420416|342.8943205526628 +53.1334907222072| 10.616 -35.901   |10.79    |~              |    ~     ~          
125 |TYC 4980-916-1                                                        |Star                                  |14 21 42.6453558720 -04 00 29.271985596|341.3772833601050 +51.9946478891601| -29.571 -5.760   |10.938   |~              |    ~     ~          
126 |HD 124972                                                             |Star                                  |14 16 44.9828617440 -04 55 17.236449336|338.8888677651379 +51.8931232154527| -3.196 -39.463   |9.18     |F3IV           |    ~     ~          
127 |HD 125042                                                             |High Proper Motion Star               |14 17 04.1656162608 -04 49 46.465482144|339.0769862439134 +51.9294221644238|-253.779 -28.189  |8.99     |G6/8V          |    ~     ~          
128 |BD-04 3659                                                            |High Proper Motion Star               |14 17 15.5470355088 -04 40 38.264710584|339.2726886026509 +52.0337925247081|-57.978 -22.703   |10.30    |~              |    ~     ~          
129 |HD 124658                                                             |Star                                  |14 15 06.5144109240 -05 39 27.043735176|337.7107695554678 +51.4745638989802| 33.006 -27.451   |10.36    |G3/5           |    ~     ~          
130 |HD 124716                                                             |Star                                  |14 15 20.7751409328 -05 10 52.353411456|338.1865485151840 +51.8530791019607|   4.377 -7.927   |9.50     |F5V            |    ~     ~          
131 |HD 124836                                                             |High Proper Motion Star               |14 15 59.7524625672 -05 36 36.318667896|338.0538775923201 +51.4021944636960|41.856 -106.778   |9.82     |G2/3V          |    ~     ~          
132 |HD 124866                                                             |High Proper Motion Star               |14 16 03.1979840616 -05 37 55.177931568|338.0554489915229 +51.3760600041961|-16.937 -55.032   |9.581    |K0/1V          |    ~     ~          
133 |HD 124887                                                             |Star                                  |14 16 18.6534501912 -05 26 04.143487560|338.3070672651837 +51.5121613961501|  -21.689 0.289   |8.40     |A3/4V          |    ~     ~          
134 |HD 124901                                                             |Star                                  |14 16 25.0625637384 -05 30 25.579833804|338.2832580750330 +51.4362629898428|  5.274 -32.436   |9.36     |G3V            |    ~     ~          
135 |HD 124988                                                             |Star                                  |14 16 49.4464201152 -05 38 38.529134340|338.3083250067118 +51.2667642359027|  15.557 -6.445   |6.87     |F2III          |    ~     ~          
