C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
74  |BD+77 367                                                                                                                                   |Star                                |09 27 01.8086654160 +76 35 49.981998840|135.6489787706228 +34.9670366612659|-12.322 -19.241   |9.57     |K0             |    ~     ~    |    1|  557.538   pc  |  -3.5126     +3.5126  |paral   |2020yCat.1350....0G
75  |BD+79 304                                                                                                                                   |Star                                |09 25 25.7380840200 +78 53 00.719144844|133.3766200331367 +33.6585482420706| -9.180 -21.368   |9.59     |K2             |    ~     ~    |    1| 1389.275   pc  | -27.7932    +27.7932  |paral   |2020yCat.1350....0G
76  |TYC 4544-1741-1                                                                                                                             |Star                                |09 19 26.9829866352 +78 39 56.904720408|133.7843332670349 +33.5292068750374| -23.663 -7.326   |10.45    |F8             |    ~     ~    |    1|  330.579   pc  |  -1.2130     +1.2130  |paral   |2020yCat.1350....0G
77  |BD+79 301                                                                                                                                   |Star                                |09 18 19.8294960264 +78 26 08.887417152|134.0548333523169 +33.6012023966884| -2.391 -25.981   |9.26     |K0             |    ~     ~    |    1|  622.471   pc  |  -5.0759     +5.0759  |paral   |2020yCat.1350....0G
78  |BD+79 302                                                                                                                                   |High Proper Motion Star             |09 19 48.4332579792 +78 23 27.649229964|134.0546040807896 +33.6878286945545|-42.320 -49.266   |9.82     |G5             |    ~     ~    |    1|  111.316   pc  |  -0.1363     +0.1363  |paral   |2020yCat.1350....0G
79  |BD+79 303                                                                                                                                   |Star                                |09 24 46.4973013368 +78 43 41.516262192|133.5538834661242 +33.7166948128303| -9.910 -36.818   |8.89     |G5             |    ~     ~    |    1|  385.922   pc  | -17.6935    +17.6935  |paral   |2020yCat.1350....0G
80  |HD 80389                                                                                                                                    |Star                                |09 26 29.9537573424 +78 25 47.116353504|133.7988526181966 +33.9511047240279|  34.574 26.198   |8.65     |M2             |    ~     ~    |    1|   53.794   pc  |  -0.0443     +0.0443  |paral   |2020yCat.1350....0G
81  |HD 80388                                                                                                                                    |Star                                |09 26 28.7581448760 +78 26 16.104703020|133.7913918025967 +33.9458575116287|  30.377 26.173   |8.30     |G1V            |    ~     ~    |    1|   53.739   pc  |  -0.0491     +0.0491  |paral   |2020yCat.1350....0G
82  |BD+78 302                                                                                                                                   |Star                                |09 19 13.7887216320 +78 18 58.017466980|134.1497064443419 +33.7018994260488|   8.843 19.087   |9.45     |F8             |    ~     ~    |    1|  262.709   pc  |  -0.9524     +0.9524  |paral   |2020yCat.1350....0G
83  |HD 79262                                                                                                                                    |Spectroscopic Binary                |09 19 52.4847257928 +77 58 04.580776704|134.4873334876426 +33.9107557983879|   1.285 19.080   |7.92     |G5             |    ~     ~    |    1|  391.896   pc  | -19.9042    +19.9042  |paral   |2020yCat.1350....0G
