C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
132 |HD 130409                                                             |Star                           |14 48 29.7029094960 -14 01 28.059535020|341.1818320952944 +39.9978240748983| -26.907 -5.193    |10.17    |F6V            |    ~     ~    
133 |HD 129977                                                             |Star                           |14 45 55.6467399936 -14 26 34.939552776|340.2029350306124 +40.0015043790735|-28.289 -18.715    |9.542    |F3V            |    ~     ~    
134 |HD 129957                                                             |Star                           |14 45 51.2868441912 -14 59 29.010341400|339.7882016770149 +39.5549505323981| 12.108 -19.146    |8.73     |G1/2V          |    ~     ~    
135 |BD-13 3970                                                            |Star                           |14 45 19.9159099416 -13 45 35.470232964|340.5456937721801 +40.6490454822630|  -11.195 3.016    |10.484   |~              |    ~     ~    
136 |BD-13 3976                                                            |Star                           |14 46 12.9309573504 -14 09 44.868986640|340.4833098022755 +40.1953996780794|    0.619 5.555    |9.83     |~              |    ~     ~    
137 |BD-13 3978                                                            |Star                           |14 46 35.9592573912 -13 54 03.158523504|340.7766598581422 +40.3597319731563|    0.013 3.055    |9.89     |~              |    ~     ~    
138 |BD-14 4028                                                            |Star                           |14 47 59.6163391968 -14 42 28.582362792|340.5494080114241 +39.5023715965804|-10.159 -11.507    |10.491   |~              |    ~     ~    
139 |BD-12 4135                                                            |Star                           |14 48 08.8022077416 -13 26 00.531683160|341.5316713939483 +40.5318216194757| -19.042 15.671    |10.615   |~              |    ~     ~    
140 |TYC 5577-494-1                                                        |Star                           |14 45 13.7206983792 -14 15 48.914568396|340.1494517218939 +40.2447574494879| -28.844 -1.136    |10.726   |~              |    ~     ~    
141 |TYC 5577-782-1                                                        |High Proper Motion Star        |14 45 07.5091872984 -14 16 03.814953492|340.1191075748721 +40.2552421951448|-72.638 -36.065    |10.669   |~              |    ~     ~    
142 |TYC 5577-817-1                                                        |Star                           |14 46 34.0803523680 -14 12 26.482462848|340.5430449060946 +40.1103701482661| -10.881 -1.467    |10.89    |~              |    ~     ~    
